pair_ID,sentence_A,sentence_B,entailment_label,relatedness_score,entailment_AB,entailment_BA,sentence_A_original,sentence_B_original,sentence_A_dataset,sentence_B_dataset,SemEval_set
872,,,sick,,,,,A lot of people are in an ice skating park,An ice skater is outdoors performing on a rink full of people,,neutral
2381,,,sick,,,,,A carrot is being sliced into pieces by a person,A person is cutting an onion into pieces,,neutral
8528,,,sick,,,,,A man in gold and purple is holding a rainbow afghan,A young woman is carrying a lot of colorful scarves on the beach,,neutral
7277,,,sick,,,,,A furry brown dog is running through the grassy area,The furry brown dog is running through the grassy area,,entailment
1635,,,sick,,,,,Some ingredients are being mixed in a bowl by a person,A woman is bowling two eggs to a break dancer ,,neutral
8312,,,sick,,,,,Kids are being dressed in costumes and playing a game,A young boy with painted face is standing next to some other children,,neutral
2506,,,sick,,,,,A woman is dancing beautifully in a cage,A woman is dancing in a cage,,entailment
2304,,,sick,,,,,A woman is wakeboarding on a lake,The woman is waterskiing fearlessly,,neutral
4760,,,sick,,,,,A woman is singing into a microphone,A man is singing into a microphone,,neutral
723,,,sick,,,,,A man is bringing up the rear of the race,A few men in a competition are running outside,,neutral
3351,,,sick,,,,,Someone is typing,Someone is putting away a keyboard,,neutral
3272,,,sick,,,,,The soccer player is kicking the ball between somebody's legs,A person is kicking a ball for a soccer game between somebody's feet,,entailment
9386,,,sick,,,,,Two children are playing in the surf,Two children are playing,,entailment
8683,,,sick,,,,,A skateboarder is making a jump off a ramp,A woman dressed in black is wearing inline skates and performing a trick on a rail,,neutral
6543,,,sick,,,,,The goal is being guarded by a hockey player in a yellow jersey,The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal,,entailment
4813,,,sick,,,,,A dog is teasing a monkey at the zoo,A monkey is pulling a dog's tail,,neutral
3280,,,sick,,,,,"The boy, who is young, is running through the ocean waves",A child is running in and out of the ocean waves,,entailment
2602,,,sick,,,,,A monkey is brushing the dog,The monkey is brushing the dog,,entailment
9189,,,sick,,,,,There is no dog turning on the grass and pursuing a flying ball,A yellow dog is chasing a ball,,neutral
909,,,sick,,,,,A man in a blue jumpsuit is failing to perform a wheelie on a motorcycle,The man is doing a wheelie with a motorcycle on ground which is mostly barren,,neutral
2281,,,sick,,,,,A dog is opening a can of food,A dog is biting a can,,entailment
8060,,,sick,,,,,"A young boy is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swim goggles on her head",A young girl is sitting in swimming gear,,neutral
8358,,,sick,,,,,Several people are sitting at small tables in a darkened room,People are sitting at tables in a red room,,neutral
9733,,,sick,,,,,A woman is shooting at target practice,A man is shooting at target practice,,neutral
762,,,sick,,,,,The kid is happily sliding in the snow,The kid is sliding in the snow,,entailment
176,,,sick,,,,,A child is missing a baseball,A family is watching a little boy who is hitting a baseball,,neutral
3666,,,sick,,,,,A man and a woman are walking nicely,A man and a woman are walking,,entailment
8848,,,sick,,,,,A brown and white dog with a brown and black bandanna is running very fast,A small white dog is running across a lawn,,neutral
1646,,,sick,,,,,The girl is recklessly jumping onto a car,One young lady is jumping on the car,,entailment
8913,,,sick,,,,,A couple is not looking at a map,A couple is looking at a map,,neutral
3238,,,sick,,,,,A boy is running away from the fishing line,A boy is hanging a fishing rod and running in front of a fish ,,neutral
8597,,,sick,,,,,Children are playing in a fountain that is spraying water from the ground,Children are playing in ground fountains,,entailment
1055,,,sick,,,,,A dog is far from the red ball in the air,"A dog, which is small, is playing on the green grass",,neutral
3603,,,sick,,,,,The man is doing floor exercises,A man is doing exercises,,entailment
9805,,,sick,,,,,"The girl, who is little, is swinging and the woman is standing behind",A red dog is jumping and catching a tennis ball in its mouth,,neutral
7368,,,sick,,,,,A man is standing on the top of the rocks with clouds behind them,One man is standing on the top of the rocks with clouds behind them,,entailment
528,,,sick,,,,,"A person, who is riding a bike, is wearing gear which is black",A biker is wearing gear which is black,,entailment
985,,,sick,,,,,A man is falling off a horse on a track and is laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,,neutral
484,,,sick,,,,,Two daschunds are playing with a red ball,Two dogs are playing with a small red ball,,neutral
2360,,,sick,,,,,The tall person is setting fire to the cameras,The person is setting fire to the cameras,,entailment
3939,,,sick,,,,,A boy is checking a calendar,A boy is throwing away a calendar,,neutral
3435,,,sick,,,,,A person is wiping butter on a tray,A person is spreading butter on a tray,,entailment
5007,,,sick,,,,,A big cat is opening a plastic drawer with its paws and is jumping inside,A cat is opening a drawer and climbing inside,,entailment
6946,,,sick,,,,,"A girl, who is little, with blond hair is smiling and sitting on a swing",A little girl with blond hair is smiling and sitting on a swing,,entailment
2784,,,sick,,,,,A woman is walking the dog down the street,The dog is being walked by the woman,,entailment
3327,,,sick,,,,,The man is slicing bread,The man is putting away the bread,,neutral
1038,,,sick,,,,,The snowboarder is leaping fearlessly over white snow,A person who is practicing snowboarding jumps into the air,,entailment
7692,,,sick,,,,,One little boy with brown hair is jumping off of the brown chair onto the floor,A young boy is jumping off a chair,,entailment
4573,,,sick,,,,,Two women are happily dancing,Two women are dancing,,entailment
5779,,,sick,,,,,A cat is jumping into a container,A cat is jumping into a box,,entailment
8777,,,sick,,,,,Three men are sitting on a mountainside and looking at the view with a pair of binoculars,Three hikers are sitting on a mountainside and looking at the view with a pair of binoculars,,entailment
922,,,sick,,,,,Two people are kissing near a crowd,A woman is being kissed by a man,,neutral
2708,,,sick,,,,,A woman is boiling noodles in water,The person is boiling noodles,,entailment
279,,,sick,,,,,The boy is wading through the blue ocean,A boy is standing in the cold water,,neutral
6843,,,sick,,,,,A daughter is being pushed by her father on a go-kart and another girl is watching,A father is pushing his daughter on a go-kart and another girl is watching,,entailment
1550,,,sick,,,,,Two men are leaving the stage,The men are performing on stage,,neutral
1553,,,sick,,,,,The men are performing on stage,Mimes are performing on a small stage,,neutral
9876,,,sick,,,,,A person is rinsing a steak with water,A man is buttering a slice of bread,,neutral
2413,,,sick,,,,,A man is cleaning a dish,The woman is slicing an onion with a knife,,neutral
2664,,,sick,,,,,Some ferrets are climbing down from a shelf,Ferrets are climbing down from a shelf,,entailment
5554,,,sick,,,,,The man is aiming a gun,The man is handling a gun,,entailment
4165,,,sick,,,,,The man is erasing the other man's work from the board,The man is erasing the other man's work from the panel,,entailment
133,,,sick,,,,,A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,,neutral
2856,,,sick,,,,,Two cats are playfully fighting each other,Two cats are fighting each other,,entailment
3705,,,sick,,,,,Eyeshadow is being put on by a woman,A woman is putting make-up on,,entailment
2811,,,sick,,,,,A cartoon airplane is landing,A plane is landing,,entailment
338,,,sick,,,,,"A man, a woman and two girls are walking on the beach",A group of people is on a mountain,,neutral
2899,,,sick,,,,,A man is chopping down a tree with an axe,A person is chopping down a tree with an axe,,entailment
5549,,,sick,,,,,A man is working on the computer,The man is feeding the snake with a mouse,,neutral
6968,,,sick,,,,,A man is participating in a bmx race,A man is participating in a race for bmxs,,entailment
2466,,,sick,,,,,A man is riding a motorcycle through the town,A man is getting off the motorcycle,,neutral
697,,,sick,,,,,A dog in the backyard is carrying black fur in a basket in its mouth.,"A dog next to a tree, which is probably a pine, is biting a bucket",,neutral
5391,,,sick,,,,,A man is removing some food from a box,A man is putting some food in a box,,neutral
9719,,,sick,,,,,A boy is running through the grass,A boy wearing a striped shirt is running barefoot on the sandy hill,,neutral
915,,,sick,,,,,Two people are arguing near a crowd,Two people are kissing near a crowd,,neutral
6975,,,sick,,,,,A man in a red uniform is racing and making a jump over a bike in the dirt,A man is participating in a bmx race,,neutral
8680,,,sick,,,,,A man dressed in black is wearing inline skates and performing acrobatics on a rail,A man dressed in black is wearing inline skates and performing a trick on a rail,,entailment
8665,,,sick,,,,,Rollerbladers are not rolling in formation down a hill,A group of rollerbladers is lining up on the street,,neutral
1818,,,sick,,,,,Some bells are ringing near a cook slicing peppers,A cook is slicing some bell peppers,,neutral
8010,,,sick,,,,,A man dressed in black and white is holding up the tennis racket and is waiting for the ball,A player dressed in black and white is holding up the tennis racket and is waiting for the ball,,entailment
5555,,,sick,,,,,The man is aiming a gun,The man is drawing a gun,,entailment
3508,,,sick,,,,,A woman is chopping up garlic,Garlic is being diced by the woman,,entailment
8512,,,sick,,,,,Two women dressed in white and black are sitting on a bench,Two people are sitting on a park bench on a rainy day,,neutral
1969,,,sick,,,,,The singer is playing the guitar at an acoustic concert for a woman,"The woman is playing a guitar, which is acoustic, and singing",,neutral
1993,,,sick,,,,,The man is intensely playing the guitar,The intense man is a guitar player,,neutral
621,,,sick,,,,,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climbing boy rescues the fearful cat from over the wall,,neutral
5244,,,sick,,,,,A woman is not frying meat,A woman is placing food in a pot of hot water,,neutral
8092,,,sick,,,,,A young boy in a helmet is riding a bike on the lawn,A young boy in a helmet is riding a bike on the road,,neutral
2707,,,sick,,,,,A woman is drying noodles,A person is boiling noodles,,neutral
2959,,,sick,,,,,The man is absently eating a banana by a tree,A man is eating a banana,,entailment
35,,,sick,,,,,A man with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background,,neutral
8674,,,sick,,,,,A woman is marching with a pair of dogs,A woman is showing a dog with very short hair at a dog show,,neutral
9186,,,sick,,,,,A dog is turning on the grass and pursuing a flying tennis ball,A dog is turning on the grass and pursuing a flying ball,,entailment
1736,,,sick,,,,,Somebody is playing the piano,The piano is being played by someone,,entailment
3579,,,sick,,,,,The man is skillfully playing the guitar,A man is playing a flute,,neutral
9373,,,sick,,,,,A man in a red jacket and khaki pants is walking through an American state,A person with a red hooded jacket and a black backpack is not walking near a rocky wall,,neutral
2813,,,sick,,,,,An animated airplane is landing,The plane is landing,,entailment
1898,,,sick,,,,,Some animals are playing wildly in the water,A few animals are playing in the water,,entailment
12,,,sick,,,,,Two dogs are fighting,Two dogs are wrestling and hugging,,neutral
3437,,,sick,,,,,A person is buttering a tray,A person is spreading butter on a tray,,entailment
2277,,,sick,,,,,A dog is biting a can,A dog is opening a jar of food,,neutral
5922,,,sick,,,,,A woman is slicing potatoes,A person is riding a horse,,neutral
5987,,,sick,,,,,The land near a white bird is being watered swiftly,A white bird is landing swiftly in the water,,neutral
649,,,sick,,,,,"A person is climbing a rock with a rope, which is pink",One man is descending a cliff with a rope,,neutral
5680,,,sick,,,,,Tofu is being sliced by a woman,A woman is slicing tofu,,entailment
7648,,,sick,,,,,A little boy is proudly wearing a green soccer strip and is running on the grass,A little boy is wearing a green soccer strip and is running on the grass,,entailment
1595,,,sick,,,,,A man is pouring liquid into a pot,The chef is carefully pouring some oil into a pan,,neutral
6897,,,sick,,,,,The man with brown hair is wearing sunglasses and is sitting listlessly at a table with cans of soda and other drinks,The man with brown hair is wearing sunglasses and is sitting at a table with cans of soda and other drinks,,entailment
1318,,,sick,,,,,A boy is spanking a man with a plastic sword,A boy is spanking a man with a toy weapon,,entailment
4659,,,sick,,,,,A man is walking along a path through a wilderness,There is no man peeling an onion,,neutral
6377,,,sick,,,,,A surfer is leaning on a surfboard,The surfer is leaning on a surfboard,,entailment
4209,,,sick,,,,,A man is slicing some bread,A person is slicing a piece of bread,,entailment
5018,,,sick,,,,,A woman is painting a man's face,A woman is cleaning a man's face,,neutral
9194,,,sick,,,,,A man in blue jeans is standing in front of a group of children beside a stone built house,A woman in blue jeans is standing in front of a group of children beside a stone built house,,neutral
9760,,,sick,,,,,A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain,A woman is playing the trumpet,,neutral
4443,,,sick,,,,,A man is singing to a girl,A man is singing to a woman,,neutral
9126,,,sick,,,,,A woman is wearing a colorful shirt and a lot of jewelry,A man with Indian clothing and henna on his hand is going through paperwork,,neutral
7859,,,sick,,,,,A person is riding a dirt bike up a dirt hill,A person is riding a dirt bike down a dirt hill,,neutral
10000,,,sick,,,,,Three dogs are resting on a sidewalk,The woman with a knife is slicing a pepper,,neutral
83,,,sick,,,,,A young girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,,neutral
3274,,,sick,,,,,The soccer player is kicking the ball between somebody's legs,A person is kicking a soccer ball between their feet,,neutral
3257,,,sick,,,,,A man is playing the guitar,The man is playing the guitar,,entailment
5314,,,sick,,,,,A girl is playing a flute,A boy is playing a wind instrument,,neutral
98,,,sick,,,,,Four kids are doing backbends in the park,Four children are doing backbends in the park,,entailment
989,,,sick,,,,,"The man and the boy are standing at the bottom of the stairs, which are outdoors","A man and a boy are standing at the bottom of some stairs, which are outdoors",,entailment
7849,,,sick,,,,,Two adults are standing on a scooter in a field of yellow flowers,Two adults are standing on a scooter in a field of flowers,,entailment
1355,,,sick,,,,,A puppy is repeatedly rolling from side to side on its back,An animal is rolling from side to side in a garden,,neutral
5797,,,sick,,,,,A person is frying some food,A person is cooking some food,,entailment
7697,,,sick,,,,,Two balls are bouncing against some colorful kids,Two kids are bouncing on colorful balls,,neutral
9604,,,sick,,,,,A black and white dog is jumping for a ball,The black and white dog is jumping for the ball,,entailment
7527,,,sick,,,,,A hose is being held by a boy next to a man and another boy is watching,A boy is holding a hose next to a man and another boy is watching,,entailment
3804,,,sick,,,,,A man is playing a guitar,A man is playing an instrument,,entailment
1639,,,sick,,,,,A woman is breaking two eggs in a bowl,Some ingredients are being mixed in a bowl by a person,,neutral
3912,,,sick,,,,,A few people are dancing,A group of people are dancing,,entailment
9836,,,sick,,,,,Three men are sitting on a hill and looking at the mountains and sky,Some meat is being stitched together by a woman,,neutral
5317,,,sick,,,,,A girl is playing a flute,A girl is playing a wind instrument,,entailment
5362,,,sick,,,,,The lady is peeling the potato,A woman is peeling a potato,,entailment
8018,,,sick,,,,,A man dressed in black and white is holding up the tennis racket and is waiting for the ball,A tennis player in mid game is holding a racquet,,neutral
7893,,,sick,,,,,Two white dogs are playing with a brown dog and a ball,Two white dogs and one brown dog are chasing a toy,,entailment
4680,,,sick,,,,,Someone is drilling a hole in a strip of wood with a power drill,A man is drilling a hole in a piece of wood,,entailment
581,,,sick,,,,,A group of boys are quiet in front of a large door made of wood,A group of boys are playing with a ball in front of a large door made of wood,,neutral
1321,,,sick,,,,,A boy is whacking a man with a sword,A man is being hit by a kid with a weapon,,entailment
1523,,,sick,,,,,A woman is planting some flowers,A woman is cutting some flowers,,neutral
440,,,sick,,,,,The helmeted girl is riding a bike,A woman is performing a trick on a ramp with a bicycle,,neutral
415,,,sick,,,,,Two men with bikes are on the side of a snowy road,Two men with cars are on the side of a snowy road,,neutral
7561,,,sick,,,,,A little boy is sitting in a green tunnel with a smile on his face,A small shirtless boy is sliding into a green tube,,neutral
6620,,,sick,,,,,A tan dog is running through the brush,"A dog, which is tan, is running through the brush",,entailment
8126,,,sick,,,,,A female cheerleader is sitting on the knee of a male cheerleader,Some cheerleaders are taking a break,,neutral
1303,,,sick,,,,,A man is playing flute,There is no man playing soccer,,neutral
5288,,,sick,,,,,A rabbit is playing with a toy rabbit,A rabbit is playing with a stuffed bunny,,entailment
2307,,,sick,,,,,The woman is waterskiing,A woman is watching the lake,,neutral
6382,,,sick,,,,,A surfer is leaning the surfboard against a wall,The man is wearing a wetsuit and is riding a surfboard,,neutral
3285,,,sick,,,,,The young boy is running through the ocean waves,A child is running in and out of the ocean waves,,entailment
1823,,,sick,,,,,The person isn't dicing up an orange pepper,A cook is slicing some bell peppers,,neutral
6675,,,sick,,,,,Some students in uniforms are listening attentively at the front of the class,A classroom full of students is looking in the same direction inside a bamboo structure,,neutral
2236,,,sick,,,,,A dog is pushing a toddler into a rain puddle,A dog is pulling a toddler out of a rain puddle,,neutral
4347,,,sick,,,,,A man is eating a banana,There is no one peeling a banana,,neutral
3821,,,sick,,,,,A woman is peppering green slices,The woman with a knife is slicing a pepper,,neutral
9361,,,sick,,,,,A surfer in a black wetsuit is riding a foamy wave,A surfer is surfing a big wave,,neutral
4216,,,sick,,,,,Someone is scratching the belly of an animal,A lemur is being stroked by a woman,,neutral
9094,,,sick,,,,,A grey dog is bouncing a soccer ball on its head in a grass field,A grey dog is bouncing a soccer ball on its head on a lawn,,entailment
3668,,,sick,,,,,A man is strolling in the rain,A man is walking in the rain,,entailment
3869,,,sick,,,,,A man is escaping a rising swamp,A man is rising from a swamp,,neutral
1384,,,sick,,,,,A man is rinsing a large steak,A person is rinsing a steak with water,,neutral
5010,,,sick,,,,,An onion is being sliced by a woman,A woman is slicing an onion,,entailment
2977,,,sick,,,,,Different teams are playing football on a field,Different football players are teaming on a field,,entailment
3552,,,sick,,,,,A man is dancing,A man is speaking,,neutral
4065,,,sick,,,,,A man is outside close to a target for blade throwing,A man is outside and is throwing blades at a close target,,neutral
4214,,,sick,,,,,Someone is stroking the belly of an animal,A woman is stroking a lemur,,entailment
5443,,,sick,,,,,Two pandas are lying together,Two baby pandas are playing,,neutral
9264,,,sick,,,,,A man by a brick wall is wearing a mask around his mouth and a hair net,A man is wearing a clear plastic cap and a face mask,,neutral
3885,,,sick,,,,,A man is dancing,A male is dancing,,entailment
5401,,,sick,,,,,A woman is placing skewers onto a rack,Skewers are being placed onto a rack by a woman,,entailment
6890,,,sick,,,,,A girl is jumping off a rock and another is standing on it,One girl is jumping off a rock and another is standing on it,,entailment
7556,,,sick,,,,,A little boy is sitting in a green tunnel with a smile on his face,A little boy is crawling in a green tunnel with a smile on his face,,neutral
323,,,sick,,,,,A man is in a parking lot and is playing tennis against a large wall,A man is in a parking lot and is playing tennis against a friend,,neutral
7867,,,sick,,,,,A man in blue is riding a horse on a dirt road,A man in blue is riding a animal on a dirt road,,entailment
1050,,,sick,,,,,"A dog, which is small, is playing on the green grass",A small kid is playing with a green toy dog on the grass,,neutral
3765,,,sick,,,,,A person is stupidly throwing a cat at the ceiling,A person is throwing a cat at the ceiling,,entailment
2218,,,sick,,,,,The man is abruptly knocked off of a horse,The man is being knocked off of a horse,,entailment
2023,,,sick,,,,,A man is dangerously throwing knives at a tree,A magic trick is being performed by the magician,,neutral
2601,,,sick,,,,,A tiger is walking around aimlessly,A tiger is walking around a cage,,neutral
6658,,,sick,,,,,Two old ladies are wearing worn dresses at home,A woman in a white dress and a woman in a blue dress are standing on a stage,,neutral
9230,,,sick,,,,,A girl in a band is playing the flute,A boy in a band is playing the flute,,neutral
6572,,,sick,,,,,A woman is wearing a blue helmet and is riding a bicycle in a parking lot,The bicyclist is speeding on a city street,,neutral
8050,,,sick,,,,,Two people are carrying colorful baskets and blankets and walking near a building,Two people are walking with laden baskets and colorful blankets,,neutral
2465,,,sick,,,,,A man is riding a motorcycle through the town,A man is riding a motorbike,,entailment
5756,,,sick,,,,,The man is playing a game on a lawn,The rhino is grazing on the grass,,neutral
8937,,,sick,,,,,One girl in orange shorts is standing on a rock cliff over the water and the other girl in black shorts is jumping off into the water,Two males are standing on a cliff edge and one is jumping into the water,,neutral
8934,,,sick,,,,,One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water,Two males are standing on a cliff edge and one is jumping into the sea,,entailment
3024,,,sick,,,,,A few children are jumping on a trampoline,Some children are jumping on a trampoline,,entailment
4701,,,sick,,,,,A group of men is playing soccer on the beach,A group of men is playing with a ball on the beach,,entailment
