premise,hypo,generated_hypo
"<t> Like when I lived at home, we did not get along at all for anything in the world; we would fight all the time. </t> <g> ( <pointer:0> book :ARG1-of ( <pointer:1> bind-01 :ARG2 ( <pointer:2> leather ) ) :mod ( <pointer:3> regimental ) :location ( <pointer:4> inside ) :ARG0-of ( <pointer:5> have-03 :ARG1 ( <pointer:6> name :poss ( <pointer:7> person :ARG0-of ( <pointer:8> serve-01 ) :mod ( <pointer:9> each ) ) :ARG1-of ( <pointer:10> inscribed-01 :manner ( <pointer:11> due ) ) ) ) )  </g> [EOS]",When I was at home we fought all the time.," We fought a lot when I lived at home. , we did not"
<t> words = terms (synonym) perverse = flag for anagram anagram of `terms' = MSTER the first person = ADAM without = outside (!) ADAM outside MSTER = AMSTERDAM </t> <g> ( <pointer:0> differ-02 :ARG1 ( <pointer:1> someone :ARG1-of ( <pointer:2> resemble-01 :ARG2 ( <pointer:3> person :wiki <lit> Michael Dell </lit> :name ( <pointer:4> name :op1 <lit> Michael </lit> :op2 <lit> Dell </lit> ) ) ) ) :ARG2 ( <pointer:5> someone :ARG1-of ( <pointer:6> resemble-01 :ARG2 ( <pointer:7> person :wiki <lit> Al Dunlap </lit> :name ( <pointer:8> name :op1 <lit> Al </lit> :op2 <lit> Dunlap </lit> ) ) ) ) :mod ( <pointer:9> dramatic ) )  </g> [EOS],"Words are a synonym for terms, and perverse is a flag for anagram. ", Words and terms are synonyms.  explains anagram of the word M
<t> The hijacking began between 8:51 and 8:54. </t> <g> ( <pointer:0> use-01 :ARG0 ( <pointer:1> room :ARG1-of ( <pointer:2> furnish-01 :manner ( <pointer:3> lavish ) ) :ARG1-of ( <pointer:4> decorate-01 :manner <pointer:3> ) :part ( <pointer:5> furniture :mod ( <pointer:6> period ) :mod ( <pointer:7> original ) :quant ( <pointer:8> much ) ) ) :ARG1 <pointer:1> :ARG2 ( <pointer:9> and :op1 ( <pointer:10> event :mod ( <pointer:11> ceremonial ) ) :op2 ( <pointer:12> visit-01 :ARG0 ( <pointer:13> dignitary :mod ( <pointer:14> foreign ) ) :ARG1 <pointer:1> ) :op3 ( <pointer:15> meet-03 :ARG0 ( <pointer:16> organization :wiki <lit> European Union </lit> :name ( <pointer:17> name :op1 <lit> EU </lit> ) ) ) ) )  </g> [EOS],Sometime between 8:51 and 8:54 the hijacking started.," The hijacking took place between 8:51 and8.54 ,"
"<t> Even after controlling for the independent effects of firm size, product mix, and distribution channel on performance, we found that the most innovative firms were significantly more profitable than those that had adopted fewer of the key practices. </t> <g> ( <pointer:0> record-01 :ARG1 ( <pointer:1> cost-01 :ARG1 ( <pointer:2> subsidize-01 :mod ( <pointer:3> credit-02 ) ) ) :ARG3 ( <pointer:4> outlay ) :time ( <pointer:5> disburse-01 :ARG1 ( <pointer:6> or :op1 ( <pointer:7> loan-01 :ARG1-of ( <pointer:8> direct-02 ) ) :op2 ( <pointer:9> loan-01 :ARG1-of ( <pointer:10> guarantee-01 ) ) ) ) : prep-under ( <pointer:11> reform-01 :ARG1 <pointer:3> ) :mod ( <pointer:12> also ) )  </g> [EOS]",Firms track a number of control variables to measure performance., The most innovative firms were significantly more profitable than those that had adopted fewer of the key
"<t> Al Qaeda members could travel freely within the country, enter and exit it without visas or any immigration procedures, purchase and import vehicles and weapons, and enjoy the use of official Afghan Ministry of Defense license plates. </t> <g> ( <pointer:0> contrast-01 :ARG2 ( <pointer:1> have-03 :ARG0 ( <pointer:2> and :op1 ( <pointer:3> team :wiki <lit> Atlanta Falcons </lit> :name ( <pointer:4> name :op1 <lit> Atlanta </lit> :op2 <lit> Falcons </lit> ) ) :op2 ( <pointer:5> team :wiki <lit> New York Jets </lit> :name ( <pointer:6> name :op1 <lit> New </lit> :op2 <lit> York </lit> :op3 <lit> Jets </lit> ) ) ) :ARG1 ( <pointer:7> line :mod ( <pointer:8> story ) :ARG1-of ( <pointer:9> have-degree-91 :ARG2 ( <pointer:10> appeal-03 :ARG0 <pointer:7> ) :ARG3 ( <pointer:11> more ) ) ) :location ( <pointer:12> tournament :mod ( <pointer:13> off :op1 ( <pointer:14> field ) ) :mod ( <pointer:15> sentiment ) ) ) )  </g> [EOS]","Al Qaeda members had unlimited powers within the country, could purchase and import weapons and vehicles and could travel freely without visas. "," Al Qaeda members were able to travel freely. , and enjoy the use"
<t> It was all of those positive influences that I have to thank for opening my eyes to dentistry as a profession. </t> <g> ( <pointer:0> and :op1 ( <pointer:1> know-01 :polarity - :ARG0 ( <pointer:2> i ) :ARG1 ( <pointer:3> truth-value :polarity-of ( <pointer:4> series :mod ( <pointer:5> any ) :ARG1-of ( <pointer:6> attend-02 :ARG0 <pointer:2> ) ) ) ) :op2 ( <pointer:7> try-01 :ARG0 <pointer:2> :ARG1 ( <pointer:8> watch-01 :ARG0 <pointer:2> :ARG1 ( <pointer:9> broadcast-program :wiki <lit> Cheers (TV series) </lit> :name ( <pointer:10> name :op1 <lit> Cheers </lit> ) ) :frequency ( <pointer:11> rate-entity-91 :ARG1 1 :ARG2 ( <pointer:12> while ) ) ) ) :mod ( <pointer:13> yeah :mode expressive ) )  </g> [EOS],I have had many positive influences that helped me get into dentistry as a profession., I have to thank all those positive influences for opening my eyes. ...
<t> That's a good attitude! </t> <g> ( <pointer:0> receive-01 :li 18 :ARG0 ( <pointer:1> carrier :mod ( <pointer:2> rural ) ) :ARG1 ( <pointer:3> average :consist-of ( <pointer:4> rate-entity-91 :ARG1 ( <pointer:5> monetary-quantity :quant 34 :unit ( <pointer:6> cent ) ) :ARG2 ( <pointer:7> distance-quantity :quant 1 :unit ( <pointer:8> mile ) ) ) ) :ARG3 ( <pointer:9> allowance :mod ( <pointer:10> vehicle :mod ( <pointer:11> motor ) ) ) :time ( <pointer:12> date-entity :year 1989 ) )  </g> [EOS],That is quite a fine stance! ," That is a good attitude! , 18. In 1989 it was"
<t> As you review the gifts you've made this year I please consider a year-end gift to Herron School of Art. </t> <g> ( <pointer:0> contrast-01 :polarity ( <pointer:1> amr-unknown ) :ARG2 ( <pointer:2> lock-01 :ARG1 ( <pointer:3> door ) ) :ARG0-of ( <pointer:4> cause-01 :ARG1 ( <pointer:5> burst-01 :ARG1 ( <pointer:6> expound-01 :mod ( <pointer:7> this ) ) :manner ( <pointer:8> jumbled ) :source ( <pointer:9> we ) ) ) )  </g> [EOS],Please give a gift to Herron School of Art for the end of the year., I would like to give a gift for Herron School of Art. 
<t> It may help a family stay together. </t> <g> ( <pointer:0> replace-01 :ARG1 ( <pointer:1> world :ARG1-of ( <pointer:2> rip-01 :manner ( <pointer:3> apart ) :location ( <pointer:4> around :op1 ( <pointer:5> they ) ) ) ) :ARG2 ( <pointer:6> world :mod ( <pointer:7> fear-01 ) :mod ( <pointer:8> blood ) :mod ( <pointer:9> fire ) ) )  </g> [EOS],A family's chances of staying together are increased with our help., It may help a family stay together. ...what if the world ripped
"<t> Inside the National Military Command Center, the deputy director of operations and his assistant began notifying senior Pentagon officials of the incident. </t> <g> ( <pointer:0> contrast-01 :ARG1 ( <pointer:1> know-01 :ARG0 ( <pointer:2> you ) :ARG1 ( <pointer:3> easy-05 :polarity - :ARG1 ( <pointer:4> do-02 :ARG1 ( <pointer:5> it ) ) ) ) )  </g> [EOS]",Senior Pentagon officials were informed about the incident., The deputy director of operations and his assistant began notifying senior Pentagon officials. 
"<t> In short, while leaders in Washington believed that the fighters above them had been instructed to take out hostile aircraft, the only orders actually conveyed to the pilots were to ID type and tail. </t> <g> ( <pointer:0> meet-02 :ARG0 ( <pointer:1> i ) :ARG1 ( <pointer:2> guy ) :time ( <pointer:3> recent ) :location ( <pointer:4> party :location ( <pointer:5> facility :wiki - :name ( <pointer:6> name :op1 <lit> San </lit> :op2 <lit> Barenakedino's </lit> ) ) ) )  </g> [EOS]",Washington leaders misunderstood the orders that had been given to the fighter pilots., The only orders that were given to the pilots was ID type and tail. 
<t> A response card is enclosed for your convenience. </t> <g> ( <pointer:0> and :op1 ( <pointer:1> stand-01 :ARG1 ( <pointer:2> temple :beneficiary ( <pointer:3> person :wiki <lit> Jupiter (mythology) </lit> :name ( <pointer:4> name :op1 <lit> Jupiter </lit> ) ) ) :ARG2 ( <pointer:5> here ) :time ( <pointer:6> era :wiki <lit> Roman Empire </lit> :name ( <pointer:7> name :op1 <lit> Roman </lit> :op2 <lit> Empire </lit> ) ) ) :op2 ( <pointer:8> follow-01 :ARG1 ( <pointer:9> organization :wiki - :name ( <pointer:10> name :op1 <lit> Saint-Etienne </lit> :op2 <lit> Church </lit> ) :mod ( <pointer:11> religious-group :wiki <lit> Christian </lit> :name ( <pointer:12> name :op1 <lit> Christian </lit> ) ) :ord ( <pointer:13> ordinal-entity :value 1 ) ) :ARG2 <pointer:2> :time ( <pointer:14> date-entity :century 4 ) ) )  </g> [EOS],Enclosed is a card to record your response.," There is a response card. , enclosed for your convenience . ) and"
"<t> Enclosed is information that describes this program, as well as our community education initiatives in over 20 American Indian Nation. </t> <g> ( <pointer:0> tell-01 :mode imperative :polite + :ARG0 ( <pointer:1> you ) :ARG1 ( <pointer:2> eat-01 :ARG0 ( <pointer:3> person :mod ( <pointer:4> country :wiki <lit> United States </lit> :name ( <pointer:5> name :op1 <lit> America </lit> ) ) ) :ARG1 ( <pointer:6> kale ) :frequency ( <pointer:7> rate-entity-91 :ARG1 5 :ARG2 ( <pointer:8> temporal-quantity :quant 1 :unit ( <pointer:9> week ) ) ) ) :ARG1-of ( <pointer:10> version-01 :ARG2 ( <pointer:11> line :mod ( <pointer:12> take-01 :mode imperative :polite + :ARG0 <pointer:1> :ARG1 ( <pointer:13> person :ARG0-of ( <pointer:14> have-rel-role-91 :ARG1 <pointer:1> :ARG2 ( <pointer:15> wife ) ) ) ) ) :mod ( <pointer:16> official :topic ( <pointer:17> healthy :domain ( <pointer:18> public ) ) ) ) )  </g> [EOS]",Enclosed are pamphlets and documents that describe our program., Information that describes this program is enclosed. ...and our community education initiatives
"<t> Um she used to, she used to walk every day. </t> <g> ( <pointer:0> cause-01 :ARG1 ( <pointer:1> deal-01 :polarity - :ARG0 ( <pointer:2> they ) :ARG2 ( <pointer:3> cash ) :degree ( <pointer:4> much ) :time ( <pointer:5> anymore ) :mod ( <pointer:6> either ) ) )  </g> [EOS]",She got in the habit of walking every day.," She used to walk every day. , she didn't have much money"
"<t> Oh, can you think of any other stories? </t> <g> ( <pointer:0> contrast-01 :ARG2 ( <pointer:1> resemble-01 :polarity - :ARG1 ( <pointer:2> she ) :ARG2 ( <pointer:3> photo :poss <pointer:2> ) :degree ( <pointer:4> bit ) ) )  </g> [EOS]",Are there any other stories you can remember?," Can you think of any other stories? , can't they show her"
<t> Did you ever see the ghost? </t> <g> ( <pointer:0> have-degree-91 :ARG2 ( <pointer:1> good-02 ) :ARG3 ( <pointer:2> most ) :ARG5 ( <pointer:3> thing :ARG1-of ( <pointer:4> hope-01 :ARG0 ( <pointer:5> we ) :ARG1-of ( <pointer:6> possible-01 ) ) ) )  </g> [EOS],Where you able to see the spirit?, Did you ever see the ghost? . Were we able to do that
<t> Increased profit came from missing fewer sales by being in stock a higher percentage of the time. </t> <g> ( <pointer:0> and :op1 ( <pointer:1> see-01 :ARG0 ( <pointer:2> and :op1 ( <pointer:3> personnel :mod ( <pointer:4> service :mod ( <pointer:5> law ) ) ) :op2 ( <pointer:6> personnel :mod ( <pointer:7> court ) ) :op3 ( <pointer:8> person :ARG1-of ( <pointer:9> expert-01 :ARG2 ( <pointer:10> technology ) ) :mod ( <pointer:11> other ) ) ) :ARG1 ( <pointer:12> demonstrate-01 :ARG0 ( <pointer:13> company :quant 4 ) :ARG1 ( <pointer:14> product :poss <pointer:13> ) ) ) :op2 ( <pointer:15> assess-01 :ARG0 <pointer:2> :ARG1 ( <pointer:16> utility :poss <pointer:13> :purpose ( <pointer:17> prepare-01 :ARG0 <pointer:13> :ARG1 ( <pointer:18> document :mod ( <pointer:19> pro-se ) ) ) ) ) :location ( <pointer:20> event :mod ( <pointer:21> that ) ) )  </g> [EOS],More sales were made and profits went up.," The company made more money by missing sales. ...or better yet,"
<t> Please make checks payable to IU Foundation for the Timothy J. O'Leary Periodontal Endowment Fund. </t> <g> ( <pointer:0> and :op1 ( <pointer:1> know-01 :ARG0 ( <pointer:2> you ) ) :op2 ( <pointer:3> talk-01 :ARG0 ( <pointer:4> he ) :ARG1 ( <pointer:5> talk-01 :ARG0 <pointer:4> :ARG1 ( <pointer:6> go-08 :ARG1 ( <pointer:7> nobody ) :ARG2 ( <pointer:8> broke-23 :ARG1 <pointer:7> ) :ARG3 ( <pointer:9> pay-01 :ARG0 <pointer:7> :ARG1 ( <pointer:10> percentage-entity :value 30 ) ) ) ) ) )  </g> [EOS],Please make your check towards IU Foundation., The Timothy J. O'Leary Periodontal Endowment Fund requires checks to be
<t> And what can be done to ameliorate sweatshop conditions in developing countries that produce and export half of the apparel purchased in this country? </t> <g> ( <pointer:0> ask-01 :ARG0 ( <pointer:1> i ) :ARG1 ( <pointer:2> truth-value :polarity-of ( <pointer:3> think-01 :ARG0 ( <pointer:4> you ) :ARG1 ( <pointer:5> make-01 :ARG0 ( <pointer:6> person :wiki <lit> Jane Inglethorp </lit> :name ( <pointer:7> name :op1 <lit> Mrs. </lit> :op2 <lit> Inglethorp </lit> ) ) :ARG1 ( <pointer:8> will :ARG0-of ( <pointer:9> leave-02 :ARG1 ( <pointer:10> money :mod ( <pointer:11> all ) :poss <pointer:6> ) :ARG2 ( <pointer:12> person :wiki <lit> Miss Howard </lit> :name ( <pointer:13> name :op1 <lit> Miss </lit> :op2 <lit> Howard </lit> ) ) ) ) ) ) ) :manner ( <pointer:14> and :op1 ( <pointer:15> voice :ARG1-of ( <pointer:16> low-04 ) ) :op2 ( <pointer:17> curious-01 :ARG1 <pointer:1> :quant ( <pointer:18> some ) ) ) )  </g> [EOS],What can be done to fix the sweatshop problem in this country?, What can be done to ameliorate sweatshop conditions in developing countries that produce
"<t> I guess I read a lot of classic comics. </t> <g> ( <pointer:0> and :op1 ( <pointer:1> ring-01 :ARG1 ( <pointer:2> bell ) :duration ( <pointer:3> about :op1 ( <pointer:4> temporal-quantity :quant 25 :unit ( <pointer:5> minute ) ) ) ) :op2 ( <pointer:6> repair-01 :ARG0 ( <pointer:7> person :wiki <lit> Michael Tuppence, 1st Earl Tuppence </lit> :name ( <pointer:8> name :op1 <lit> Tuppence </lit> ) ) :ARG1 ( <pointer:9> hall ) :purpose ( <pointer:10> show-01 :ARG0 <pointer:7> :ARG1 ( <pointer:11> person :ARG0-of ( <pointer:12> visit-01 ) ) :ARG2 <pointer:11> :direction ( <pointer:13> out ) ) ) )  </g> [EOS]",I read a lot of classic comics., I read a lot of classic comics. ...and the bell rang for
"<t> Um, do you remember everything that your mom, like when she's telling the story, do you remember everything she tells or is some of it you remember and some of it you don't? </t> <g> ( <pointer:0> exemplify-01 :ARG0 ( <pointer:1> show-01 :ARG0 ( <pointer:2> number :ord ( <pointer:3> ordinal-entity :value 1 ) :part-of ( <pointer:4> column :mod 10 ) ) :ARG1 ( <pointer:5> represent-01 :ARG0 ( <pointer:6> volume :quant-of ( <pointer:7> mail-01 :ARG0 ( <pointer:8> household ) :ARG2 ( <pointer:9> household :mod ( <pointer:10> other ) ) ) ) :ARG1 ( <pointer:11> percentage-entity :value 6.6 :ARG3-of ( <pointer:12> include-91 :ARG2 ( <pointer:13> volume :mod ( <pointer:14> class :ord ( <pointer:15> ordinal-entity :value 1 ) ) :ARG1-of ( <pointer:16> total-01 ) ) ) ) :time ( <pointer:17> date-entity :year 1997 :season ( <pointer:18> finance ) :mod ( <pointer:19> year :mod ( <pointer:20> finance ) ) ) ) ) )  </g> [EOS]","When your mom is telling a story, do you remember it all or just parts of it?"," Do you remember everything your mom says? , do they both know that"
"<t> But because the iron balls and the brass holders had markedly different coefficients of expansion, the pyramids of cannonballs had a tendency to collapse during cold snaps'weather that was cold enough to freeze the balls off a brass monkey. </t> <g> ( <pointer:0> cluster-01 :ARG1 ( <pointer:1> sportswear :ARG1-of ( <pointer:2> popular-02 ) :accompanier ( <pointer:3> and :op1 ( <pointer:4> company :wiki <lit> Tommy Hilfiger </lit> :name ( <pointer:5> name :op1 <lit> Tommy </lit> :op2 <lit> Hilfiger </lit> ) ) :op2 ( <pointer:6> company :wiki <lit> Donna Karan </lit> :name ( <pointer:7> name :op1 <lit> Donna </lit> :op2 <lit> Karan </lit> ) ) :op3 ( <pointer:8> company :wiki <lit> Nautica </lit> :name ( <pointer:9> name :op1 <lit> Nautica </lit> ) ) :op4 ( <pointer:10> company :wiki <lit> Gap Inc. </lit> :name ( <pointer:11> name :op1 <lit> Gap </lit> ) ) :op5 ( <pointer:12> name :ARG1-of ( <pointer:13> apply-02 :ARG2 ( <pointer:14> it ) ) :mod ( <pointer:15> such ) ) ) ) :time ( <pointer:16> end-01 :ARG1 ( <pointer:17> show-04 ) ) )  </g> [EOS]",Cold weather causes the cannonballs to collapse., The iron balls and brass holders had different coefficients of expansion. ...that
<t> I look forward to hearing from you soon. </t> <g> ( <pointer:0> byline-91 :ARG0 ( <pointer:1> person :wiki - :name ( <pointer:2> name :op1 <lit> Edward </lit> :op2 <lit> Smyth </lit> ) :ARG0-of ( <pointer:3> responsible-01 :ARG1 ( <pointer:4> statue :location ( <pointer:5> building :wiki <lit> Grand Canal </lit> :name ( <pointer:6> name :op1 <lit> GPO </lit> ) ) ) :mod ( <pointer:7> also ) ) ) :ARG1 ( <pointer:8> and :op1 ( <pointer:9> sculpture :location ( <pointer:10> dome ) :ARG0-of ( <pointer:11> personify-01 :ARG1 ( <pointer:12> commerce ) ) ) :op2 ( <pointer:13> god :mod ( <pointer:14> river ) :ARG2-of ( <pointer:15> include-91 :ARG1 ( <pointer:16> person :wiki - :name ( <pointer:17> name :op1 <lit> Anna </lit> :op2 <lit> Livia </lit> ) :ARG1-of ( <pointer:18> set-01 :ARG2 ( <pointer:19> over :op1 ( <pointer:20> door :mod ( <pointer:21> main ) ) ) ) ) ) ) ) )  </g> [EOS],"Please contact me soon, I look forward to it."," I will be in touch with you soon. , byline-91"
