"<t> Here, the object of play is the written form of the answer, or, more precisely, the letters of which that form consists. </t> <g> ( <pointer:0> exemplify-01 :ARG0 ( <pointer:1> and :op1 ( <pointer:2> expect-01 :ARG0 ( <pointer:3> government-organization :wiki <lit> Bureau of Labor Statistics </lit> :name ( <pointer:4> name :op1 <lit> BLM </lit> ) ) :ARG1 ( <pointer:5> satisfy-01 :ARG0 ( <pointer:6> perform-02 :ARG0 ( <pointer:7> person :ARG0-of ( <pointer:8> have-org-role-91 :ARG2 ( <pointer:9> executive :mod ( <pointer:10> senior ) ) ) ) ) :ARG1 ( <pointer:11> customer ) ) ) :op2 ( <pointer:12> expect-01 :ARG0 ( <pointer:13> government-organization :wiki <lit> Federal Aviation Administration </lit> :name ( <pointer:14> name :op1 <lit> Federal </lit> :op2 <lit> Aviation </lit> :op3 <lit> Administration </lit> ) ) :ARG1 <pointer:5> ) :op3 ( <pointer:15> expect-01 :ARG0 ( <pointer:16> government-organization :wiki <lit> Internal Revenue Service </lit> :name ( <pointer:17> name :op1 <lit> IRS </lit> ) ) :ARG1 <pointer:5> ) :op4 ( <pointer:18> expect-01 :ARG0 ( <pointer:19> government-organization :wiki <lit> Veterans Affairs Administration </lit> :name ( <pointer:20> name :op1 <lit> Veterans </lit> :op2 <lit> Affairs </lit> :op3 <lit> Administration </lit> ) ) :ARG1 <pointer:5> ) ) :ARG1 ( <pointer:21> table :mod 2 ) )  </g> [EOS]",In this situation the object is in the written form. ," The written form of the answer is what's being played with. ,"
"<t> When we consider how much the set is on during school holidays and summer vacations, children spend more time watching TV than they do in any other waking activity, including going to school and interacting with family members or peers. </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> and :op1 ( <pointer:2> jewelry :quant ( <pointer:3> number ) :mod ( <pointer:4> expensive ) ) :op2 ( <pointer:5> shop :ARG1-of ( <pointer:6> free-04 :ARG2 ( <pointer:7> duty ) ) :mod ( <pointer:8> other ) ) :ARG0-of ( <pointer:9> have-03 :ARG1 ( <pointer:10> good :ARG1-of ( <pointer:11> price-01 :ARG2 ( <pointer:12> dollar :mod ( <pointer:13> country :wiki <lit> United States </lit> :name ( <pointer:14> name :op1 <lit> US </lit> ) ) ) ) ) ) ) :snt2 ( <pointer:15> obligate-01 :ARG2 ( <pointer:16> pay-01 :ARG1 ( <pointer:17> currency :mod ( <pointer:18> foreign ) ) :ARG3 ( <pointer:19> good :ARG1-of ( <pointer:20> free-04 :ARG2 ( <pointer:21> duty ) ) ) :time ( <pointer:22> always ) ) ) )  </g> [EOS]",TV is king when it comes to how children spend their time. , Children watch more TV during school holidays than any other waking activity.  explains
<t> The employers in the stable shops with employees whom they were anxious to keep suffered as much as we did because the union was weak. </t> <g> ( <pointer:0> have-concession-91 :ARG2 ( <pointer:1> strike-04 :ARG1 ( <pointer:2> let-01 :polarity - :ARG0 ( <pointer:3> person :wiki <lit> Steve Jobs </lit> :name ( <pointer:4> name :op1 <lit> Jobs </lit> ) ) :ARG1 ( <pointer:5> go-01 :ARG1 ( <pointer:6> idea :mod ( <pointer:7> this ) ) ) :time ( <pointer:8> ever ) :ARG1-of ( <pointer:9> real-04 ) ) :degree ( <pointer:10> truly ) ) )  </g> [EOS],Even those employees with strong union representation suffered because their employers were anxious to keep them.," The unions were weak. , as much did we suffer because of the"
<t> The law school is limited in these recessionary times because it's impractical to raise tuition significantly to gain the difference from lost state appropriations. </t> <g> ( <pointer:0> mean-01 :ARG0 ( <pointer:1> i ) :ARG2 ( <pointer:2> time :time-of ( <pointer:3> pay-01 :ARG0 ( <pointer:4> military :poss ( <pointer:5> they ) ) :ARG2 ( <pointer:6> educate-01 :ARG1 ( <pointer:7> she ) ) ) :mod ( <pointer:8> just ) ) :mod ( <pointer:9> yeah :mode expressive ) )  </g> [EOS],The law school is limited in during these times due to the recession., It's not practical to raise tuition in these times.  The law school is
"<t> Indeed, no clear dividing line exists between prereading and reading. </t> <g> ( <pointer:0> ask-02 :ARG1 ( <pointer:1> and :op1 ( <pointer:2> continue-01 :ARG0 ( <pointer:3> state :wiki <lit> Missouri </lit> :name ( <pointer:4> name :op1 <lit> Missouri </lit> ) ) :ARG1 ( <pointer:5> effort-01 :ARG0 <pointer:3> :ARG1 ( <pointer:6> plan-01 :ARG0 <pointer:3> ) ) ) :op2 ( <pointer:7> file-01 :ARG0 <pointer:3> :ARG1 ( <pointer:8> report-01 :ARG1 ( <pointer:9> plan-01 ) :mod ( <pointer:10> supplemental ) ) :ARG2 ( <pointer:11> government-organization :wiki <lit> Lincoln Survey Commission </lit> :name ( <pointer:12> name :op1 <lit> LSC </lit> ) ) :time ( <pointer:13> or :op1 ( <pointer:14> date-entity :year 1999 :month 10 :day 1 ) :op2 ( <pointer:15> before :op1 <pointer:14> ) ) ) ) :ARG2 <pointer:3> )  </g> [EOS]",There is no obvious difference between prereading and reading.," There is no clear dividing line between prereading and reading. , ask"
<t> The supervisor instructed the controller to follow standard procedures for handling a no radio aircraft. </t> <g> ( <pointer:0> see-01 :polarity - :ARG0 ( <pointer:1> he ) :ARG1 ( <pointer:2> picture :topic ( <pointer:3> thing :mod ( <pointer:4> such ) ) ) :mod ( <pointer:5> even ) :time ( <pointer:6> since :op1 ( <pointer:7> run-01 :ARG1 ( <pointer:8> movie :quant ( <pointer:9> few ) :mod ( <pointer:10> silent ) ) :location ( <pointer:11> theater :mod ( <pointer:12> art ) :ARG1-of ( <pointer:13> include-91 :ARG2 ( <pointer:14> theater :mod ( <pointer:15> art ) :mod ( <pointer:16> little ) ) ) :quant ( <pointer:17> some ) ) ) ) )  </g> [EOS],Standard procedures were followed for an aircraft with no radio.," The supervisor told the controller to follow standard procedures. , he didn't"
<t> It just kind a fills it out a little bit makes it a little easier on the ear especially if they can't sing but. </t> <g> ( <pointer:0> look-01 :mode imperative :ARG0 ( <pointer:1> you ) :ARG1 ( <pointer:2> legend :location ( <pointer:3> here ) ) )  </g> [EOS],It makes it more pleasant to listen to., It makes it easier to sing. ...what if they can't?
"<t> As with many new technologies that have developed since the 1970s, adoption of innovative equipment is still occurring in fits and starts and depends on a given firm's size and mix of products. </t> <g> ( <pointer:0> and :op1 ( <pointer:1> factor :mod ( <pointer:2> vital ) :domain ( <pointer:3> credibility ) ) :op2 ( <pointer:4> have-03 :ARG0 ( <pointer:5> person :wiki <lit> Jim Lehrer </lit> :name ( <pointer:6> name :op1 <lit> Jim </lit> :op2 <lit> Lehrer </lit> ) ) :ARG1 <pointer:3> :mod ( <pointer:7> indeed ) ) )  </g> [EOS]",A firm's size and product variety will depend on whether or not they adopt innovative equipment., Adoption of innovative equipment depends on a firm's size.  explains why
"<t> At 9:03, United 175 crashed into the South Tower. </t> <g> ( <pointer:0> see-01 :ARG0 ( <pointer:1> he ) :ARG1 ( <pointer:2> look-01 :ARG0 ( <pointer:3> person :wiki - :name ( <pointer:4> name :op1 <lit> Jamus </lit> ) ) :ARG1 ( <pointer:5> mare :ARG1-of ( <pointer:6> break-01 ) ) ) :source ( <pointer:7> corner :part-of ( <pointer:8> eye :part-of <pointer:1> ) ) )  </g> [EOS]",United 175 crashed into the South Tower at 9:03., United 175 crashed into the South Tower at 9:03.  he saw it
<t> Please renew your commitment today. </t> <g> ( <pointer:0> turn-01 :polarity - :ARG0 ( <pointer:1> you ) :ARG1 ( <pointer:2> nose :part-of <pointer:1> ) :direction ( <pointer:3> up ) :location ( <pointer:4> office :mod ( <pointer:5> person :ARG0-of ( <pointer:6> tour-01 ) ) ) :concession ( <pointer:7> even-if :op1 ( <pointer:8> person :ARG0-of ( <pointer:9> travel-01 ) :mod ( <pointer:10> kind ) :ARG0-of ( <pointer:11> like-01 :ARG1 ( <pointer:12> and :op1 ( <pointer:13> improvise-01 :ARG0 <pointer:8> ) :op2 ( <pointer:14> adventure-02 :ARG0 <pointer:8> ) ) ) :domain <pointer:1> ) ) )  </g> [EOS],A renewal of commitment is required today," Please renew your commitment today. , when you turn to see if anyone"
<t> Each prospective and current program is evaluated on the basis of its support of one or more aspects of women's needs. </t> <g> ( <pointer:0> multi-sentence :li 109 :snt1 ( <pointer:1> interest-01 :ARG2 ( <pointer:2> know-01 ) :mod ( <pointer:3> still ) ) :snt2 ( <pointer:4> and :li 109 :op1 ( <pointer:5> look-01 :ARG0 ( <pointer:6> person :wiki <lit>cule Poirot </lit> :name ( <pointer:7> name :op1 <lit> Poirot </lit> ) ) :ARG1 ( <pointer:8> i ) :manner ( <pointer:9> earnest-01 :degree ( <pointer:10> very ) ) ) :op2 ( <pointer:11> shake-01 :ARG0 <pointer:6> :ARG1 ( <pointer:12> head :part-of <pointer:6> ) :mod ( <pointer:13> again ) ) ) )  </g> [EOS],Every program is judged on how well it helps women., Each prospective and current program is evaluated on the basis of its support. 
<t> So what has changed the prognosis for American apparel and textiles and provided new opportunities for these industries? </t> <g> ( <pointer:0> contrast-01 :ARG1 ( <pointer:1> share-01 :polarity - :ARG1 ( <pointer:2> stock :ARG1-of ( <pointer:3> come-01 :direction ( <pointer:4> back ) :ARG1-of ( <pointer:5> possible-01 ) :time ( <pointer:6> someday ) ) ) ) :ARG2 ( <pointer:7> pile :consist-of ( <pointer:8> option :ARG1-of ( <pointer:9> have-degree-91 :ARG2 ( <pointer:10> worth-01 :polarity - :ARG1 <pointer:8> ) :ARG3 ( <pointer:11> equal ) :ARG4 ( <pointer:12> share :poss ( <pointer:13> organization :wiki <lit> American Business Alliance </lit> :name ( <pointer:14> name :op1 <lit> American </lit> :op2 <lit> Business </lit> :op3 <lit> Alliance </lit> ) :poss ( <pointer:15> person :wiki <lit> Tim Cook </lit> :name ( <pointer:16> name :op1 <lit> Cook </lit> ) ) ) :mod ( <pointer:17> that ) ) ) ) :mod ( <pointer:18> just ) ) )  </g> [EOS],There are now more opportunities in the apparel and textile industries in America., What has changed the outlook for American apparel and textiles? .com
"<t>  Got him just out of 9,500-9,000 now. </t> <g> ( <pointer:0> change-01 :ARG1 ( <pointer:1> amr-unknown ) )  </g> [EOS]",We got him out of that 9500-9000 range.," He's just out of 9,500-9.000 now ..."
<t> Appreciate it. </t> <g> ( <pointer:0> and :op1 ( <pointer:1> substitute-01 :ARG0 ( <pointer:2> i ) :ARG1 <pointer:2> ) :op2 ( <pointer:3> do-02 :ARG0 ( <pointer:4> person :ARG0-of ( <pointer:5> have-rel-role-91 :ARG1 <pointer:2> :ARG2 ( <pointer:6> kid ) ) ) :ARG1 ( <pointer:7> or :op1 ( <pointer:8> temporal-quantity :quant 4 :unit ( <pointer:9> hour ) ) :op2 ( <pointer:10> temporal-quantity :quant 5 :unit ( <pointer:11> hour ) ) ) :ARG2 <pointer:2> :time ( <pointer:12> week :mod ( <pointer:13> this ) ) ) :op3 ( <pointer:14> problem :polarity - ) )  </g> [EOS],Thank you.," Thanks. , Appreciate it! )asmotical of the"
"<t> He views either of them as the instrument, the bond, of his not being able to pass on the crown to a successor of his choosing (or of his subsequent begetting). </t> <g> ( <pointer:0> visit-01 :mode imperative :ARG0 ( <pointer:1> you ) :time ( <pointer:2> or :op1 ( <pointer:3> date-entity :dayperiod ( <pointer:4> sundown ) ) :op2 ( <pointer:5> out-06 :ARG1 <pointer:1> :ARG2 ( <pointer:6> season ) ) ) :purpose ( <pointer:7> get-01 :ARG0 <pointer:1> :ARG1 ( <pointer:8> flavor :ARG1-of ( <pointer:9> full-09 ) :poss ( <pointer:10> setting ) ) ) )  </g> [EOS]",He cannot pass the klngship onto someone else., He doesn't want to pass on the crown. ...what he views
<t> Something to that effect. </t> <g> ( <pointer:0> possible-01 :ARG1 ( <pointer:1> position-01 :ARG0 ( <pointer:2> person :wiki <lit> Newt Gingrich </lit> :name ( <pointer:3> name :op1 <lit> Gingrich </lit> ) ) :ARG1 <pointer:2> :ARG2 ( <pointer:4> fill-01 :ARG0 <pointer:2> :ARG1 ( <pointer:5> it ) ) :manner ( <pointer:6> reverse-01 :ARG1 ( <pointer:7> role ) :mod ( <pointer:8> further ) ) ) )  </g> [EOS],That's approximately what it means. ," Something to that effect. , when it comes back later on in the"
"<t> The story disclosed that adults realize a long service is hard for a small boy to sit through, but exercising self-restraint and participating in communal rituals bring praise and acceptance from the community. </t> <g> ( <pointer:0> contrast-01 :ARG1 ( <pointer:1> possible-01 :ARG1 ( <pointer:2> pick-up-04 :ARG0 ( <pointer:3> person :ARG0-of ( <pointer:4> have-rel-role-91 :ARG2 ( <pointer:5> parent ) ) ) :ARG1 ( <pointer:6> semaphore :ARG1-of ( <pointer:7> gay-01 ) :mod ( <pointer:8> this ) ) ) ) :ARG2 ( <pointer:9> likely-01 :polarity - :ARG1 ( <pointer:10> pick-up-04 :ARG0 ( <pointer:11> kid ) :ARG1 <pointer:6> ) ) )  </g> [EOS]","According to the story, adult's do realize that a small boy will find a long service difficult to sit through.", Adults know a long service is hard for kids.  The story disclosed that adults
"<t> Of those beginning prenatal care in the first trimester, Indiana mothers rank in the lower third of individuals receiving such care nationwide. </t> <g> ( <pointer:0> enter-01 :mode imperative :ARG0 ( <pointer:1> you ) :ARG1 ( <pointer:2> courtyard ) :path ( <pointer:3> gate :ARG0-of ( <pointer:4> open-01 :ARG1 ( <pointer:5> facility :wiki <lit> Hippodrome </lit> :name ( <pointer:6> name :op1 <lit> Hippodrome </lit> ) ) ) ) :purpose ( <pointer:7> savor-01 :ARG0 <pointer:1> :ARG1 ( <pointer:8> affect-01 :ARG0 ( <pointer:9> skill :poss ( <pointer:10> architect ) ) :degree ( <pointer:11> full ) ) ) )  </g> [EOS]",There are Indiana mothers who do not receive prenatal care in the first trimester., Indiana mothers are not the most likely to have a baby in their first trimester.
"<t> The people of Batavia on the Hopi Reservation in northern Arizona were motivated by their desire to rekindle traditional cultural values among younger generations when, with the help of Futures for Children, they decided to restore traditional terrace gardens at the edge of their village -gardens that had been abandoned for decades. </t> <g> ( <pointer:0> think-01 :ARG0 ( <pointer:1> i ) :ARG1 ( <pointer:2> do-02 :ARG1 ( <pointer:3> nothing :mod ( <pointer:4> more ) ) :location ( <pointer:5> here ) :condition ( <pointer:6> stare-01 :ARG0 ( <pointer:7> he ) :ARG1 ( <pointer:8> ash :ARG1-of ( <pointer:9> die-01 ) :location ( <pointer:10> grate ) ) :manner ( <pointer:11> and :op1 ( <pointer:12> earnest-01 ) :op2 ( <pointer:13> long-03 ) ) ) ) )  </g> [EOS]",Traditional values have motivated people of Batavia to care about their land., Futures for Children helped the people of Batavia restore their terrace gardens. 
"<t> Between 9:01 and 9:02, a manager from New York Center told the Command Center in  </t> <g> ( <pointer:0> possible-01 :ARG1 ( <pointer:1> possible-01 :ARG1 ( <pointer:2> say-01 :ARG0 ( <pointer:3> we ) :ARG1 ( <pointer:4> and :op1 ( <pointer:5> involve-01 :ARG1 ( <pointer:6> assimilate-01 :ARG1-of ( <pointer:7> instead-of-91 :ARG2 ( <pointer:8> accumulate-01 ) ) ) :ARG2 <pointer:13> ) :op2 ( <pointer:9> surrogate :domain ( <pointer:10> person :ARG0-of ( <pointer:11> perform-01 ) ) :ARG1-of ( <pointer:12> contrast-01 :ARG2 ( <pointer:13> vessel :domain <pointer:10> ) ) :ARG1-of ( <pointer:14> have-quant-91 :polarity - :ARG2 ( <pointer:15> much ) :ARG3 ( <pointer:16> so ) ) ) ) :ARG3 ( <pointer:17> act-01 :mod ( <pointer:18> great ) ) :mod ( <pointer:19> all ) ) ) )  </g> [EOS]",A manager from the New York Center told the Command Center something between 9:01 and 9:02., A manager from New York Center told the Command center between 9:01 and 09.
<t> Did you have lots of storybooks at your house that were read to you? </t> <g> ( <pointer:0> stage-01 :ARG0 ( <pointer:1> facility :wiki <lit> Swaythling Pool </lit> :name ( <pointer:2> name :op1 <lit> Sultan's </lit> :op2 <lit> Pool </lit> ) :mod ( <pointer:3> amphitheatre :mod ( <pointer:4> vast ) :location ( <pointer:5> outdoor ) ) ) :ARG1 ( <pointer:6> or :op1 ( <pointer:7> concert :mod ( <pointer:8> rock ) ) :op2 ( <pointer:9> event :mod ( <pointer:10> name :mod ( <pointer:11> big ) ) :mod ( <pointer:12> other ) ) ) :time ( <pointer:13> date-entity :season ( <pointer:14> summer ) ) )  </g> [EOS],Were a lot of the books in your house read to you?, Did you read storybooks at your house? . Were there any other
<t> Blaring sirens and horrendous crime. </t> <g> ( <pointer:0> groan-01 :ARG0 ( <pointer:1> person :wiki - :name ( <pointer:2> name :op1 <lit> Julius </lit> ) ) :ARG1 ( <pointer:3> thing :mod ( <pointer:4> great ) :domain ( <pointer:5> keep-02 :ARG1 ( <pointer:6> calm-03 ) ) ) )  </g> [EOS],Loud sirens and terrible crime.," There was a terrible crime. , groan-out! and bl"
<t> How can parents beat the  time bind ? </t> <g> ( <pointer:0> provide-01 :ARG0 ( <pointer:1> date-entity :year 1995 :month 6 :day 21 ) :ARG1 ( <pointer:2> require-01 :ARG1 ( <pointer:3> and :op1 ( <pointer:4> assess-01 :ARG1 ( <pointer:5> control-01 ) ) :op2 ( <pointer:6> report-01 :ARG1 <pointer:5> ) ) :ARG1-of ( <pointer:7> specific-02 ) ) )  </g> [EOS],How can parents find more time?," How can parents avoid the time bind? , provide-to Can"
"<t> Fulfilling his bargain with Turabi, Bin Ladin used his construction company to build a new highway from Khartoum to Port Sudan on the Red Sea coast. </t> <g> ( <pointer:0> crose-01 :mode imperative :ARG0 ( <pointer:1> you ) :ARG1 ( <pointer:2> road :wiki - :name ( <pointer:3> name :op1 <lit> Rue </lit> :op2 <lit> de </lit> :op3 <lit> la </lit> :op4 <lit> R??publique </lit> ) ) :direction ( <pointer:4> church :wiki <lit> Eglise Saint-Marlou </lit> :name ( <pointer:5> name :op1 <lit> Eglise </lit> :op2 <lit> Saint-Maclou </lit> ) :time ( <pointer:6> date-entity :century 15 ) :ARG0-of ( <pointer:7> exemplify-01 :ARG1 ( <pointer:8> style :wiki <lit> Renaissance architecture </lit> :name ( <pointer:9> name :op1 <lit> Flamenco </lit> ) :mod ( <pointer:10> boy ) ) :ARG1-of ( <pointer:11> have-degree-91 :ARG2 ( <pointer:12> rich ) :ARG3 ( <pointer:13> most ) :ARG5 ( <pointer:14> country ) ) ) ) :location ( <pointer:15> behind :op1 ( <pointer:16> cathedral ) ) ) "",</g> [EOS]",Bin Ladin used his construction company to construct a highway between the city to the port., Bin Ladin built a highway from Khartoum to Port Sudan. 
<t> Is there a favorite story or storybook or anything that you had when you were little that somebody read to you? </t> <g> ( <pointer:0> recommend-01 :ARG0 ( <pointer:1> government-organization :wiki <lit> Government Accountability Office </lit> :name ( <pointer:2> name :op1 <lit> GAO </lit> ) ) :ARG1 ( <pointer:3> revise-01 :ARG0 ( <pointer:4> person :ARG0-of ( <pointer:5> have-org-role-91 :ARG2 ( <pointer:6> secretary :topic ( <pointer:7> defend-01 ) ) ) ) :ARG1 ( <pointer:8> and :op1 ( <pointer:9> policy-01 ) :op2 ( <pointer:10> guide-01 ) ) ) )  </g> [EOS],Were any books read to you in your childhood?, Do you have a favorite story that your parents read to me?  I wonder
<t> I really don't. </t> <g> ( <pointer:0> tangle-01 :ARG0 ( <pointer:1> thing :wiki - :name ( <pointer:2> name :op1 <lit> Kal </lit> ) ) :ARG1 ( <pointer:3> arm :mod ( <pointer:4> both ) :part-of ( <pointer:5> person :wiki - :name ( <pointer:6> name :op1 <lit> Adrin </lit> ) ) ) :ARG0-of ( <pointer:7> cause-01 :ARG1 ( <pointer:8> keep-04 :ARG0 <pointer:1> :ARG1 ( <pointer:9> blade ) :ARG2 ( <pointer:10> away :extent ( <pointer:11> far ) ) ) ) )  </g> [EOS],I do not., I don't.  (ease of hand) and the tangle
