premise,hypo,generated_hypo
"<t> . Mr. Whopsle, being knocked up, was in such a very bad temper.  </t> <g> ( <pointer:0> click-01 :mode imperative :ARG0 ( <pointer:1> you ) :location ( <pointer:2> here ) :purpose ( <pointer:3> explain-01 :ARG0 ( <pointer:4> person :wiki <lit> Daniel Finkelstein </lit> :name ( <pointer:5> name :op1 <lit> Finkelstein </lit> ) ) :ARG1 ( <pointer:6> thing :ARG0-of ( <pointer:7> cause-01 :ARG1 ( <pointer:8> expediency :domain ( <pointer:9> logic :mod ( <pointer:10> this ) ) ) ) ) ) )  </g> [EOS]",Mr. Whopsle was furious.," Mr. Whopsle was upset about being pregnant , explaining the reason"
"<t> All the ingredients may be present'the music, the singers, the dancers, the setting, and costumes'but, alas, duende itself fails to show up and the production fizzles. </t> <g> ( <pointer:0> attempt-01 :ARG0 ( <pointer:1> company :wiki - :name ( <pointer:2> name :op1 <lit> Universal </lit> :op2 <lit> Cityalk </lit> ) ) :ARG1 ( <pointer:3> grab-01 :ARG0 <pointer:1> :ARG1 ( <pointer:4> dollar :source ( <pointer:5> person :ARG0-of ( <pointer:6> tour-01 ) ) ) :instrument ( <pointer:7> collect-01 :ARG0 <pointer:1> :ARG1 ( <pointer:8> wonder :ARG1-of ( <pointer:9> retail-01 ) :ARG2-of ( <pointer:10> include-01 :ARG1 ( <pointer:11> and :op1 ( <pointer:12> shop :mod ( <pointer:13> magic ) ) :op2 ( <pointer:14> store :mod ( <pointer:15> toy ) ) :op3 ( <pointer:16> shop :mod ( <pointer:17> sport ) ) :op4 ( <pointer:18> memorabilia :mod ( <pointer:19> science-fiction ) :ARG0-of ( <pointer:20> host-01 ) ) ) ) ) :ARG1-of ( <pointer:21> extensive-03 ) ) ) :manner ( <pointer:22> cater-01 :ARG0 <pointer:1> :ARG2 ( <pointer:23> person :ARG1-of ( <pointer:24> local-02 ) ) :degree ( <pointer:25> hardly ) ) )  </g> [EOS]",Duende itself fails to show up and the production fizzles., The production fizzles when the duende fails to show up. 
"<t> But, it is high time that we establish direct contact with all alumni from all the graduation years, from all Department activities and areas. </t> <g> ( <pointer:0> possible-01 :polarity ( <pointer:1> amr-unknown ) :ARG1 ( <pointer:2> ask-01 :ARG0 ( <pointer:3> i ) :ARG1 ( <pointer:4> truth-value :polarity-of ( <pointer:5> have-mod-91 :ARG1 <pointer:7> :ARG2 ( <pointer:6> country :wiki <lit> Canada </lit> :name ( <pointer:7> name :op1 <lit> Canada </lit> ) ) ) ) :ARG2 ( <pointer:8> you ) :mod ( <pointer:9> just ) ) )  </g> [EOS]",There are alumni from all Department activities and areas. , It is time to establish direct contact with all alumni. ...what if
"<t> Societies seldom see what is central in their own cultures, having much less trouble identifying it in the cultures of others. </t> <g> ( <pointer:0> possible-01 :ARG1 ( <pointer:1> mean-01 :ARG1 ( <pointer:2> monetary-quantity :quant 36000000 :unit ( <pointer:3> dollar ) ) :ARG2 ( <pointer:4> lose-02 :ARG0 ( <pointer:5> service :ARG1-of ( <pointer:6> legal-02 ) :poss ( <pointer:7> state ) :beneficiary ( <pointer:8> person :mod ( <pointer:9> poor ) ) ) :ARG1 ( <pointer:10> office :quant 6 :ARG1-of ( <pointer:11> include-91 :ARG2 ( <pointer:12> office :quant 21 :mod ( <pointer:13> region ) :poss <pointer:5> ) ) ) ) ) :ARG1-of ( <pointer:14> say-01 :ARG0 ( <pointer:15> person :ARG0-of ( <pointer:16> head-01 :ARG1 ( <pointer:17> center :mod ( <pointer:18> resource :mod ( <pointer:19> poor ) ) ) ) ) ) )  </g> [EOS]",Societies have less trouble noticing what is central in other cultures., Societies don't always see the central elements in their own cultures. 
<t> We're at war . . . somebody's going to pay. </t> <g> ( <pointer:0> contrast-01 :ARG2 ( <pointer:1> seem-01 :ARG1 ( <pointer:2> persuasive-02 :polarity - :ARG0 ( <pointer:3> argue-01 :ARG1 ( <pointer:4> harm-01 :ARG0 ( <pointer:5> it ) ) ) ) ) )  </g> [EOS],We are going to get back at them.," Someone will pay for the war. , when we're at it..."
"<t> On the other hand, one would hate to lose the information that might be contained in past years' selling patterns. </t> <g> ( <pointer:0> have-condition-91 :ARG2 ( <pointer:1> live-01 :ARG0 ( <pointer:2> you ) :location ( <pointer:3> apartment ) :mod ( <pointer:4> right ) ) :manner ( <pointer:5> defiant ) )  </g> [EOS]",Losing the information from past years' would be devastating. ," One would hate to lose information. , one Wouldhateto lost the"
<t> These people are living proof that your investment pays off. </t> <g> ( <pointer:0> run-04 :ARG1 ( <pointer:1> employ-01 :polarity - ) :ARG2 ( <pointer:2> approximately :op1 ( <pointer:3> percentage-entity :value 6 ) ) )  </g> [EOS],The people are proof that the investment is worth it., The people are proof that your investment pays off. ...what they're
<t>  Why are horse and cow lying down? Kevin asked. </t> <g> ( <pointer:0> feel-01 :ARG0 ( <pointer:1> he ) :ARG1 ( <pointer:2> weight :poss ( <pointer:3> dagger :mod ( <pointer:4> hand :mod ( <pointer:5> off ) ) ) ) :location ( <pointer:6> back :part-of <pointer:1> :mod ( <pointer:7> small ) ) )  </g> [EOS],Kevin asked why the horse and cow are lying down.," Kevin asked why the horses were lying down. ,what are they doing"
"<t> Um, yes y'all need to include that picture with my little dysentery here, uh disinter, I guess it is. </t> <g> ( <pointer:0> possible-01 :ARG1 ( <pointer:1> appeal-03 :polarity - :ARG0 ( <pointer:2> reform-01 :ARG1 ( <pointer:3> tax-01 ) ) :ARG1 ( <pointer:4> side :poss ( <pointer:5> person :wiki <lit> Bill Bradley </lit> :name ( <pointer:6> name :op1 <lit> Bradley </lit> ) ) :ARG1-of ( <pointer:7> new-01 ) :ARG1-of ( <pointer:8> spiritualize-01 ) ) ) )  </g> [EOS]",You all need to include a picture., You need to include that picture with my dysentery.  I guess it
<t> And that's like I can totally see my dad in my personality. </t> <g> ( <pointer:0> remark-01 :ARG0 ( <pointer:1> you ) :ARG1 ( <pointer:2> sort :mod ( <pointer:3> that ) ) :ord ( <pointer:4> ordinal-entity :value 2 ) :domain ( <pointer:5> that ) )  </g> [EOS],I can absolutely see my dad with my personality., I can see my dad in me. ...what you said about it
<t> Our free educational programs can save lives. </t> <g> ( <pointer:0> realize-01 :ARG0 ( <pointer:1> person :wiki - :name ( <pointer:2> name :op1 <lit> Jon </lit> ) ) :ARG1 ( <pointer:3> see-01 :polarity - :ARG0 ( <pointer:4> man :mod ( <pointer:5> this ) ) :ARG1 ( <pointer:6> rain-01 ) :time ( <pointer:7> ever ) :time ( <pointer:8> before ) ) )  </g> [EOS],Our programs can save lives.," Our free educational programs can save lives. , realize that this man never"
<t> Some of Bin Ladin's close comrades were more peers than subordinates. </t> <g> ( <pointer:0> reveal-01 :ARG0 ( <pointer:1> profile :ARG1-of ( <pointer:2> preview-01 :degree ( <pointer:3> much ) ) :topic ( <pointer:4> person :wiki <lit> Michael Huffington </lit> :name ( <pointer:5> name :op1 <lit> Michael </lit> :op2 <lit> Huffington </lit> ) ) ) :ARG1 ( <pointer:6> gay-01 :ARG1 <pointer:4> :ARG2-of ( <pointer:7> surprise-01 ) ) )  </g> [EOS],Some people had a status almost equal to Bin Ladin., Bin Ladin's close comrades were more peers than subordinates. ...what
<t> Are you sure you want to be telling people that? </t> <g> ( <pointer:0> possible-01 :ARG1 ( <pointer:1> temporal-quantity :quant 3 :unit ( <pointer:2> month ) ) )  </g> [EOS],Do you really think it's in your best interest to be informing other folks about that?, Are you sure that's what it is? . Weren't those
<t> Please join us as we continue to rebuild this historic neighborhood into a place of pride and community strength. </t> <g> ( <pointer:0> itemize-01 :polarity - :ARG0 ( <pointer:1> i ) :time ( <pointer:2> ever ) :mod ( <pointer:3> oh :mode expressive ) :time ( <pointer:4> yet ) )  </g> [EOS],We will continue to rebuild the historic neighborhood., We are working to rebuild this historic neighborhood.  Please join us as we continue
<t> Perhaps Aman will sharpen his perspective and techniques and institute such interviews as a regular feature of Maledicta . </t> <g> ( <pointer:0> and :op1 ( <pointer:1> poke-01 :ARG0 ( <pointer:2> dinosaur ) :ARG1 ( <pointer:3> around :op1 ( <pointer:4> thing :ARG1-of ( <pointer:5> remain-01 ) ) ) ) :op2 ( <pointer:6> fight-01 :ARG0 <pointer:2> :ARG2 ( <pointer:7> scrap ) ) :op3 ( <pointer:8> scavenger :mod ( <pointer:9> little ) :ARG0-of ( <pointer:10> twitch-01 ) ) )  </g> [EOS],Maybe Maledicta will have such interviews more regularly.," Maledicta will feature interviews.  and Aman's perspective,"
<t> These measures were precautionary steps taken because of the strikes in New York. </t> <g> ( <pointer:0> point-out-02 :ARG0 ( <pointer:1> person :ARG0-of ( <pointer:2> favor-01 :ARG1 ( <pointer:3> choose-01 ) ) ) :ARG1 ( <pointer:4> cut-out-06 :ARG0 ( <pointer:5> image :mod ( <pointer:6> this ) :ARG1-of ( <pointer:7> close-10 ) ) :ARG1 ( <pointer:8> context :poss ( <pointer:9> fetus ) :ARG1-of ( <pointer:10> mean-01 :ARG2 ( <pointer:11> woman ) ) ) :ARG2 ( <pointer:12> picture ) :manner ( <pointer:13> literal ) ) )  </g> [EOS],The strikes in New York caused those precautionary measures to be put in place.," The strikes in New York prompted these precautions. , point-out the"
<t> \\ Can you remember the very first stories that were read when you were little? </t> <g> ( <pointer:0> publication-91 :ARG0 ( <pointer:1> person :wiki <lit> Robert E. Lee </lit> :name ( <pointer:2> name :op1 <lit> Mack </lit> :op2 <lit> Lee </lit> ) :ARG0-of ( <pointer:3> serve-01 :ARG1 ( <pointer:4> body ) :ARG2 ( <pointer:5> person :wiki <lit> Robert E. Lee </lit> :name ( <pointer:6> name :op1 <lit> Robert </lit> :op2 <lit> E. </lit> :op3 <lit> Lee </lit> ) :ARG0-of ( <pointer:7> have-org-role-91 :ARG2 ( <pointer:8> general ) ) ) :duration ( <pointer:9> war :wiki <lit> American Civil War </lit> :name ( <pointer:10> name :op1 <lit> Civil </lit> :op2 <lit> War </lit> ) ) ) ) :ARG1-of ( <pointer:11> publish-01 :time ( <pointer:12> date-entity :year 1918 ) ) )  </g> [EOS],Do you remember the first stories that were read to you?, Can you recall the very first stories that were read when your children was young? 
<t> None are reported to have received a significant response. </t> <g> ( <pointer:0> need-01 :ARG0 ( <pointer:1> person :ARG1-of ( <pointer:2> employ-01 ) ) :ARG1 ( <pointer:3> and :op1 ( <pointer:4> incentivize-01 :ARG1 <pointer:1> ) :op2 ( <pointer:5> train-01 :ARG2 <pointer:1> ) :op3 ( <pointer:6> support-01 :ARG1 <pointer:1> ) :purpose ( <pointer:7> help-01 :ARG0 <pointer:3> :ARG1 ( <pointer:8> and :op1 ( <pointer:9> learn-01 :ARG0 <pointer:1> :ARG1-of ( <pointer:10> continue-01 ) ) :op2 ( <pointer:11> adapt-01 :ARG0 <pointer:1> ) ) :ARG2 <pointer:1> ) ) :ARG1-of ( <pointer:12> cause-01 :ARG0 ( <pointer:13> face-01 :ARG0 ( <pointer:14> agency ) :ARG1 ( <pointer:15> environment :mod ( <pointer:16> dynamic ) ) ) ) :mod ( <pointer:17> further ) )  </g> [EOS],None have said they received an answer.," None have received a significant response. ,what are the reports? )"
"<t> As graduates of the class of 1990, we would like to leave behind something tangible, in appreciation for the support and encouragement we have received from other students in the School of Engineering and Technology. </t> <g> ( <pointer:0> obligate-01 :ARG2 ( <pointer:1> aim-01 :ARG0 ( <pointer:2> screen-01 ) :ARG1 ( <pointer:3> outcome :ARG1-of ( <pointer:4> improve-01 :manner ( <pointer:5> and :op1 ( <pointer:6> refer-02 ) :op2 ( <pointer:7> counsel-01 ) ) ) ) :mod ( <pointer:8> final ) ) )  </g> [EOS]",We want leave a concrete symbol of our appreciation to the school.," We graduated in 1990. , we would like to leave behind something tangible"
"<t> The second radio transmission, 35 seconds later, indicated that the fight was continuing. </t> <g> ( <pointer:0> have-degree-91 :ARG2 ( <pointer:1> good-02 ) :ARG3 ( <pointer:2> most ) :ARG5 ( <pointer:3> thing :ARG1-of ( <pointer:4> hope-01 :ARG0 ( <pointer:5> we ) :ARG1-of ( <pointer:6> possible-01 ) ) ) )  </g> [EOS]","35 seconds later, the next transmission states the flight was continuing. "," The fight continued 35 seconds later. , indicated that the second radio transmission"
"<t> As a donor to the School of Dentistry, you are making a significant investment in dental education in Indiana. </t> <g> ( <pointer:0> contrast-01 :ARG2 ( <pointer:1> find-01 :ARG0 ( <pointer:2> person :ARG0-of ( <pointer:3> vote-01 ) :ARG0-of ( <pointer:4> interfere-01 :polarity - ) ) :ARG1 ( <pointer:5> play-02 :ARG0 <pointer:2> :ARG1 ( <pointer:6> and :op1 ( <pointer:7> person :ARG0-of ( <pointer:8> analyze-01 :ARG1 ( <pointer:9> budget ) ) ) :op2 ( <pointer:10> wonk :mod ( <pointer:11> tax ) ) ) ) :time ( <pointer:12> or :op1 ( <pointer:13> spend-01 :ARG3 ( <pointer:14> cushion ) :time ( <pointer:15> after :op1 ( <pointer:16> now ) :quant ( <pointer:17> or :op1 ( <pointer:18> temporal-quantity :quant 1 :unit ( <pointer:19> year ) ) :op2 ( <pointer:20> temporal-quantity :quant 2 :unit ( <pointer:21> year ) ) ) ) ) :op2 ( <pointer:22> arrive-01 :ARG1 ( <pointer:23> recession-02 :mod ( <pointer:24> next ) ) ) ) ) )  </g> [EOS]",You are making a great investment to future dental education when you donate. ," You are investing in dental education. , you're making a significant investment"
"<t> He said the President signed off on that concept. </t> <g> ( <pointer:0> suspect-01 :ARG0 ( <pointer:1> person :mod ( <pointer:2> country :wiki <lit> United States </lit> :name ( <pointer:3> name :op1 <lit> America </lit> ) ) :quant ( <pointer:4> many ) ) :ARG1 ( <pointer:5> and :op1 ( <pointer:6> infiltrate-01 :ARG0 ( <pointer:7> person :mod ( <pointer:8> political-movement :wiki <lit> Communism </lit> :name ( <pointer:9> name :op1 <lit> communism </lit> ) ) ) :ARG1 ( <pointer:10> city :wiki <lit> Washington, D.C. </lit> :name ( <pointer:11> name :op1 <lit> Washington </lit> ) ) ) :op2 ( <pointer:12> subvert-01 :ARG0 <pointer:7> :ARG1 ( <pointer:13> democracy :poss ( <pointer:14> we ) ) :time ( <pointer:15> about-to ) ) ) :time ( <pointer:16> deep-02 :ARG1 ( <pointer:17> war :wiki <lit> Cold War </lit> :name ( <pointer:18> name :op1 <lit> Cold </lit> :op2 <lit> War </lit> ) ) ) )  </g> [EOS]","The President signed off on the concept, according to him."," The President signed off on that concept.  He said the president, as many"
"<t> A more emphatic adjective is perjinkety ; and it has the noun perjinkity , defined as  a nicety.  </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> and :op1 ( <pointer:2> reach-03 :ARG0 ( <pointer:3> he ) :ARG2 ( <pointer:4> head :part-of ( <pointer:5> i ) ) ) :op2 ( <pointer:6> put-01 :ARG0 <pointer:3> :ARG1 ( <pointer:7> hand :part-of <pointer:3> ) :ARG2 ( <pointer:8> over :op1 <pointer:4> ) ) :op3 ( <pointer:9> pull-01 :ARG0 <pointer:3> :ARG1 <pointer:5> :ARG2 ( <pointer:10> chest :part-of <pointer:3> :ARG1-of ( <pointer:11> smell-02 :ARG2 ( <pointer:12> and :op1 ( <pointer:13> smoke :source ( <pointer:14> dung ) ) :op2 ( <pointer:15> cinnamon ) :op3 ( <pointer:16> grease :source ( <pointer:17> mutton ) ) ) ) ) :manner ( <pointer:18> gentle ) ) :time ( <pointer:19> and :op1 ( <pointer:20> be-done-08 :ARG1 ( <pointer:21> tea ) ) :op2 ( <pointer:22> stand-01 :ARG1 ( <pointer:23> everyone ) ) ) ) :snt2 ( <pointer:24> pray-01 :ARG0 ( <pointer:25> he ) :ARG1 ( <pointer:26> thing :ARG1-of ( <pointer:27> translate-01 :ARG0 ( <pointer:28> no-one ) :ARG2-of ( <pointer:29> obligate-01 :ARG1 <pointer:28> ) ) :example ( <pointer:30> interrupt-01 :ARG0 ( <pointer:31> person :ARG0-of ( <pointer:32> have-rel-role-91 :ARG1 <pointer:25> :ARG2 ( <pointer:33> son ) ) ) :ARG1 ( <pointer:34> man :mod ( <pointer:35> old ) ) :purpose ( <pointer:36> tell-01 :ARG0 <pointer:31> :ARG1 ( <pointer:37> and :op1 ( <pointer:38> group :consist-of ( <pointer:39> person :ARG0-of ( <pointer:40> charmer-01 :ARG1 ( <pointer:41> snake ) ) ) :ARG0-of ( <pointer:42> seek-01 :ARG1 ( <pointer:43> bless-01 :ARG1 <pointer:39> ) ) ) :op2 ( <pointer:44> person :ARG0-of ( <pointer:45> steal-01 ) :ARG1-of ( <pointer:46> blind-02 ) ) ) :ARG2 <pointer:34> ) ) ) :time ( <pointer:47> then ) ) :snt3 ( <pointer:48> and :op1 ( <pointer:49> push-01 :ARG0 ( <pointer:50> saint ) :ARG1 ( <pointer:51> i ) :ARG2 ( <pointer:52> away ) ) :op2 ( <pointer:53> look-01 :ARG0 <pointer:50> :ARG1 <pointer:51> :ARG1-of ( <pointer:54> long-03 ) ) :op3 ( <pointer:55> straighten-01 :ARG0 <pointer:50> :ARG1 ( <pointer:56> collar :poss <pointer:51> ) ) :op4 ( <pointer:57> nod-01 :ARG0 <pointer:50> :ARG1 <pointer:51> :ARG2 ( <pointer:58> door ) ) ) :snt4 ( <pointer:59> possible-01 :ARG1 ( <pointer:60> hear-01 :ARG0 ( <pointer:61> i ) :ARG1 ( <pointer:62> breathe-01 :ARG0 ( <pointer:63> he ) :mod ( <pointer:64> wheezy ) :ARG1-of ( <pointer:65> resemble-01 :ARG2 ( <pointer:66> word-01 :ARG0 ( <pointer:67> prophet ) :ARG1-of ( <pointer:68> whisper-01 :ARG0 ( <pointer:69> faithful ) ) :ord ( <pointer:70> ordinal-entity :value <lit> -1 </lit> ) :ARG1-of ( <pointer:71> repeat-01 :ARG0 <pointer:69> ) ) ) ) :time ( <pointer:72> now ) ) ) ) "",</g> [EOS]",The noun perjinkity means nicety.," Perjinkety is a noun. , and it has the verb"
<t> Establishing the target customer base is therefore a critical first step in any merchandising strategy. </t> <g> ( <pointer:0> supplement-01 :ARG0 ( <pointer:1> we ) :ARG1 ( <pointer:2> estimate-01 :ARG0 <pointer:1> :ARG1 ( <pointer:3> benefit-01 ) :mod ( <pointer:4> base ) ) :ARG2 ( <pointer:5> series :consist-of ( <pointer:6> calculate-01 :ARG1 ( <pointer:7> sensitive-03 ) :ARG0-of ( <pointer:8> use-01 :ARG1 ( <pointer:9> source-01 :ARG1 ( <pointer:10> and :op1 ( <pointer:11> data :topic ( <pointer:12> respond-01 :ARG1 ( <pointer:13> concentrate-02 ) ) ) :op2 ( <pointer:14> data :topic ( <pointer:15> value-01 ) ) ) :mod ( <pointer:16> other ) ) :ARG2 ( <pointer:17> category :mod <pointer:3> :ARG1-of ( <pointer:18> key-02 ) ) ) ) ) :purpose ( <pointer:19> address-02 :ARG0 <pointer:1> :ARG1 ( <pointer:20> concern-01 :mod ( <pointer:21> this ) ) ) )  </g> [EOS],Any merchandising strategy includes finding a target customer base as the first step., Establishing the target customer base is therefore a critical first step in any merchand
