premise,hypo,generated_hypo
"<t> Well, thank you for being part of this study </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> cause-01 :ARG0 ( <pointer:2> stuff :ARG1-of ( <pointer:3> bad-07 ) :mod ( <pointer:4> any ) ) :ARG1 ( <pointer:5> think-01 :ARG0 ( <pointer:6> i ) :ARG1 ( <pointer:7> and :op1 ( <pointer:8> spend-01 :ARG0 ( <pointer:9> we ) :ARG3 ( <pointer:10> firm :ARG1-of ( <pointer:11> major-02 ) :mod ( <pointer:12> all ) :mod ( <pointer:13> semiconductor ) ) ) :op2 ( <pointer:14> put-01 :ARG0 <pointer:9> :ARG1 ( <pointer:15> and :op1 ( <pointer:16> safe-01 ) :op2 ( <pointer:17> environment ) ) :ARG2 ( <pointer:18> have-degree-91 :ARG1 <pointer:15> :ARG2 ( <pointer:19> foremost ) :ARG3 ( <pointer:20> most ) ) :mod ( <pointer:21> probable ) ) :op3 ( <pointer:22> look-01 :ARG0 <pointer:9> :ARG1 ( <pointer:23> thing :ord ( <pointer:24> ordinal-entity :value 1 ) ) :time ( <pointer:25> always ) ) :op4 ( <pointer:26> put-01 :ARG0 <pointer:9> :ARG1 ( <pointer:27> money :ARG1-of ( <pointer:28> have-quant-91 :ARG3 ( <pointer:29> more ) :ARG4 ( <pointer:30> firm :mod ( <pointer:31> any ) :mod ( <pointer:32> other ) :ARG1-of ( <pointer:33> know-01 :ARG0 <pointer:6> ) ) ) ) :ARG2 ( <pointer:34> and :op1 ( <pointer:35> system ) :op2 ( <pointer:36> engineer-01 :location ( <pointer:37> behind :op1 <pointer:35> ) ) ) :mod <pointer:21> ) ) ) ) :snt2 ( <pointer:38> and :op1 ( <pointer:39> eat-01 :ARG0 ( <pointer:40> we ) :ARG1 ( <pointer:41> stuff :domain ( <pointer:42> everything :ARG1-of ( <pointer:43> do-02 :ARG0 <pointer:40> :location ( <pointer:44> here ) ) ) ) ) :op2 ( <pointer:45> sleep-01 :ARG0 <pointer:40> :ARG1 <pointer:41> ) ) ) "",</g> [EOS]",We are really glad you decided to join the study.," Thank you for being a part of this study. , thankyou!"
"<t> The soldier in charge would command, after each firing, that the rank on the scaffold step down and be replaced by the rank that had just reloaded, thus alternating ranks and sustaining the rifle fire. </t> <g> ( <pointer:0> contrast-01 :ARG2 ( <pointer:1> do-02 :ARG1 ( <pointer:2> work-01 :ARG1-of ( <pointer:3> dirty-02 ) :ARG1-of ( <pointer:4> real-04 ) ) :time ( <pointer:5> already ) ) )  </g> [EOS]",The commanding soldier demanded after each firing that the rank be reloaded. , The soldier in charge would command that the rank on scaffold step down and be replaced
"<t> Um, is the United States your, uh, birth country? </t> <g> ( <pointer:0> refuse-01 :ARG0 ( <pointer:1> office :location ( <pointer:2> city :wiki <lit> Passaic, New Jersey </lit> :name ( <pointer:3> name :op1 <lit> Passaic </lit> ) ) ) :ARG1 ( <pointer:4> join-in-05 :ARG0 <pointer:1> :ARG1 ( <pointer:5> reconfigure-01 :mod ( <pointer:6> that ) :ARG1-of ( <pointer:7> effect-03 :time ( <pointer:8> date-entity :month 1 :day 1 ) ) ) ) )  </g> [EOS]",Were you born in America?, Do you live in the United States? .amc-kd
<t> He also showed me the newspaper clipping. </t> <g> ( <pointer:0> boast-01 :ARG0 ( <pointer:1> area :mod ( <pointer:2> center ) :part-of ( <pointer:3> city :wiki <lit> Funchal </lit> :name ( <pointer:4> name :op1 <lit> Funchal </lit> ) ) ) :ARG1 ( <pointer:5> and :op1 ( <pointer:6> shop ) :op2 ( <pointer:7> product :ARG1-of ( <pointer:8> local-02 ) ) :mod ( <pointer:9> variety :ARG1-of ( <pointer:10> have-degree-91 :ARG2 ( <pointer:11> good-02 :ARG1 <pointer:9> ) :ARG3 ( <pointer:12> most ) :ARG5 ( <pointer:13> island ) ) ) ) )  </g> [EOS],He showed the newspaper to me, He showed me the newspaper clipping. ...and he also displayed a photo
"<t> They must desire genuine communication and work toward attaining it. </t> <g> ( <pointer:0> claim-01 :ARG0 ( <pointer:1> person :wiki - :name ( <pointer:2> name :op1 <lit> David </lit> :op2 <lit> Cope </lit> ) :ARG0-of ( <pointer:3> have-org-role-91 :ARG1 ( <pointer:4> university :wiki <lit> University of California </lit> :name ( <pointer:5> name :op1 <lit> University </lit> :op2 <lit> of </lit> :op3 <lit> California </lit> ) :location ( <pointer:6> city :wiki <lit> Santa Cruz, California </lit> :name ( <pointer:7> name :op1 <lit> Santa </lit> :op2 <lit> Cruz </lit> ) ) ) :ARG2 ( <pointer:8> professor :topic ( <pointer:9> music ) ) ) ) :ARG1 ( <pointer:10> create-01 :ARG0 <pointer:1> :ARG1 ( <pointer:11> symphony :quant 42 :mod ( <pointer:12> person :wiki <lit> Wolfgang Amadeus Mozart </lit> :name ( <pointer:13> name :op1 <lit> Mozart </lit> ) ) ) ) )  </g> [EOS]",They would want genuine communication and work towards getting it. ," They must work toward genuine communication. ,what they need to desire..."
<t> Each suit is ideally made from pattern pieces cut from the same ply of cloth and the same region of material. </t> <g> ( <pointer:0> tell-01 :ARG0 ( <pointer:1> political-party :wiki <lit> Indian National Congress </lit> :name ( <pointer:2> name :op1 <lit> Congress </lit> ) ) :ARG1 ( <pointer:3> and :op1 ( <pointer:4> possible-01 :polarity - :ARG1 ( <pointer:5> continue-01 :ARG0 <pointer:1> :ARG1 ( <pointer:6> fund-01 :ARG0 <pointer:1> :ARG1 ( <pointer:7> person :ARG1-of ( <pointer:8> grant-01 :ARG0 <pointer:1> ) ) :mod ( <pointer:9> presume-02 ) ) ) ) :op2 ( <pointer:10> obligate-01 :ARG1 <pointer:1> :ARG2 ( <pointer:11> begin-01 :ARG0 <pointer:1> :ARG1 ( <pointer:12> distribute-01 :ARG0 <pointer:1> :ARG1 ( <pointer:13> fund :poss <pointer:1> ) :manner ( <pointer:14> basis :mod ( <pointer:15> compete-02 ) ) ) ) ) ) :ARG2 ( <pointer:16> organization :wiki - :name ( <pointer:17> name :op1 <lit> LSC </lit> ) ) :mod ( <pointer:18> also ) )  </g> [EOS],Each suit should be made from pattern pieces., Each suit is made from pattern pieces cut out of the same area. 
"<t> From 9:34 to 10:08, a Command Center facility manager provided frequent updates to Acting Deputy Administrator Monte Belger and other executives at FAA headquarters as United 93 headed toward Washington, D.C. </t> <g> ( <pointer:0> defend-01 :polarity - :ARG1 ( <pointer:1> island :wiki <lit> St. Barts </lit> :name ( <pointer:2> name :op1 <lit> St. </lit> :op2 <lit> Barts </lit> ) ) :ARG1-of ( <pointer:3> complete-02 ) :mod ( <pointer:4> of-course ) )  </g> [EOS]",Frequent updates were provided to Monte Belger and others about United 93., A Command Center facility manager provided frequent updates to Acting Deputy Administrator Monte Belger. 
"<t> Instead, he underscores that children are avid, active learners, but adults must cultivate their drive toward mastery. </t> <g> ( <pointer:0> know-01 :polarity - :ARG0 ( <pointer:1> i ) )  </g> [EOS]",He explains that adults must cultivate the children towards mastery.," He says that children are avid, active learners. ...but adults must"
<t> Vice President Cheney was asked for authority to engage the aircraft. </t> <g> ( <pointer:0> show-01 :ARG0 ( <pointer:1> work-01 :ARG0 ( <pointer:2> we ) ) :ARG1 ( <pointer:3> possible-01 :ARG1 ( <pointer:4> do-02 :ARG0 ( <pointer:5> agency ) :ARG1 ( <pointer:6> job :ARG1-of ( <pointer:7> good-02 :ARG2-of ( <pointer:8> have-degree-91 :ARG1 <pointer:6> :ARG3 ( <pointer:9> more ) ) ) :mod ( <pointer:10> provide-01 :ARG0 <pointer:5> :ARG1 ( <pointer:11> thing :ARG0-of ( <pointer:12> incentivize-01 :ARG1 ( <pointer:13> person :ARG1-of ( <pointer:14> employ-01 ) ) :ARG2 ( <pointer:15> and :op1 ( <pointer:16> improve-01 :ARG0 <pointer:13> :ARG1 ( <pointer:17> perform-02 :ARG0 <pointer:13> ) ) :op2 ( <pointer:18> achieve-01 :ARG0 <pointer:13> :ARG1 ( <pointer:19> thing :ARG2-of ( <pointer:20> result-01 ) ) ) ) ) ) ) ) ) ) :mod ( <pointer:21> also ) )  </g> [EOS],They asked the Vice President if they could engage the plane.," Vice President Cheney was asked to engage the aircraft. , provide for authority"
<t> Students will provide dental health education for homeless patients as well. </t> <g> ( <pointer:0> enjoy-01 :ARG0 ( <pointer:1> child ) :ARG1 ( <pointer:2> train :mod ( <pointer:3> steam ) :mod ( <pointer:4> little ) :ARG0-of ( <pointer:5> loop-01 :ARG1 ( <pointer:6> around :op1 ( <pointer:7> bay ) ) :destination ( <pointer:8> city :wiki <lit> Le Crotoy </lit> :name ( <pointer:9> name :op1 <lit> Le </lit> :op2 <lit> Crotoy </lit> ) ) :time ( <pointer:10> date-entity :season ( <pointer:11> summer ) ) ) ) )  </g> [EOS],Students will talk to homeless people about dental health.," Homeless patients will receive dental health education from students. , enjoy the experience"
"<t> At the end of the second year, children begin to label their own and others' internal states with words, such as  want,   happy,   mad,   think,  and  pretend.  </t> <g> ( <pointer:0> cluster-01 :ARG1 ( <pointer:1> sportswear :ARG1-of ( <pointer:2> popular-02 ) :accompanier ( <pointer:3> and :op1 ( <pointer:4> company :wiki <lit> Tommy Hilfiger </lit> :name ( <pointer:5> name :op1 <lit> Tommy </lit> :op2 <lit> Hilfiger </lit> ) ) :op2 ( <pointer:6> company :wiki <lit> Donna Karan </lit> :name ( <pointer:7> name :op1 <lit> Donna </lit> :op2 <lit> Karan </lit> ) ) :op3 ( <pointer:8> company :wiki <lit> Nautica </lit> :name ( <pointer:9> name :op1 <lit> Nautica </lit> ) ) :op4 ( <pointer:10> company :wiki <lit> Gap Inc. </lit> :name ( <pointer:11> name :op1 <lit> Gap </lit> ) ) :op5 ( <pointer:12> name :ARG1-of ( <pointer:13> apply-02 :ARG2 ( <pointer:14> it ) ) :mod ( <pointer:15> such ) ) ) ) :time ( <pointer:16> end-01 :ARG1 ( <pointer:17> show-04 ) ) )  </g> [EOS]","Usually by the end of the second year, children will begin to label their own and other's internal states with words. ", Children begin to label their own and others' internal states with words at the end of
<t> A proportionately large number of you responded to that survey. </t> <g> ( <pointer:0> call-01 :ARG0 ( <pointer:1> person :ARG0-of ( <pointer:2> have-org-role-91 :ARG1 ( <pointer:3> person :wiki <lit> Bill Clinton </lit> :name ( <pointer:4> name :op1 <lit> Clinton </lit> ) ) :ARG2 ( <pointer:5> surrogate ) ) ) :ARG1 ( <pointer:6> person :wiki <lit> Ken Starr </lit> :name ( <pointer:7> name :op1 <lit> Starr </lit> ) ) :ARG2 ( <pointer:8> person :ARG0-of ( <pointer:9> prosecute-01 ) :ARG1-of ( <pointer:10> control-01 :polarity - ) ) :duration ( <pointer:11> more-than :op1 ( <pointer:12> temporal-quantity :quant 1 :unit ( <pointer:13> year ) ) ) )  </g> [EOS],"Compared to others, a large percentage of you answered that series of questions.", A large number of you responded to that survey. ...what about Starr
"<t> The other plant (the  quick-line  plant) has production costs that are 10 percent higher than for the regular line, but the manufacturing lead time from the time a production order is placed until a shirt is available in finished goods inventory is two weeks, compared to eleven weeks for the plant with the  regular line.  </t> <g> ( <pointer:0> way :mod ( <pointer:1> only ) :manner-of ( <pointer:2> do-02 :ARG1 ( <pointer:3> it ) ) :domain ( <pointer:4> that ) )  </g> [EOS]","The other plant has production costs which are higher than the regular line, but takes two weeks instead of 11.", The production costs at the quick-line plant are 10 percent higher than for regular line
<t> Girl Scouting benefits Parent/child relationships. </t> <g> ( <pointer:0> say-01 :ARG0 ( <pointer:1> person :wiki <lit> Bob Dole </lit> :name ( <pointer:2> name :op1 <lit> Dole </lit> ) ) :ARG1 ( <pointer:3> recommend-01 :ARG0 <pointer:1> :ARG1 ( <pointer:4> agree-01 :ARG0 ( <pointer:5> we ) :ARG1 ( <pointer:6> recommend-01 :ARG1 ( <pointer:7> do-02 :ARG0 ( <pointer:8> somebody :mod ( <pointer:9> else ) ) :ARG1 ( <pointer:10> it ) ) ) ) ) )  </g> [EOS],Parent and child relationships benefit from the Girl Scouts.," Girl Scouting is beneficial to parents and children. , when done well by"
<t> The combined impact of these factors is captured by the following trends. </t> <g> ( <pointer:0> have-degree-91 :ARG1 ( <pointer:1> cost-01 :ARG1 ( <pointer:2> monetary-quantity :ARG1-of ( <pointer:3> pay-01 :ARG0 ( <pointer:4> you ) ) ) :mod ( <pointer:5> just ) ) :ARG2 ( <pointer:6> factor :mod ( <pointer:7> big ) :ARG0-of ( <pointer:8> cause-01 :ARG1 ( <pointer:9> decide-01 :ARG0 <pointer:4> ) ) ) :ARG3 ( <pointer:10> more ) :ARG4 ( <pointer:11> anything :mod ( <pointer:12> else ) :time ( <pointer:13> and :op1 ( <pointer:14> day ) :op2 ( <pointer:15> age ) :mod ( <pointer:16> this ) ) ) )  </g> [EOS],The impact is captured by the trends., The following trends show the combined impact of these factors. ...what they
"<t> This is illustrated in Table 9.1 (page 158) for the men's and boys' shirt industry. </t> <g> ( <pointer:0> and :op1 ( <pointer:1> become-01 :ARG1 ( <pointer:2> street :wiki - :name ( <pointer:3> name :op1 <lit> Nicholas </lit> :op2 <lit> Street </lit> ) ) :ARG2 ( <pointer:4> street :wiki - :name ( <pointer:5> name :op1 <lit> Patrick </lit> :op2 <lit> Street </lit> ) ) :location ( <pointer:6> end :mod ( <pointer:7> east ) :part-of ( <pointer:8> road :wiki - :name ( <pointer:9> name :op1 <lit> Back </lit> :op2 <lit> Lane </lit> ) ) ) ) :op2 ( <pointer:10> be-located-at-91 :ARG1 ( <pointer:11> worship-place :wiki <lit> St. Patrick's Cathedral, Arlington, Virginia </lit> :name ( <pointer:12> name :op1 <lit> St. </lit> :op2 <lit> Patrick's </lit> :op3 <lit> Cathedral </lit> ) ) :ARG2 ( <pointer:13> location :wiki - :name ( <pointer:14> name :op1 <lit> St. </lit> :op2 <lit> Patrick's </lit> :op3 <lit> Close </lit> ) ) ) :condition ( <pointer:15> turn-01 :ARG1 <pointer:2> :direction ( <pointer:16> right-04 ) ) )  </g> [EOS]",This is illustrated in Table 9.1 for shirts made for men and boys., Table 9.1 shows the men's and boys' shirt industry ...
"<t> These include toys, books, television, computers, special lessons, weekend outings, time with grandparents and other extended family members, as well as the quality of child care, schooling, and the neighborhood they choose to live in (depending, of course, on the extent to which communities oer viable choices). </t> <g> ( <pointer:0> contrast-01 :ARG1 ( <pointer:1> be-located-at-91 :ARG1 ( <pointer:2> person :wiki <lit> Liberace </lit> :name ( <pointer:3> name :op1 <lit> Liberace </lit> ) :quant ( <pointer:4> bit ) ) :ARG2 ( <pointer:5> dandy :ARG0-of ( <pointer:6> live-01 :ARG1-of ( <pointer:7> high-02 ) ) :mod ( <pointer:8> theater ) :ARG0-of ( <pointer:9> favor-01 :ARG1 ( <pointer:10> and :op1 ( <pointer:11> doublet :mod ( <pointer:12> brocade ) ) :op2 ( <pointer:13> boy :ARG1-of ( <pointer:14> bad-07 ) :ARG0-of ( <pointer:15> have-03 :ARG1 ( <pointer:16> face :mod ( <pointer:17> pretty ) ) ) ) ) ) :mod ( <pointer:18> this ) ) :mod ( <pointer:19> also ) ) :ARG2 ( <pointer:20> be-located-at-91 :ARG1 ( <pointer:21> person :wiki <lit> Arturo Fuller </lit> :name ( <pointer:22> name :op1 <lit> Fuller </lit> ) :quant ( <pointer:23> bit ) ) :ARG2 ( <pointer:24> person :wiki <lit> Leonardo da Vinci </lit> :name ( <pointer:25> name :op1 <lit> Leonardo </lit> ) ) ) )  </g> [EOS]",They include toys and outings as things that shape kids.," The quality of child care, schooling and the neighborhood they choose to live in all have"
"<t> Chased him all the way up to the upstairs, I don't think the bird ever even pooped in the house not that we found-- </t> <g> ( <pointer:0> include-91 :ARG1 ( <pointer:1> possible-01 :ARG1 ( <pointer:2> continue-01 :ARG1 ( <pointer:3> limit-01 :ARG1 ( <pointer:4> and :op1 ( <pointer:5> degree :degree-of ( <pointer:6> innovate-01 ) ) :op2 ( <pointer:7> degree :degree-of ( <pointer:8> differentiate-01 :ARG1 ( <pointer:9> product ) ) ) ) ) ) ) :ARG2 ( <pointer:10> disadvantage ) )  </g> [EOS]",The bird never relieved itself in the house., I don't think the bird ever pooped in my house.  Chased
"<t> From the poet Sappho, who in the sixth century BC was the first to use the lyric to write subjectively and explore the range of female experience, to the Chinese polymath Pan Chao (Ban Zhao), who flourished around AD 100 as historian, poet, astronomer, mathematician and educationalist, the range is startling. </t> <g> ( <pointer:0> cause-01 :ARG0 ( <pointer:1> correlate-91 :ARG1 ( <pointer:2> more :ARG3-of ( <pointer:3> have-degree-91 :ARG1 ( <pointer:4> you ) :ARG2 ( <pointer:5> old ) ) ) :ARG2 ( <pointer:6> more :ARG3-of ( <pointer:7> have-quant-91 :ARG1 ( <pointer:8> convenience :ARG1-of ( <pointer:9> bring-01 :ARG0 <pointer:4> :ARG1-of ( <pointer:10> try-01 :ARG0 <pointer:4> :ARG1-of ( <pointer:11> guess-01 :ARG0 <pointer:4> ) ) ) ) ) ) ) :ARG1 ( <pointer:12> up-00 :ARG1 ( <pointer:13> i ) :ARG2 ( <pointer:14> drag-01 :ARG0 <pointer:13> :ARG1 ( <pointer:15> trailer ) :ARG2 ( <pointer:16> around ) ) :ARG0-of ( <pointer:17> cause-01 :ARG1 ( <pointer:18> step-01 :ARG1 <pointer:13> :ARG2 ( <pointer:19> state :wiki <lit> Winnebago, Indiana </lit> :name ( <pointer:20> name :op1 <lit> Winnebago </lit> ) :mod ( <pointer:21> probable ) ) :mod ( <pointer:22> next ) :ARG1-of ( <pointer:23> hope-01 :ARG0 <pointer:13> :condition ( <pointer:24> possible-01 :ARG1 ( <pointer:25> afford-01 :ARG0 <pointer:13> :ARG1 ( <pointer:26> one ) ) :mod ( <pointer:27> only ) :ARG1-of ( <pointer:28> contrast-01 :ARG2 ( <pointer:29> that ) ) ) ) ) ) ) )  </g> [EOS]",Sappho was the first author to use lyric to write about the female experience.," Sappho was a poet. , the range is startling; from Pan"
