"Of those beginning prenatal care in the first trimester, Indiana mothers rank in the lower third of individuals receiving such care nationwide. [EOS]",There are Indiana mothers who do not receive prenatal care in the first trimester.,Indiana mothers receive less prenatal care than the rest of America. PHILAD
"The people of Batavia on the Hopi Reservation in northern Arizona were motivated by their desire to rekindle traditional cultural values among younger generations when, with the help of Futures for Children, they decided to restore traditional terrace gardens at the edge of their village -gardens that had been abandoned for decades. [EOS]",Traditional values have motivated people of Batavia to care about their land.,Batavia is located in northern Arizona. phobicComments on the Hopi
"Between 9:01 and 9:02, a manager from New York Center told the Command Center in  [EOS]",A manager from the New York Center told the Command Center something between 9:01 and 9:02.,A manager from New York Center told the Command Centre between 9:01 and902
Did you have lots of storybooks at your house that were read to you? [EOS],Were a lot of the books in your house read to you?,Did you have a lot of storybooks at your house? PHILAD
Blaring sirens and horrendous crime. [EOS],Loud sirens and terrible crime.,There were loud sirens and horrible crime. factoryAdvertisementscommentsand comments
How can parents beat the  time bind ? [EOS],How can parents find more time?,How can parents beat the time bind? factory.com/products-
"Fulfilling his bargain with Turabi, Bin Ladin used his construction company to build a new highway from Khartoum to Port Sudan on the Red Sea coast. [EOS]",Bin Ladin used his construction company to construct a highway between the city to the port.,Bin Ladelin built a new highway from Khartoum to Port Sudan.
Is there a favorite story or storybook or anything that you had when you were little that somebody read to you? [EOS],Were any books read to you in your childhood?,Do you have a favorite story or book that someone read to your when they were little
I really don't. [EOS],I do not.,I really don't. phobicCommentscommentsand behaviors of a person who
I am asking for the support of the families of Herron students to help maintain this vital program. [EOS],I want families of Herron students to support the program.,I need the families of Herron students to support this vital program. PH
(Origin unknown; not from Gaelic)  I think it hardly fanciful to discern a note of Calvinist disapproval in this curt disclaimer. [EOS],It isn't too fanciful to note the disapproval by Calvinists here.,I think it's not a surprise to see Calvinist disapproval in this disclaimer. 
"Some time ago, Texans picked up a speech habit that is being acquired by the rest of the country. [EOS]",Texans picked up a speech habit that is being picked up by the rest of the country.,Texans have a speech habit that is being acquired by the rest of America. 
"When I found out that the infant mortality rate in Indiana was 86 percent greater than for mothers in Sweden, I was shocked. [EOS]",The news was a huge surprise to me.,Indiana had a higher infant mortality rate than Sweden. factoryAdvertisementscomments about
The good news is that the teen-age birth rate has fallen almost 9 percent since 1991. [EOS],"The teen birth rate has fallen since 1991, which is good news.",The teen-age birth rate has dropped almost 9 percent since 1991. PH
"We would all slide the windows down on the bus open the door, stick your head out the door, you couldn't hear anything coming that way, you couldn't hear anything coming the other way, and he'd just drop it in low and gun it, we would make it another morning. [EOS]",You couldn't hear anything coming outside the bus window.,We would open the door and stick our heads out. factoryAdvertisements'
Lonq live Spring Creek Prairie! [EOS],All hail the Spring Creek Prairie!,Lonq lives in Spring Creek Prairie. PHILosophist!
  Live at Five.  [EOS],Something is happening at five,Live at five. phobicCommentscommentsAbout this article: Comments about the
"At 7:15, a pair of them, Khalid al Mihdhar and Majed Moqed, checked in at the American Airlines ticket counter for Flight 77, bound for Los Angeles. [EOS]",Khalid al Mihdhar and Majed Moqed checked in at 7:15.,A pair of them checked in at the American Airlines ticket counter for Flight 77. 
The forecasting challenges retailers confront have been amplified in recent years by product proliferation in almost every category. [EOS],The estimating challenges retailers go up against have been intensified as of late by item multiplication in practically every classification.,Product proliferation has increased the forecasting challenges retailers face. Pharma products have become
"After completing the process of developing a demand forecast for each SKU, a retailer must determine how much of each item to stock on the shelves of its stores. [EOS]",Retailers have to decide how much of items they're going to stock on shelves.,A retailer must determine how much of each item to stock on the shelves. 
"'  Perhaps it was so called because it opens in morning and closes at night, or because of its eyelike shape. [EOS]","It may have been called so because of its opening and closing rituals, or because it resembles an eye.",It is named because it opens in the morning and closes at night. PH
"I thought that was surely the first time I had ever seen such an obvious typographical error in, of all things, a simple title on a simple 78-rpm record. [EOS]",I thought it was the first time I'd seen such an error on a record label.,I thought that was the first time I had ever seen a typographical error on an
"But while the effort failed, it shows what Bin Ladin and his associates hoped to do. [EOS]",Bin Ladin and his associates' goals were revealed by their failed effort.,Bin Ladalin and his associates wanted to do something. PHOTO of
"By 8:00 A.M. on the morning of Tuesday, September 11,2001, they had defeated all the security layers that America's civil aviation security system then had in place to prevent a hijacking. [EOS]",There were inadequate measures in place to stop a hijacking from taking place.,They defeated all the security layers that America's civil aviation system had in place to prevent
"Unfortunately, the presentation of his linguistic argument, where the author is clearly treading on more speculative ground than in those parts dealing with outright archaeology, where he is on more familiar territory, is disorganized and repetitious. [EOS]",The argument is messy and repeats itself.,The presentation of his linguistic argument is disorganized and repetitious. PHIL
"If a new sewing table or a new sewing machine with programmable features is added at a particular workstation'that is, any device that reduces the time it takes to complete various tasks'then the allowable time and wage rate for that operation must be changed. [EOS]","If a technology or machine changes the time it takes to finish a task, the time window for completing that task and compensation must be altered.",A new sewing table or a machine with programmable features must be changed. 
That must be a really big deal. [EOS],That seems like a rather important thing.,That must be a big deal. phobicCommentscommentsand behaviors of the
"On reflection, the parts will hold together. [EOS]",The part will hold together on second thought. ,The parts will hold together. PHOTO: The part's structure is not
We thought it would be cool to see just how far a BB would shoot. [EOS],We wanted to see how far a BB would shoot.,We thought it would be cool to see how far a BB could go. 
The Concise Oxford allows both pronunciations. [EOS],The Concise Oxford provides multiple ways to say a word.,The Concise Oxford allows both pronunciations. factoryAdvertisementscommentsand
Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work. [EOS],"By donating to the Goodwill this year, we will be able to provide more support to our work.",Your gift to Goodwill will help us do even more this year. PH
"Lower-level officials improvised-for example, the FAA's Boston Center bypassed the chain of command and directly contacted NEADS after the first hijacking. [EOS]",The chain of command was circumvented when the FAA's Boston Center contacted NEADS directly.,The FAA's Boston Center contacted NEADS after the first hijacking. PH
"It is a pivotal time in the life of a young girl-when small changes in her behavior, or the choices she makes, can affect her future. [EOS]",It is important to help young girls with the choices that they make.,A young girl's behavior can affect her future. PHILOSOPHY
Landing meaningful and productive employment was hard for Miyares. [EOS],Miyares had difficulty getting a fulfilling and lucrative  job.,Miyares was not able to find meaningful and productive employment. PHIL
The paper marker identifies each piece in the layout so that the cloth pieces for individual apparel items can be put together after the fabric is cut. [EOS],The paper marker makes putting together the items more efficient.,The paper marker identifies each piece in the layout. PHOTO: The cloth
"Noteworthy, too, are the strategies that have been devised to cope with the limits of our twenty-six letter alphabet. [EOS]",The strategies the were devised to cope with limits of our alphabet are noteworthy.,The twenty-six letter alphabet has limits. PHOTO of the strategies that
The airplane headed down; the control wheel was turned hard to the right. [EOS],The control wheel of the plane was turned to the right.,The airplane was heading down. factoryAdvertisementscommentsand the control wheel turned
"In October, we will begin our annual telefund. [EOS]",We will have annual tele fund in October,We will begin our annual telefund in October. fantasyAdvertisementscommentsand
"Both dictionaries list abbreviations and biographical and geographical entries in separate sections at the back, a practice I have never liked. [EOS]","I always disliked dictionaries that list geographical, biographical and abbreviation entries in different areas towards the back of the text.",I have never liked the practice of placing abbreviations and geographical entries in separate sections at
"Imaginative play, Vygotsky noted, also functions as a bridge from the concrete thought of the preschool and early school years to mature  adult thought, which can be totally free of real situations.  [EOS]",Imaginative play also works as a connector to mature adult thought from childlike concrete thought.,Vygotsky said that imaginative play can help adults mature. PHOTO
Make-believe play is yet another. [EOS],Pretend play is yet another.,Play is another. PHOTO: Getty Images/iStockphotoAnother play
This fall alumni and students at the Indiana University School of Law Indianapolis will initiate several programs to encourage alumni support for the school. [EOS],Several programs will start in Indianapolis to get more alumni support. ,Indiana University School of Law Indianapolis will start several programs to encourage alumni support. 
The Grill will feature enough activities that you and your kids will have a tough time deciding what to do. [EOS],It is hard to choose which activity to do,The Grill will have a lot of activities for you and your kids. PH
"(This, remember, was in my youth, and it was a time when typographical errors were called typographical errors, not typos'at least by kids in junior high.) [EOS]",This was in my youth when we didn't call things typos.,I was young when typographical errors were not called typos. PHIL
"Our answer to that is, we stay focused on our mission of empowerment of women and their families. [EOS]",We are steadfast with our mission of empowering women and their families.,We stay focused on our mission of empowerment. PHILOSOPHYAdvertisements
"Given the predominant share of workers in assembly, organization of work in the sewing room has been the central focus of management attention. [EOS]",Management attention has been focused on organization of work in the sewing room.,The sewing room is the center of management attention. PhilstockAdvertisementscomments
"By 1993, Penney was using EDI for processing 97 percent of purchase orders and 85 percent of invoices with 3,400 of its 4,000 suppliers. [EOS]",Penney was using EDI in 1993 for processing much of its supply information.,Penney was processing 97 percent of purchase orders and 85% invoices with 3
"It is only from an article about CED that we learn it has  171,000 entries,  which suggests that Collins means by references what Merriam-Webster means by entries .  But CED and Cobuild certainly do not say so! [EOS]",Different dictionaries may use the terms entries and references to refer to the same thing.,"CED has 171,000 entries. PHIL Collins means by references what"
It is wonderful to be able to write this letter to you as a special friend of the Leukemia Society of America. [EOS],"Being able to write a letter to you, as a special friend of the Leukemia Society of America, it is wonderful.",I am a friend of the Leukemia Society. factoryAdvertisementscomments are
"They need individual support to attend conferences, present papers, publish their works, and keep in touch with others in their fields across the country. [EOS]",They need individual support to do academic work.,They need individual support to attend conferences. PHOTO: Getty Images/i
"Um, she always kept all her bills and expenses at an absolute minimum ran everything very efficiently kept an extremely tidy house uh. [EOS]",She made sure the house was always sparkling clean.,She kept her bills and expenses very low. factoryAdvertisementscommentsand she
"Chair is a Greek compound of kata `down' + hedra `sit, seat. [EOS]",The Greek compound of kata for down and hedra for sit composes the word Chair.,Chair is a Greek word that means 'down'. PHOTO: Getty Images
Are you going to buy any gifts for people or make anything? [EOS],Have you purchased any presents or make handmade stuff?,Are you going to buy any gifts for people? factory.comComments
Do not sit this one out. [EOS],Don't miss this.,Don't sit this one out. phobicCommentscommentsand behaviors of a
"So, then, I grabbed him, and when I grabbed him, I put him under the bed, and I went outside. [EOS]",I grabbed and put him under the bed and then I went outdoors.,I put him under the bed and went outside. factoryAdvertisementscommentsand
"traces the word from an episode of the comic strip  Buck Rogers in the 25th Century  written by Philip Francis Nowlan in 1929-- Ahead of me was one of those golden dragon Mongols, with a deadly disintegrator ray. [EOS]",Buck Rogers in the 25th Century existed in the 1920's.,The word comes from an episode of the comic strip Buck Rogers. PHIL
"Yeah, I liked it a lot. [EOS]",I enjoyed it quite a bit.,I liked it a lot. phoenixAdvertisementscommentsand more than one person
"\\ How \\, how come? [EOS]","How did you do it, and how come you even wanted to? ",How come? fiddle.com/templatesets/_approximate
"Instead, its very essence is self-restraint'voluntarily following social rules. [EOS]",It's very essence is built upon conforming to what is socially accepted.,"It is self-restraint. PHOTO of its essence, instead:"
"Thus the evidence at the RHD offices indicated the need for reinforcement of the notion of maleness associated with the word, not, as M and S suggest, a trend toward epicenism. [EOS]",The evidence at the RHD offices indicated the need for reinforcement,The evidence at the RHD offices indicated that there was a need for reinforcement of mal
"Journalist Charles Rappaport once quipped,  I speak ten languages'all of them Yiddish.  [EOS]",The journalist Charles Rappaport once joked that he only masters the Yiddish language.,Charles Rappaport is a journalist who speaks ten languages. PHOTO of
But he places most blame on how contemporary children are reared. [EOS],"Most of the blame is on how contemporary children are reared, according to him.",He blames the way children are raised. PHOTO: Getty Images/i
And do you read a lot? [EOS],Do you read a lot?,Do you read a lot? PHILIPPE MALoney asked.
"So what is the explanation of the phrase cold enough to freeze the balls off a brass monkey ?  Well, the obvious one, I believe. [EOS]",Some expressions have a very obvious meaning.,I believe the phrase cold enough to freeze a brass monkey is an obvious explanation. 
"go off half cocked Muzzleloaders, then as now, had a half cock, or safety position, for a gun's hammer that partially back-locked the trigger mechanism so that the weapon could not be fired. [EOS]",A gun has a hammer component which is linked to the trigger.,Muzzleloaders had a safety position that partially back-locked the trigger mechanism.
"33 By 1994, the Saudi government would freeze his financial assets and revoke his citizenship. [EOS]","In 1994, his finances were frozen and citizenship revoked.",The Saudi government would freeze his financial assets and revoke him citizenship by 1994. 
Attaining a Subtle Grasp of Mental Life. [EOS],Somewhat understanding human thinking.,Attaining a small grasp of mental life. PHILOSOPHYAdvertisements
It's not a family story. [EOS],It's not a kid-friendly story.,It is not a family story. PHILIPPEASANTISTA
"I might add that a gift of $400 qualifies you for recognition in the School of Liberal Arts Dean's Council, a critical group of supporters whose generosity does a lot to advance the calibre of the School. [EOS]",You will be qualified for recognition after gifting $400. ,A gift of $400 qualifies you for recognition in the School. PHOTO
"The onomatoplazia of inflammable is so common that flammable , or even flamable is now commonly substituted, especially on trucks. [EOS]","Flammable or even flamable is substituted commonly, and frequently on trucks.","Flammable is used on trucks. PHOTO/ENDSAdvertisements"""
"He worked, he's a teacher, and at that time he worked as the principal of that school, of that school, because it was a, like a high school, there was, from first (grade) to high school. [EOS]","The man is a teacher, but also a principal of a place of a learning.",He was the principal of that school. PHIL is a teacher and he
Parental oversight and involvement in children's TV viewing are essential for two reasons. [EOS],Two reasons exist for why parents should keep track of what their children watch.,Parental oversight and involvement in children's TV viewing are essential for two reasons. 
"Both set off the alarm, and they were directed to a second metal detector. [EOS]",Two people were directed to a metal detector after setting off the alarm.,They were directed to a second metal detector after they set off the alarm. 
"He notified his supervisor, who passed the notice up the chain of command. [EOS]",The notice was passed up the chain of command by the supervisor. ,"He notified his supervisor, who passed the notice up to higher ranks. PH"
"In urban centers, there have always been small shops with goods for sale. [EOS]",Urban centers have always had small shops.,Small shops with goods for sale are always present in urban centers. PHIL
"Once constructed, this persisting psychological self serves as an anchor for unique experiences, which are retained easily as long as they become personally meaningful. [EOS]","Once unique experiences become personally meaningful, they can be retained easily.",This psychological self serves as an anchor for unique experiences. PHYSICAL Self
There was one particular woman I don't recall her name. [EOS],I don't remember that woman's name. ,I don't remember her name. factoryAdvertisementscommentsand more...There
"Um, Peyton Place was, had, um, kind of a fascination because I was at summer camp in NH, near Gilmanton Iron Works, where that woman, the author, lived. [EOS]",Peyton place had a fascination because I was at summer camp.,I was at summer camp near Gilmanton Iron Works. PHILIP
"On behalf of all the men, women and children in Central Indiana who will benefit from your kindness, thank you. [EOS]",We thank you on behalf of everybody who will be helped.,Thank you to all the people in Central Indiana who will benefit from your kindness. 
"At 9:39, the FAA's Cleveland Air Route Traffic Control Center overheard a second announcement indicating that there was a bomb on board, that the plane was returning to the airport, and that they should remain seated. [EOS]",The FAA's Cleveland Air Route Traffic Control Center heard an announcement about a bomb being on the plane.,The FAA's Cleveland Air Route Traffic Control Center heard a second announcement indicating that there was
"A moment later, the clear, high-pitched sound of the whistle could be heard over the Rabbi's final shofar blast. [EOS]",The sound of the whistle could be heard over the blast.,The Rabbi's final blast made a loud whistle sound. PHILIPPE
"Helen W. Power, in  Women on Language; Women in Language [XV [EOS]",Helen W. Power in Women on Language. ,Helen W. Power is in Women on Language; women's language PH
"Though Bin Ladin's destination was Afghanistan, Pakistan was the nation that held the key to his ability to use Afghanistan as a base from which to revive his ambitious enterprise for war against the United States. [EOS]",Bin Ladin used Afghanistan as his base to wage war against the U.S.,Bin Ladelin wanted to use Afghanistan as a base for war against the United States
"A spiritual guide for both, but especially the Islamic Group, was the so-called Blind Sheikh, Omar Abdel Rahman. [EOS]",The Islamic Group got a spiritual guide.,Omar Abdel Rahman was a spiritual guide for both groups. PHOTO:
"At 9:24, Ballinger's warning to United 93 was received in the cockpit. [EOS]",Ballinger's warning to United 93 at 9:24,Ballinger's warning to United 93 was received in the cockpit at 9:24.
"And in enabling children to practice and perfect narrative skills, adult-child conversation provides crucial preparation for literacy. [EOS]",Adult-child conversation provides preparation for literacy.,Adult-child conversation provides crucial preparation for literacy. PHOTO: And in
Now I am writing to ask if you would continue your support with a further donation for 1990. [EOS],"You donated in the past, and so we would like you to donate even more in the future. ",I am writing to ask if you would continue your support with a further donation for 1990
"Pursuant to the Nunn-Lugar-Domenici Domestic Preparedness Program, the Defense Department began in 1997 to train first responders in 120 of the nation's largest cities. [EOS]",The Nunn-Lugar-Domenici Domestic Preparedness Program helps ensure first responders are trained to respond to disasters in urban areas.,The Defense Department began training first responders in 120 of the nation's largest cities. 
"By the autumn of 1993, U.S. commanders concluded that the main source of trouble was a warlord, Mohammed Farrah Aidid. [EOS]",US commanders decided Aidid was the biggest source of trouble.,"The main source of trouble was a warlord, Mohammed Farrah Aidid. "
"Letters in support or condemnation of the QES program (though one may assume they will insist on programme ) should be addressed to Mrs Anne Shelley, Secretary, Queen's English Society, 3 Manor Crescent, Guildford GU2 6NF, England. [EOS]",The letters about the QES program should be sent to Mrs. Anne Shelley.,Mrs Anne Shelley is the Secretary of Queen's English Society. PHOTO:
"As the children gained perceptual, cognitive, and motor experiences, stimulated intact areas of the cerebral cortex compensated for the early damage. [EOS]",The cerebral cortex of children with brain damage was stimulated by gaining cognitive and motor experiences.,"The children gained perceptual, cognitive and motor experiences. factory coughs up"
Here's how it  Simply detach the Care Card from the top of this letter and keep it handy. [EOS],Simply remove the Care Card from the letter and keep it with you.,The Care Card can be detached from the letter. fantasyAdvertisementsCommentscomments
The new world of rapid replenishment implies additional capabilities for both the retailer and manufacturer. [EOS],The introduction of rapid replenishment suggests more capacities for both the manufacturer and retailer.,The new world of rapid replenishment implies additional capabilities for both the retailer and manufacturer.
"Nobody who knew him would have expected him to do anything else, whether he had been sent away in disgrace or not'but, as it was thought he had left the country, his return did have a dramatic quality. [EOS]",Nobody he knew expected him to do anything else by he surprised them.,He was sent away in disgrace. PHILOSOPHY is a dramatic
"Even though we receive operating funds from the state, there are a myriad of additional expenses to be met, such as welding equipment for sculpture, pottery wheels for ceramics, and computers for graphics. [EOS]","The state won't fund welding equipment, pottery wheels or computers.",We receive operating funds from the state. PHOTO: The amount of additional
// The gas station part. [EOS],The petrol station bit.,The gas station part. factoryAdvertisementscommentsand more...// The Gas
"IUPUI's goals for the 1990s, in the context of Indiana University's statewide plans, call for improving undergraduate education, enhancing relationships with the community , and strengthening research that will stimulate Indiana's economic growth. [EOS]",One of IUPUI's goals is to stimulate economic growth of Indiana.,IUPUI's goals for the 1990s include improving undergraduate education. PH
"Girl Scouting's many friends who have been the recipients of good wishes, we have enhanced our facilities and programs to increase the joy that Girl Scouting brings to all girls. [EOS]",Girl Scouting has a lot of donor.,We have improved our facilities and programs to bring more joy. PHILOS
Won't you be a part of extending the promise with your gift today? [EOS],Will you contribute to us today/,Will you be a part of extending the promise with your gift today? ph
"Mr. Delaney is a victim of the confusion so often experienced by Latin students between the gerund, which is a neuter noun, active in meaning, and the gerundive, which is an adjective of similar form, but passive in meaning. [EOS]",STudents studying language can get confused between active and passive words.,Mr. Delaney is a victim of the confusion between gerund and gersh
"So, too, feminists lobby for gender-neutral terms when appropriate. [EOS]",People lobby for certain things.,Feminists lobby for gender-neutral terms when appropriate. PHILOS
And they are less likely to cry and more likely to use gestures and words to express their desires than are infants whose parents delayed or failed to respond to their calls for help. [EOS],They are less likely to cry and more likely to use gestures.,They are more likely to use gestures and words when they want something. PH
"The automated sewing systems that create the closely spaced regular stitch patterns used as decorative top stitching on men's dress shirts, collars, cuffs, and pockets are examples of expensive machines operated for a single shift. [EOS]",Automated sewing systems are designed to be operated for a single shift and are expensive.,The machines are very expensive. PHOTO of the automated sewing systems that create
"as invested with its dignity,  since the seventeenth century just as the Crown has been used for the monarch, or the Oval Office has come to stand for the President of the United States. [EOS]",The oval office represents the President of the United States.,The Crown has been used for the monarch since before it was called a president. 
"Therefore, I stand uncorrected. [EOS]","Thus, I have been shown my ideas are without correction and am in the right.",I stand uncorrected. PHILOSOPHYAdvertisementscommentsand I
"I collected, in northeastern Colorado, a very large (ca. 1 inch) species of robber fly (family Asilidae ).   [EOS]",Robber flies can be up to an inch. ,I collected a very large robber fly in northeastern Colorado. PHILIPPE
"How about um, your kids? [EOS]","How about your children, hmm?",How about your children? PHILADELphis' parents.com's
What how often. [EOS],How frequently did you do it.,How often? factory.com/products-and services /downloads
That fund would allow us to grant a $500 scholarship annually to meritorious applicants with financial need. [EOS],Resources in that account will give us the opportunity to give grants every year to worthy applicants who need help with costs.,We could give a $500 scholarship to merit-based applicants. PHIL
Shootdown authority was first communicated to NEADS at 10:31. [EOS],"At 10:31, NEADS received a communication.",NEADS was first informed of the authority to shoot down. PHOTO:
"When Bond Stores had customers lining up around the block to buy suits,  casual wear,  as we know it today, did not exist. [EOS]",Bond Stores had customers lining up around the block.,Bond Stores had customers lining up around the block to buy suits. PH
"We have relied on a mix of common sense, the sound of the name in Arabic, and common usage in source materials, the press, or government documents. [EOS]",We have relied on a mix of multiple sources. ,"We have relied on common sense, the sound of Arabic and source materials. "
Go ahead Adam. [EOS],Go for it Adam.,"Adam, go ahead. factoryAdvertisementscommentsand more...""Go on"
"We found no evidence that, at this critical time, NORAD's top commanders, in Florida or Cheyenne Mountain, coordinated with their counterparts at FAA headquarters to improve awareness and organize a common response. [EOS]",We didn't find evidence that NORAD's commanders helped the situation.,We found no evidence that NORAD's top commanders coordinated with their counterparts at FAA headquarters
"Indeed, if you watch preschoolers at play, you will see that they rarely violate the rules of their social world. [EOS]",Preschoolers usually follow social rules when they play.,"If you watch preschoolers play, they rarely break the rules of their social world."
"I had, had put in several weeks that were between 60 and 90 hours a week. [EOS]","For several weeks, I worked between 60 and 90 hours a week. ",I worked between 60 and 90 hours a week. factoryAdvertisementscommentsand
"Many Americans have wondered, Why do 'they' hate us? [EOS]",The Americans are trying to see why they are hated.,Americans have wondered why they hate us. PHILADELphiaCommentscomments
 Is this real-world or exercise? [EOS],"Is this exercise, or real-world?",Is this real-world or exercise? PHOTO.com/samples
"The total was approximately 2800, but that is probably only a vague  he undoubtedly missed some; some have sprung up since his time (modern Hebrew, for instance); and some have vanished. [EOS]",He definitely misses some. ,"He probably missed some. phobic, but that is only a vague estimate"
joint facility in Riyadh for training the Saudi National Guard. [EOS],The Saudi National Guard was trained in Riyadh.,The Saudi National Guard is trained in Riyadh. PHOTO: The joint facility
Community needs are increasing and your help is needed more than ever. [EOS],Your help is needed more than ever because community needs are increasing.,Community needs are increasing and you need to help. PHOTO: The community
"We are pleased to note that Hu-Friedy, L.D.Caulk, and Star Dental have each agreed to contribute to this worthy cause. [EOS]",We are happy to say that there are a few donors for this cause.,"We are happy to note that Hu-Friedy, L.D., and"
"We provide free counseling and support services to them through our office in Birmingham, and we have camping and adventure services for them here on our Lake Martin Campus. [EOS]","At Lake Martin Campus we offer camping, whereas our Birmingham office has free counseling services.",We provide free counseling and support services to them through our office in Birmingham. 
"The complexity of the problem, even for basic blue jeans, is staggering. [EOS]",The complicated problem affects the matter of blue jeans.,The problem is so complex that even basic blue jeans are not easy to understand. 
"They were, um, they were best-seller type fiction from the um, 40's and 50's and 60's and on, just, they were members of a book club and they got a lot of books that way. [EOS]",The monthly book club sent a lot of books.,They were best-seller type fiction from the 40's and 50' Ph
"They assumed the fighter escort would be discreet, vectored to a position five miles directly behind the hijacked aircraft, where it could perform its mission to monitor the aircraft's flight path. [EOS]",The fighter jets stayed far enough away to track the plane.,They thought the fighter escort would be discreet. PHOTO OF FIGHTER
We're told that one aircraft is down but we do not have a pilot report that did it. [EOS],We do not have a pilot report that took down the aircraft. ,"We are told that one aircraft is down, but we do not have a pilot report"
