premise,hypo,generated_hypo
It is wonderful to be able to write this letter to you as a special friend of the Leukemia Society of America. [EOS],"Being able to write a letter to you, as a special friend of the Leukemia Society of America, it is wonderful.","I am a friend of the Leukemia Society. Vegas, I"
"They need individual support to attend conferences, present papers, publish their works, and keep in touch with others in their fields across the country. [EOS]",They need individual support to do academic work.,"They need individual support to attend conferences, present papers and publish their works. "
"Um, she always kept all her bills and expenses at an absolute minimum ran everything very efficiently kept an extremely tidy house uh. [EOS]",She made sure the house was always sparkling clean.,She kept her bills and expenses very low. onecephaloic sum
"Chair is a Greek compound of kata `down' + hedra `sit, seat. [EOS]",The Greek compound of kata for down and hedra for sit composes the word Chair.,Hedra is a Greek compound of kata and chair. Discourse
Are you going to buy any gifts for people or make anything? [EOS],Have you purchased any presents or make handmade stuff?,Are you going to make anything or buy gifts for people? ­hood.
Do not sit this one out. [EOS],Don't miss this.,"Don't sit this one out. Vegas, California - This is"
"So, then, I grabbed him, and when I grabbed him, I put him under the bed, and I went outside. [EOS]",I grabbed and put him under the bed and then I went outdoors.,"I grabbed him and put under the bed. onece over time, I"
"traces the word from an episode of the comic strip  Buck Rogers in the 25th Century  written by Philip Francis Nowlan in 1929-- Ahead of me was one of those golden dragon Mongols, with a deadly disintegrator ray. [EOS]",Buck Rogers in the 25th Century existed in the 1920's.,Philip Francis Nowlan wrote a comic strip called Buck Rogers. one hundred
"Yeah, I liked it a lot. [EOS]",I enjoyed it quite a bit.,"I liked it a lot. Vegas, California - yes! I"
"\\ How \\, how come? [EOS]","How did you do it, and how come you even wanted to? ",How come? (x) How do you explain that.\\ and how
"Instead, its very essence is self-restraint'voluntarily following social rules. [EOS]",It's very essence is built upon conforming to what is socially accepted.,It is self-restraint and voluntary following social rules. onecement
"Thus the evidence at the RHD offices indicated the need for reinforcement of the notion of maleness associated with the word, not, as M and S suggest, a trend toward epicenism. [EOS]",The evidence at the RHD offices indicated the need for reinforcement,The evidence at the RHD offices indicated that reinforcement of maleness is needed. 
"Journalist Charles Rappaport once quipped,  I speak ten languages'all of them Yiddish.  [EOS]",The journalist Charles Rappaport once joked that he only masters the Yiddish language.,Charles Rappaport once said that he speaks ten languages. one hundred percent
But he places most blame on how contemporary children are reared. [EOS],"Most of the blame is on how contemporary children are reared, according to him.","He blames the way children are raised. Vegas, California - 2001"
And do you read a lot? [EOS],Do you read a lot?,Do you read a lot? ask.comAnd do...do ...you
"So what is the explanation of the phrase cold enough to freeze the balls off a brass monkey ?  Well, the obvious one, I believe. [EOS]",Some expressions have a very obvious meaning.,The phrase cold enough to freeze the balls off a brass monkey is obvious. 
"go off half cocked Muzzleloaders, then as now, had a half cock, or safety position, for a gun's hammer that partially back-locked the trigger mechanism so that the weapon could not be fired. [EOS]",A gun has a hammer component which is linked to the trigger.,"Muzzleloaders had a half cock, or safety position. Discussions"
"33 By 1994, the Saudi government would freeze his financial assets and revoke his citizenship. [EOS]","In 1994, his finances were frozen and citizenship revoked.",The Saudi government froze his financial assets and revoked him citizenship.  sum total of
Attaining a Subtle Grasp of Mental Life. [EOS],Somewhat understanding human thinking.,A small grasp of mental life. oneventimely attaining a Subtle
It's not a family story. [EOS],It's not a kid-friendly story.,"It is not a family story. Vegas, California - 2001 ("
"I might add that a gift of $400 qualifies you for recognition in the School of Liberal Arts Dean's Council, a critical group of supporters whose generosity does a lot to advance the calibre of the School. [EOS]",You will be qualified for recognition after gifting $400. ,The School of Liberal Arts Dean's Council is a critical group.  sum total
"The onomatoplazia of inflammable is so common that flammable , or even flamable is now commonly substituted, especially on trucks. [EOS]","Flammable or even flamable is substituted commonly, and frequently on trucks.","Flammable is now commonly substituted, especially on trucks. onexamples"
"He worked, he's a teacher, and at that time he worked as the principal of that school, of that school, because it was a, like a high school, there was, from first (grade) to high school. [EOS]","The man is a teacher, but also a principal of a place of a learning.","He was the principal of that school. onece over a decade ago,"
Parental oversight and involvement in children's TV viewing are essential for two reasons. [EOS],Two reasons exist for why parents should keep track of what their children watch.,There are two reasons for parental oversight and involvement in children's TV viewing. 
"Both set off the alarm, and they were directed to a second metal detector. [EOS]",Two people were directed to a metal detector after setting off the alarm.,They were directed to a second metal detector after both set off the alarm. 
"He notified his supervisor, who passed the notice up the chain of command. [EOS]",The notice was passed up the chain of command by the supervisor. ,"He notified his supervisor, who passed the notice up to higher ranks. one"
"In urban centers, there have always been small shops with goods for sale. [EOS]",Urban centers have always had small shops.,There are always small shops in urban centers. Vegas is a popular
"Once constructed, this persisting psychological self serves as an anchor for unique experiences, which are retained easily as long as they become personally meaningful. [EOS]","Once unique experiences become personally meaningful, they can be retained easily.",This persisting psychological self serves as an anchor for unique experiences. onece
There was one particular woman I don't recall her name. [EOS],I don't remember that woman's name. ,I don't remember her name. one hundred percent correct? I do not
"Um, Peyton Place was, had, um, kind of a fascination because I was at summer camp in NH, near Gilmanton Iron Works, where that woman, the author, lived. [EOS]",Peyton place had a fascination because I was at summer camp.,"I was at summer camp near Gilmanton Iron Works. onece,"
"On behalf of all the men, women and children in Central Indiana who will benefit from your kindness, thank you. [EOS]",We thank you on behalf of everybody who will be helped.,"We are grateful for your kindness. Vegas, Indiana is in Central"
"At 9:39, the FAA's Cleveland Air Route Traffic Control Center overheard a second announcement indicating that there was a bomb on board, that the plane was returning to the airport, and that they should remain seated. [EOS]",The FAA's Cleveland Air Route Traffic Control Center heard an announcement about a bomb being on the plane.,The FAA's Cleveland Air Route Traffic Control Center heard a second announcement indicating that there was
"A moment later, the clear, high-pitched sound of the whistle could be heard over the Rabbi's final shofar blast. [EOS]",The sound of the whistle could be heard over the blast.,The Rabbi's final shofar blast was heard over the whistle. one
"Helen W. Power, in  Women on Language; Women in Language [XV [EOS]",Helen W. Power in Women on Language. ,Helen W. Power wrote about women in language (x) and Women
"Though Bin Ladin's destination was Afghanistan, Pakistan was the nation that held the key to his ability to use Afghanistan as a base from which to revive his ambitious enterprise for war against the United States. [EOS]",Bin Ladin used Afghanistan as his base to wage war against the U.S.,Bin Ladins wanted to use Afghanistan as a base from which he could fight the
"A spiritual guide for both, but especially the Islamic Group, was the so-called Blind Sheikh, Omar Abdel Rahman. [EOS]",The Islamic Group got a spiritual guide.,Omar Abdel Rahman was a spiritual guide for both. onecement of
"At 9:24, Ballinger's warning to United 93 was received in the cockpit. [EOS]",Ballinger's warning to United 93 at 9:24,Ballinger's warning to United 93 was received in the cockpit at 9:24.
"And in enabling children to practice and perfect narrative skills, adult-child conversation provides crucial preparation for literacy. [EOS]",Adult-child conversation provides preparation for literacy.,Adult-child conversation provides crucial preparation for literacy. onecement of children
Now I am writing to ask if you would continue your support with a further donation for 1990. [EOS],"You donated in the past, and so we would like you to donate even more in the future. ",I am writing to ask if you would continue your support with a further donation for 1990
"Pursuant to the Nunn-Lugar-Domenici Domestic Preparedness Program, the Defense Department began in 1997 to train first responders in 120 of the nation's largest cities. [EOS]",The Nunn-Lugar-Domenici Domestic Preparedness Program helps ensure first responders are trained to respond to disasters in urban areas.,The Defense Department began to train first responders in 1997. one percent of the
"By the autumn of 1993, U.S. commanders concluded that the main source of trouble was a warlord, Mohammed Farrah Aidid. [EOS]",US commanders decided Aidid was the biggest source of trouble.,The main cause of trouble was Mohammed Farrah Aidid.  summa­
"Letters in support or condemnation of the QES program (though one may assume they will insist on programme ) should be addressed to Mrs Anne Shelley, Secretary, Queen's English Society, 3 Manor Crescent, Guildford GU2 6NF, England. [EOS]",The letters about the QES program should be sent to Mrs. Anne Shelley.,Mrs Anne Shelley is the Secretary of Queen's English Society. one hundred percent
"As the children gained perceptual, cognitive, and motor experiences, stimulated intact areas of the cerebral cortex compensated for the early damage. [EOS]",The cerebral cortex of children with brain damage was stimulated by gaining cognitive and motor experiences.,"The children gained perceptual, cognitive and motor experiences. oneceprecisely"
Here's how it  Simply detach the Care Card from the top of this letter and keep it handy. [EOS],Simply remove the Care Card from the letter and keep it with you.,The Care Card can be detached from the top of this letter. Conferences
The new world of rapid replenishment implies additional capabilities for both the retailer and manufacturer. [EOS],The introduction of rapid replenishment suggests more capacities for both the manufacturer and retailer.,The new world of rapid replenishment implies additional capabilities for both the retailer and manufacturer.
"Nobody who knew him would have expected him to do anything else, whether he had been sent away in disgrace or not'but, as it was thought he had left the country, his return did have a dramatic quality. [EOS]",Nobody he knew expected him to do anything else by he surprised them.,"He was sent away in disgrace. onece, nobody expected him to do"
"Even though we receive operating funds from the state, there are a myriad of additional expenses to be met, such as welding equipment for sculpture, pottery wheels for ceramics, and computers for graphics. [EOS]","The state won't fund welding equipment, pottery wheels or computers.",We receive operating funds from the state. onecevening expenses to be
// The gas station part. [EOS],The petrol station bit.,"The gas station part. Vegas, California and all that stuff?"
"IUPUI's goals for the 1990s, in the context of Indiana University's statewide plans, call for improving undergraduate education, enhancing relationships with the community , and strengthening research that will stimulate Indiana's economic growth. [EOS]",One of IUPUI's goals is to stimulate economic growth of Indiana.,IUPUI's goals for the 1990s are to improve undergraduate education. 
"Girl Scouting's many friends who have been the recipients of good wishes, we have enhanced our facilities and programs to increase the joy that Girl Scouting brings to all girls. [EOS]",Girl Scouting has a lot of donor.,We have improved our facilities and programs to increase the joy that Girl Scouting brings. 
Won't you be a part of extending the promise with your gift today? [EOS],Will you contribute to us today/,Will you be part of extending the promise with your gift? ask.com
"Mr. Delaney is a victim of the confusion so often experienced by Latin students between the gerund, which is a neuter noun, active in meaning, and the gerundive, which is an adjective of similar form, but passive in meaning. [EOS]",STudents studying language can get confused between active and passive words.,Mr. Delaney is a victim of the confusion that Latin students experience between gerund
"So, too, feminists lobby for gender-neutral terms when appropriate. [EOS]",People lobby for certain things.,Feminists lobby for gender-neutral terms when appropriate. oneonsire
And they are less likely to cry and more likely to use gestures and words to express their desires than are infants whose parents delayed or failed to respond to their calls for help. [EOS],They are less likely to cry and more likely to use gestures.,"Infants who are delayed or failed to respond, they're less likely than others in"
"The automated sewing systems that create the closely spaced regular stitch patterns used as decorative top stitching on men's dress shirts, collars, cuffs, and pockets are examples of expensive machines operated for a single shift. [EOS]",Automated sewing systems are designed to be operated for a single shift and are expensive.,The sewing systems are expensive. Vegas-based machines can be operated
"as invested with its dignity,  since the seventeenth century just as the Crown has been used for the monarch, or the Oval Office has come to stand for the President of the United States. [EOS]",The oval office represents the President of the United States.,The Oval Office is the President of United States. onece over one hundred
"Therefore, I stand uncorrected. [EOS]","Thus, I have been shown my ideas are without correction and am in the right.","I am uncorrected. Vegas, I stand uncorrectioned"
"I collected, in northeastern Colorado, a very large (ca. 1 inch) species of robber fly (family Asilidae ).   [EOS]",Robber flies can be up to an inch. ,I collected a large robber fly in northeastern Colorado. onecephaloine
"How about um, your kids? [EOS]","How about your children, hmm?","What about your children? ask.com""How are they?"" - I"
What how often. [EOS],How frequently did you do it.,How often? one. The question is asked of how frequently it happens to
That fund would allow us to grant a $500 scholarship annually to meritorious applicants with financial need. [EOS],Resources in that account will give us the opportunity to give grants every year to worthy applicants who need help with costs.,That fund would allow us to grant a $500 scholarship annually. ­f
Shootdown authority was first communicated to NEADS at 10:31. [EOS],"At 10:31, NEADS received a communication.",NEADS was first communicated about the shootdown authority. onecevens
"When Bond Stores had customers lining up around the block to buy suits,  casual wear,  as we know it today, did not exist. [EOS]",Bond Stores had customers lining up around the block.,Casual wear was not a thing when Bond Stores were selling suits. one
"We have relied on a mix of common sense, the sound of the name in Arabic, and common usage in source materials, the press, or government documents. [EOS]",We have relied on a mix of multiple sources. ,"We relied on common sense, the sound of Arabic and source materials. one"
Go ahead Adam. [EOS],Go for it Adam.,"Adam can do it. onecement of course! Go ahead, Adam"
"We found no evidence that, at this critical time, NORAD's top commanders, in Florida or Cheyenne Mountain, coordinated with their counterparts at FAA headquarters to improve awareness and organize a common response. [EOS]",We didn't find evidence that NORAD's commanders helped the situation.,NORAD's top commanders coordinated with their counterparts at FAA headquarters. onece
"Indeed, if you watch preschoolers at play, you will see that they rarely violate the rules of their social world. [EOS]",Preschoolers usually follow social rules when they play.,"Preschoolers rarely violate the rules of their social world. onece,"
"I had, had put in several weeks that were between 60 and 90 hours a week. [EOS]","For several weeks, I worked between 60 and 90 hours a week. ",I worked 60 to 90 hours a week. one over the course of several
"Many Americans have wondered, Why do 'they' hate us? [EOS]",The Americans are trying to see why they are hated.,Americans have wondered why they hate us. oneventime 00:00 hours
 Is this real-world or exercise? [EOS],"Is this exercise, or real-world?",Is this real or exercise? Discussions about the world. Is it a
"The total was approximately 2800, but that is probably only a vague  he undoubtedly missed some; some have sprung up since his time (modern Hebrew, for instance); and some have vanished. [EOS]",He definitely misses some. ,"He missed some of the total.  sumptuous, but that is probably"
joint facility in Riyadh for training the Saudi National Guard. [EOS],The Saudi National Guard was trained in Riyadh.,The Saudi National Guard is trained in Riyadh. onece over one hundred thousand
Community needs are increasing and your help is needed more than ever. [EOS],Your help is needed more than ever because community needs are increasing.,Community needs are increasing and you're needed more than ever. ­hood]
"We are pleased to note that Hu-Friedy, L.D.Caulk, and Star Dental have each agreed to contribute to this worthy cause. [EOS]",We are happy to say that there are a few donors for this cause.,"Hu-Friedy, L.D Caulk and Star Dental have"
"We provide free counseling and support services to them through our office in Birmingham, and we have camping and adventure services for them here on our Lake Martin Campus. [EOS]","At Lake Martin Campus we offer camping, whereas our Birmingham office has free counseling services.",We provide free counseling and support services to them through our office in Birmingham. 
"The complexity of the problem, even for basic blue jeans, is staggering. [EOS]",The complicated problem affects the matter of blue jeans.,The problem is so complex that even basic blue jeans are not easy to solve. 
"They were, um, they were best-seller type fiction from the um, 40's and 50's and 60's and on, just, they were members of a book club and they got a lot of books that way. [EOS]",The monthly book club sent a lot of books.,They were members of a book club and got books. onece over fifty
"They assumed the fighter escort would be discreet, vectored to a position five miles directly behind the hijacked aircraft, where it could perform its mission to monitor the aircraft's flight path. [EOS]",The fighter jets stayed far enough away to track the plane.,They thought the fighter escort would be discreet. onecevension of
We're told that one aircraft is down but we do not have a pilot report that did it. [EOS],We do not have a pilot report that took down the aircraft. ,"We are told that one aircraft is down, but we don't have a pilot report"
"Not that I can remember, no, uh uh. [EOS]",I can not remember.,"I don't remember. No, I can not recall that at all!"
Many business firms have  casual days  for office attire. [EOS],Business firms have casual days where formal wear is not required.,Many business firms have casual days for office attire. onecevensly
"For as long as he needs it, Goodwill will continue to help. [EOS]",Goodwill will help as long as necessary.,Goodwill will continue to help him for as long he needs it. one
