"Well, he milked the cow every morning, but that day, he couldn't milk her, because the gunfire was so heavy, and because everything was falling near the house. [EOS]",He could not milk the cow because of all the violence and chaos.,"He milked the cow every morning, but that day he couldn't because of gunfire"
Basic items also represent a major percentage of all apparel goods sold. [EOS],A large percentage of apparel goods sold are basics.,Basic items represent a large percentage of all apparel goods sold. The majority are
"It is far better for anyone to kill a single American soldier than to squander his efforts on other activities, he said. [EOS]",Killing an American soldier is more effective than wasting time on anything else.,He said that killing a single American soldier is better for everyone. I think
"How does the YWCA differ from other organizations that provide health, fitness, social and education services? [EOS]",In what ways is the YWCA different from other agencies that provide the same services?,"How does the YWCA differ from other organizations that provide health, fitness and social"
How was it going to high school in Charlotte? [EOS],What was going to high school in Charlotte like?,How did you get to high school in Charlotte? . How was it going
"One admiral declares that he was literally thus cradled, under the breast of a gun-carriage.  [EOS]",An admiral  declared he was cradled under the breast of a gun carriage.,One admiral said he was under a gun. I'm sure you know
These people are living proof that your investment pays off. [EOS],The people are proof that the investment is worth it because their outcomes are greatly improved.,These people are proof that your investment pays off. I'm living Proof of
"The President and the Vice President The President was seated in a classroom when, at 9:05, Andrew Card whispered to  A second plane hit the second tower. [EOS]",The President was in a classroom when the second plane hit.,Andrew Card whispered to the President. I was in a classroom when another plane
It's hard to explain exactly how camp can change a child's heart. [EOS],It's hard to fully explain how camp can have a significant effect on a child.,Camp can change a child's heart. I don't know how to explain
"And, as a Palestinian, he saw Israel as the top priority for the next stage. [EOS]",He saw Israel as the priority for the next stage because he was a Palestinian.,He saw Israel as the top priority for his next stage. I'm a
"Late last Spring, we established an account for the IGGS Scholarship to help defray the tuition costs for an undergraduate major in Geology at IUPUI. [EOS]",We created the IGGS Scholarship to help Geology major undergraduates with their tuition costs.,We created an account for the IGGS Scholarship to help defray tuition costs.
"I don't remember, but only, only a fractured collarbone, which I recommend to anyone that needs to break a bone, break a collarbone. [EOS]",The collarbone is the best bone to break. ,"I don't remember, but I recommend to anyone that needs a break. "
"Mr. Joseph Hymes'  Do Mistake'Learn Better  [XV,1] brought to mind the time a Japanese acquaintance told me of a friend of hers who decided to tackle the original English version of three books she had enjoyed while in Japan. [EOS]",Someone told me about someone they knew who read some books.,"Mr. Joseph Hymes wrote three books in English, and one of his friends decided"
This machine picks up cut material from a carousel at one end and delivers finished sleeves at the other. [EOS],The machine will create a set of completed sleeves.,The machine picks up material from a carousel and delivers it to the other end.
"Infants tried all manner of signals'facial expressions, vocalizations, and body movements'to get their mother or father to respond again. [EOS]",Infants attempted all manner of signals including facial expressions and vocalizations.,Infants tried many different ways to get their parents back. Inexp
"Because several passengers on United 93 described three hijackers on the plane, not four, some have wondered whether one of the hijackers had been able to use the cockpit jump seat from the outset of the flight. [EOS]",There was a dispute over the number of hijackers on the plane.,Some have wondered if one of the hijackers had been able to use a cockpit jump
"American Airlines dispatchers also tried, without success. [EOS]",The dispatchers did not achieve it.,"American Airlines dispatchers also tried, without success. UNfortunate for"
"That will only be the first step toward healing the pain of having been abandoned several times, neglected, and denied the happy childhood that should be every child's birthright. [EOS]","In treating the trauma of their unfortunate childhood, this is only a beginning.",It will only be the first step to healing from having been abandoned several times. 
"Like in most schools in Charlotte, if you go on other sides, it's like everybody's just white, but in my school, there was every kind of person you could ever meet. [EOS]",There were lots of different kinds of people in my school. ,"In my school, everyone was of a different race.  and there were no"
"Two days a week, Kevin leaves his office 45 minutes early to take charge of his 2-year-old daughter, Sophie, while her mother, a university professor, teaches a late class. [EOS]",Kevin is a father to a 2-year-old girl named Sophie.,Kevin leaves his office early two days a week to take care of Sophie. 
Do feel like it's changed a lot? [EOS],Do you believe it has differed a great deal? ,Do you feel like it has changed a lot? . I am curious about
"As work progresses through a typical sewing plant, it is also common for a special order to disrupt the flow. [EOS]",There are many times that a particular order interrupts the flow of production in a typical sewing plant.,Special orders disrupt the flow of work through a sewing plant. The sewers
"Not so paleolinguistics, or the reconstruction of ancient languages. [EOS]",That is not the case when reconstructing ancient languages.,Paleolinguistics and reconstruction of ancient languages are not related. I
"When a pattern piece is cut from the lay, the cutter then makes the notch cuts indicated on the marker. [EOS]",The notch cuts are listed and pointed out on the marker.,The cutter makes the notch cuts when a pattern piece is cut from lay. 
"This organization's structure included as its operating arms an intelligence component, a military committee, a financial committee, a political committee, and a committee in charge of media affairs and propaganda. [EOS]",The organization included many branches to manage its operations.,The organization's structure included a military committee. I'm aware of the intelligence
Half challenge.  [EOS],Part challenge.,"Half challenge. I'm not sure if I can do it or what,"
"According to one call, they voted on whether to rush the terrorists in an attempt to retake the plane. [EOS]",They voted to retake the plane that day.  ,"They voted on whether to rush the terrorists. I heard one call, they"
I am sure you will understand my writing to you once more about the important work of the American Cancer Society. [EOS],I hope that I can convey the importance of the American Cancer Society but writing to you again.,I am sure you will understand my writing about the work of American Cancer Society. 
Recently we read that how children turn out is mostly written in their genes; there's little we as parents can do about it. [EOS],Genes are one of the largest determinants of how children turn out.,We read that children's genes are the most important part of their development. 
"So they would, they would always come to me, and they told me, Ma'am, sell us milk, sell us yogurt, sell us cheese, or sell us a, a hog, a plump hog, well I had to sell them, and I am going to sell, he'd said, if you sell them to everyone else, sell to us, too. [EOS]","They demanded that I sell them cheese, yoghurt and milk.","They would always come to me and ask for milk, cheese or a hog. "
"`Cause we're like, now I can say this because I'm older or whatever and I can like deal with it, I'm exactly like my dad. [EOS]",I am now able to say that I am extremely similar to my father.,I can say this because I'm older.  and it's like my dad
"Because introducing changes at any step may unbalance the system as a whole, technological innovations have not easily found their way into the sewing room'which may be out of sync with what an integrated retail-apparel-textile channel requires. [EOS]",The sewing room has had a hard time integrating technological innovations in.,The sewing room has not easily found their way into technological innovations. Ironic
"In any event, it is hard to discern, from the arch style affected in an attempt to make dull facts interesting, just what is the origin of sow one's wild oats .  In many entries, Claiborne labors the obvious, offering little or nothing we do not already know, could easily imagine, or for which the author offers no explanation. [EOS]","Claiborne simply describes the obvious, and doesn't say anything the reader doesn't already know.",Claiborne often does things that are not explained. I'm hard to
"Notwithstanding the unfortunate fact that the gathering and assessment of citational evidence is not what it should (or might) be, I should still put my money on professional lexicographers and their resources rather than on M and S. [EOS]", I should still put my money on professional lexicographers rather than on M and S,I should still put my money on professional lexicographers. The gathering and
Do you remember little Pierre? [EOS],Do you know who Pierre is?,"Do you remember Pierre? . Do I know him at all, or do"
She did not display signs of panic and did not indicate any awareness of an impending crash. [EOS],She didn't show that she was upset or that she knew they were going to crash.,She didn't show any signs of panic or awareness. I'm not sure
All understood the plane had been hijacked. [EOS],Everybody knew about the hijacking.,"Everyone knew the plane had been hijacked. I'm sure they understood that,"
For W9's exemplary precision in telling us what vocabulary entries and dictionary entries are is offset by its vagueness about which type of entry its PR-wallahs have counted for their blurb. [EOS],"Even though W9 is very accurate in explaining vocabulary and dictionary entries, it is imprecise about on another matter.",W9's precision in telling us what vocabulary entries and dictionary are is offset by its
"It was, when the first one arrived, the first soldier, and he said, Er, ma'am, make, he said, some four, six rations, he said, because plenty of soldiers have come, and I'm going to inform the other houses. [EOS]","The first soldier arrived and told a woman to make six rations, because other soldiers were on their way.",The first soldier told the woman to make four or six rations. I
Your gift to Goodwill will help the many people who want to tell their own stories of success. [EOS],Your contribution to the cause will aid others.,Your gift to Goodwill will help many people who want their own stories of success.
Thank you for your ongoing support of our great school! [EOS],Our great school thanks you for your ongoing support!,Thank you for your ongoing support of our great school! . Thanks to the
"Again, let me assure you that we would appreciate receiving one million dollars from you and each of our 161 alumni. [EOS]",Getting one million dollars from you and 161 other people would make us very appreciative. ,We would appreciate one million dollars from you and each of our 161 alumni. 
Thank you again for sharing our hope for a future without cancer. [EOS],Thanks for helping us imagine a cancer-free future!,We hope to have a future without cancer. I appreciate you sharing your hopes
The independence Cameron gives Urban is phenomenal. [EOS],Cameron gave Urban independence. ,Cameron gives Urban independence.  and amazing! .The freedom he gave is
"At eight or ten stitches an inch, it is possible to seam thirteen to sixteen or more inches a second. [EOS]",It's possible to seam more than 13 inches a second.,It is possible to seam 13-16 inches a second at eight or ten stitches an
So that helped you learn about people that you had not necessarily met. [EOS],They learned more about people that they hadn't met before.,That helped you learn about people that weren't familiar with it. I'm
"Through the youth mapping process, it was confirmed that the positive opportunities for youth on weekend evenings were lacking. [EOS]","It was confirmed through the youth mapping process, that positive opportunities for younger people on weekend evenings were lacking.",The youth mapping process confirmed that the positive opportunities for weekend evenings were lacking. 
Thank you in advance for your contribution and interest in dental hygiene education. [EOS],Your interest in dental hygiene education has been appreciated. ,Thank you for your contribution and interest in dental hygiene education. angle/d
"Finally, turning to her toilet, she rested her face in her hands, and gave a sort of groan.  [EOS]",She groaned as she rested her face amongst her hands.,She rested her face in the toilet. I was groaning as she turned
Basic products are prime candidates for lean retailing because such a product style remains in a retailer and apparel company's product line over much of the selling season and often over several years. [EOS],A product that's basic is better for retailing in a lean fashion due to the fact that the style stays in the product line for a longer period of time.,Basic products are prime candidates for lean retailing. The product style of a
He did not know that other aircraft had been hijacked. [EOS],He didn't know about the plane hijacking for awhile.,He didn't know that other aircraft had been hijacked. I'm not sure
"And so what year does that make you, are you a--? [EOS]",What grade are you in?,"What year is that? . Where are you from, do your years count"
He also stresses grievances against the United States widely shared in the Muslim world. [EOS],There are grievances felt towards the United States in the Muslim world.,He stresses grievances against the United States. I'm also stressed that he's
"In part, that is attributable to the designation of his correspondents, who keep him informed on language that is not within earshot, as the  Lexicographic Irregulars,  an amusing reference the first time or two it was used but now beginning to cloy. [EOS]",The designation of the correspondents has become repetitive and cliche.,His correspondents keep him informed on language that is not within earshot. 
Do you read yet? [EOS],Can you read yet?,"Do you read yet? . I am curious about that myself, and do"
"In The Bride of Lammermoor (Chapter V), we are informed that the heroine  placed certain restrictions on their intercourse,  a limitation that might have been more usefully set in that same author's Rob Roy (Chapter VII) where we are told of the chance that the narrator and Miss Vernon might be  thrown into very close and frequent intercourse.  [EOS]",They had restrictions about how they may have sex,The narrator and Miss Vernon were told to have a limited relationship. I think
"The message, again, that I get from the story, for me personally, was that there would always be a special connection between me and God, and actually was just another of the ways my grandmother put for me to learn, or believe, that I could do anything, I could be anything, because I had a special connection and special protection, um, from not only her, which was more important for me at the time. [EOS]","The message that I got from my Grandmother's story was that I would always have a special connection with God and that I could do anything, I just needed to believe.",My grandmother taught me that I could do anything. I get the message from
"If approval was given, the orders would be transmitted down NORAD's chain of command. [EOS]",The orders required approval to be given to proceed.,The orders would be transmitted down NORAD's chain of command if approval was given.
"Once constructed, this persisting psychological self serves as an anchor for unique experiences, which are retained easily as long as they become personally meaningful. [EOS]",Personally meaningful unique experiences are always retained easily.,"Once constructed, this persisting psychological self serves as an anchor for unique experiences. "
"I was always into those kinds of heroic things, um, so I read a lot of those things. [EOS]","I was always interested in heroic things, so I read a lot of those things.",I read a lot of heroic things because I was always into them. Ob
To our knowledge none of them had ever flown an actual airliner before. [EOS],None of them had flown planes before.,None of them had flown an actual plane. I'm aware that they have
Three of the flights had actually taken off within 10 to 15 minutes of their planned departure times. [EOS],"Within 10 to 15 minutes of their planned departure times, three of the flights had taken off.",Three of the flights had left before their scheduled departure times. The flight took
"The information-integrated channels developed in the United States, which are now influencing sourcing patterns from Mexico and the Caribbean Basin, have begun to affect the textile and apparel sectors worldwide. [EOS]",The textile and apparel sectors worldwide have changed since the introduction of information-integrated channels.,The information-integrated channels developed in the United States have begun to affect textile and
"In addition, gifts provide essential support in a number of other areas, including recruitment of new faculty members and students, maintaining our Career Services office, securing guest speakers, supporting the school's commencement and publications [EOS]","Gifts are essential for providing support, including maintaining offices, recruiting guest speakers, and hiring new faculty.",Gifts provide essential support in a number of other areas. The school's
And how they use to take their lunches to school and some of the things they took for lunch like fatback meat biscuits and--. [EOS],In the past they would bring their lunches to school.,They used to take their lunch items with them. I remember how they took
It costs $225 to send one child to camp. [EOS],The price of the camp is $225,It costs $225 to send one child. I'm not sure if I
"All my digits um, still work. [EOS]",I have fingers.,"My digits still work. I have all my numbers, I guess? ."
"In this way, the adult evokes from the child his or her current knowledge and, on that basis, can scaold more eectively. [EOS]",Children have some level of current knowledge.,The adult can scold more effectively when the child has knowledge. I'm
I just can't remember. [EOS],I am having trouble remembering.,"I can't remember.  and confusion exists in my mind at the moment,"
"In interviews with us, NEADS personnel expressed considerable confusion over the nature and effect of the order. [EOS]",NEADS personnel was confused about certain details about the order.,NEADS personnel expressed confusion in interviews. I'm not sure what the order
"Although these advances are encouraging, our work is far from complete. [EOS]",Although there have been advances our work isn't completed yet.,"Our work is far from complete.  and these advances are encouraging, though our"
"Repeatedly between 10:14 and 10:19, a lieutenant colonel at the White House relayed to the NMCC that the Vice President had confirmed fighters were cleared to engage inbound aircraft if they could verify that the aircraft was hijacked. [EOS]",Fighters were confirmed by the Vice President to engage aircraft that were hijacked.,The Vice President confirmed fighters were cleared to engage inbound aircraft if they could verify that
 We always had books lots of books. [EOS],We had a great many books.,We always had lots of books. I'm sure we did not have any
"At 9:36, the FAA's Boston Center called NEADS and relayed the discovery about an unidentified aircraft closing in on Latest report. [EOS]","At 9:36 PM, the FAA's Boston Center called NEADS and related the discovery. ",The FAA's Boston Center called NEADS and relayed the discovery about an unidentified aircraft.
"If there is something wrong, it behooves us to get at the roots of the problem, not to flail about wildly, for only after the source of a disease has been identified can one properly investigate its cure. [EOS]","If something is wrong, we must get to the root of it to decipher a cure. ","If there is something wrong, we should get to the root of it. "
"In this competition for legitimacy, secular regimes had no alternative to offer. [EOS]",Secular regimes had little to off in way of legitimacy.,Secular regimes had no other option. I'm in this competition for legitimacy
"He quotes an Andalusian artist, Manuel Torres, as having exclaimed of composer Manuel de Falla's Nocturno del Generalife ,  Todo lo que tiene sonidos negros tiene duende  (`All that has black sounds has duende '). [EOS]",Manuel Torres is an Andalusian artist.,Manuel Torres is an Andalusian artist. I'm quoted by him
"Because of this, most expensive automation equipment is concentrated in preassembly, drawing on multi-shift operations. [EOS]",The majority of automation equipment operates during the preassembly phase.,Preassembly is where the most expensive automation equipment can be found. The multi
America is under attack. [EOS],Someone or something is attacking America.,"America is under attack.  and uncertainty at the moment, as well? ."
His checked bag was screened for explosives and then loaded on the plane. [EOS],The bag he checked was loaded on the plane after being screened for explosives.,His checked bag was screened for explosives and then loaded on the plane. I
"I pointed out to him that if they made available a proper manual the number of calls could probably be reduced to 6,000. [EOS]",I believe a manual would have helped the situation.,I told him that the number of calls could be reduced if they made a manual available
"If there is something wrong, it behooves us to get at the roots of the problem, not to flail about wildly, for only after the source of a disease has been identified can one properly investigate its cure. [EOS]",One must investigate thoroughly. ,"If there is something wrong, we should get to the root of it. "
Both individuals agreed that the teleconference played no role in coordinating a response to the attacks of 9/11. [EOS],Each person said the teleconference had had no affect on how the actions after 9/11 were organized.,The teleconference played no role in coordinating a response to the 9/11 attacks.
"Fortunately, not all reports are as disturbing as Hochschild's. [EOS]","Thankfully, not all reports are as terrifying as Hochschild's.",Hochschild's reports are not as disturbing. I think that is a
"According to Campbell, the only godlike female figure in the Bible is the Virgin Mary, and she appears, identified as virgin, only in the Gospel according to Luke. [EOS]",The only god-like female figure in the bible is the Virgin Mary. ,The Virgin Mary is the only godlike female figure in Bible. I'm
I am asking for the support of the families of Herron students to help maintain this vital program. [EOS],The program should be supported financially.,I need the support of Herron families to maintain this program. Obtaining
Who would have been telling you those stories? [EOS],Who told you those stories?,Who would have been telling you those stories? . Who was it that did
"If you help me, I said, to move my livestock to Chapeltique. [EOS]",Can you help me move my livestock to Chapeltique?,I asked for help to move my livestock. (s)If you can
"Bottom-up  the young being inducted into school at an early age and proceeding, level by level, to institutions of ever  higher  learning, stopping off for various reasons at various levels, usually marked by tests and the distribution of certificates providing a social grade. [EOS]",Young people enter the school system and go level by level through different instutions.,The young are inducted into school at an early age.  and marked by
"With over 18 years experience, we have found that many conflicts between young people are rooted in attitudes and prejudices that exclude and target individuals and groups. [EOS]",We discovered the causes of conflicts between young people.,Many conflicts between young people are rooted in attitudes and prejudices. The experience of
One of the flights that received the warning was United 93. [EOS],Flight United 93 received a warning.,United 93 was one of the flights that received warning. UNITED 92 is
"We brought them back in the afternoon, when I saw that, behind her there came a big group of, they looked like soldiers, but in street clothes. [EOS]",We brought them back in the afternoon after we saw that.,We brought them back in the afternoon. I saw a group of people dressed
"In the new competitive arena'where demand uncertainty and time to market have become important factors along with price'textile firms are being forced to adapt to information-integrated channels, rather than just drawing on the economies of scale that led to their success in the past. [EOS]","There has been a shift, by force, of textile firms adapting to information-integrated channels.",Demand uncertainty and time to market have become important factors. The new competitive arena
"Because you are an organization that cares, you are invited to become an integral part of this fabulous event by becoming a corporate sponsor for JCC Auction '99. [EOS]",The organization cares.,You can become a corporate sponsor for JCC Auction '99 if you are an organization
"Mitch, in contrast, scores low on fearful distress and high on positive mood. [EOS]",Mitch is not fearfully distressed and has a good mood.,Mitch scores high on positive mood and low in fearful distress. The man
Did you write this? [EOS],Was it you who jotted this down?,"Did you write this? . was it your idea to do so?"" ."
Outstanding Herron students are honored on this special evening of recognition with gifts from local companies and individuals. [EOS],Herron students are honoured with gifts from companies and individuals.,Gifts from local companies and individuals are given to outstanding Herron students. 
"Once again, the development of Web sites to undertake some of these connections represents an important first step in this direction. [EOS]",The development of a website is an important first step.,Web sites are being developed to undertake some of these connections. I think this
"Although we associate trench warfare with World War I, trenches were characteristic also of the Civil War. [EOS]","Trenches happened in the Civil War, not just World War I.",Trench warfare was common in the Civil War. I'm not sure if
"Additionally, there is a tremendous need to upgrade the technological infrastructure of the school. [EOS]",The technological infrastructure of the school needs to be updated.,The school needs to upgrade its technological infrastructure. I think it is a huge
There is no intelligent life on this planet.  [EOS],There isn't any intelligent life on this planet.,There is no intelligent life on this planet. I'm not sure why I
"In 1996, these figures will triple. [EOS]",This amount will triple in 1996.,These figures will triple in 1996. I'm predicting that to happen by the
"Because Ballinger was still responsible for his other flights as well as Flight 175, his warning message was not transmitted to Flight 93 until 9:23. [EOS]",Ballinger's message was delayed in being remitted.,Ballinger was still responsible for his other flights. I'm not sure when
This joint attention to objects and events fosters early language development. [EOS],Early language development can be fostered by this joint attention. ,Early language development is fostered by attention to objects and events. angle of
"The hijackers were wearing red bandanas, and they forced the passengers to the back of the aircraft. [EOS]",The passengers of the aircraft were forced to the back by the hijackers.,The hijackers forced passengers to the back of an aircraft. I was wearing
"Finally, the cloth must be spread in as many layers of thickness as necessary to achieve the number of units requested or as many as can be properly cut at one time. [EOS]",The cloth must be spread in as many layers as can be cut.,The cloth needs to be spread in layers. I'm talking about the number
"Please, consider renewing your support of these great kids today. [EOS]",These kids need your continued support. Please consider renewing.,"Please, renew your support of these great kids today. The children are worth"
The word might also have been used for a receptacle near the guns where powder and balls were kept. [EOS],The word may have been used to show where the powder and balls for guns were kept. ,The word might have been used for a receptacle near the guns. I
Tell me about Batman. [EOS],Speak to me about Batman.,Tell me about Batman. I want to know what you say? About the
Please send the largest contribution you can comfortably make. [EOS],Please send as much as you are willing to spend.,Please send the largest contribution you can comfortably make. I am asking for help
The center also contacted the West Virginia State Police and asked whether any reports of a downed aircraft had been received. [EOS],The State Police in West Virginia were contacted regarding reports of fallen aircrafts.,The center asked the West Virginia State Police if any reports of a downed aircraft had been
"But I'm also trying to teach them that they have to earn what they get, and to be part of making sure their lives are better. [EOS]",I try to teach them to earn what they get and to be active in making their lives better.,I am trying to teach them that they have a responsibility. angleMaking sure
The whole idea of such a procedure is enough to make one sweat bullets. [EOS],It is very nerve-wracking to go through a procedure like that.,The procedure is so intimidating that it makes one sweat bullets. UNfortunate
"Actually my first semester at Charlotte, I was a Pre-Business major to go into Marketing and Advertising, because I did that in high school, too. [EOS]",I majored in Pre-business my first semester of college.,I went into marketing and advertising in college.  I did that when i was
"And uh, I don't remember the specifics as to what he did, but the bus driver Louie was about four and a half feet tall driving a 72-passenger diesel bus. [EOS]",Louie was over four feet tall driving the bus. ,Louie was the bus driver. I don't remember exactly what he did
"A number of developments, many linked to issues we have discussed, indicate both the potential and limitations of electronic retailing. [EOS]",Retailing electronically has both potential applications as well as things that it's not able to do.,The potential and limitations of electronic retailing are shown by a number developments. 
And your age? [EOS],What's your age?,What is your age? . I am curious about that as well! .
"Bin Ladin was also willing to explore possibilities for cooperation with Iraq, even though Iraq's dictator, Saddam Hussein, had never had an Islamist agenda-save for his opportunistic pose as a defender of the faithful against Crusaders during the Gulf War of 1991. [EOS]",The terrorist was willing to work with the country of Iraq.,Saddam Hussein was the dictator of Iraq. I'm willing to explore
"Please RSVP to Tammy Jackson by Tuesday, November 2, 1999 at 264-7555, ext. [EOS]","Call Tammy Jackson at 264-7555 ext. to RSVP by Tuesday, November 2nd.",Tammy Jackson can be reached by phone.  and to RSVP for Tuesday
Junn Quechua children have diculty with false-belief tasks for years after children in industrialized nations have mastered them. [EOS],Junn Quechua children have more trouble with false-belief tasks than industrialized nation's children.,Children in industrialized nations have mastered false-belief tasks. The children of
J. C. Penney built an internal data communications network well in advance of its use with suppliers. [EOS],J.C. Penney uses an internal data communications network to work with its suppliers. ,J. C Penney built an internal data communications network well in advance of its use
The vocabulary-building argument is a potent one for proponents of Latin education. [EOS],Proponents of Latin education find the vocabulary-building argument a potent one.,The vocabulary-building argument is a potent one for proponents of Latin education. 
"Um, reading is fundamental as they say and it truly is. [EOS]",Reading truly is fundamental.,"Reading is fundamental. I agree with what they say about it, and I"
You'd better do it right! [EOS],You need to do it right,You should do it right! . The man said that he would have to
"One gets the impression that the editors of L used the good stuff from the W and substituted their own, much better material when they encountered some of the bad stuff. [EOS]",it appears that good aspects of W were taken and added to other excellent material by the editors. ,"The editors of L used the good stuff from W and substituted their own, much better"
There are sharp differences in the United States between organized labor and business and in the political arena as well. [EOS],"Labor, business, and politics have many differences in the United States.",There are differences between organized labor and business in the United States. Obst
Are you going to get gifts for anyone this year? [EOS],Will you get gifts for people this year?,Are you going to get gifts for anyone this year? . Will it be
All of this is possible because we are a statewide member network. [EOS],"Since we operate across the state, we can do all of this.",We are a statewide member network.  and all of this is possible because we
"At a time when many dental schools are closing or cutting back on programs, Indiana University is investing in and enhancing its own future. [EOS]",Many dental schools are closing or cutting back on programs. ,Indiana University is investing in and enhancing its own future. The dental schools are
"Recently in Chambers I came across the adjective perjink , a Scots word given also in Collins , but not in any of the other desk dictionaries I  it means   finical.  [EOS]",The adjective perjink is a Scottish word found in Chambers.,"Perjink is a Scots word. I found it in Chambers, but"
" I can't remember much family togetherness when I was a kid,  Hannah remarked. [EOS]",Hannah commented on how she couldn't remember much family togetherness as a kid.,Hannah said that she doesn't remember much family togetherness when her kids were young
You did a really good job. [EOS],Your work was absolutely great.,"You did a great job. I think so, too! .The man"
"In this way, the adult evokes from the child his or her current knowledge and, on that basis, can scaold more eectively. [EOS]",The most effective way to scaffold is by determining the child's current level of knowledge.,The adult can scold more effectively when the child has knowledge. I'm
The measurements must still be transmitted to a CAD system that will automatically alter the pattern to conform to specific body measurements. [EOS],The measurements must be moved to a specific CAD system.,The measurements must still be transmitted to a CAD system that will automatically alter the pattern.
"I might have been influenced by the preceding double is in tadashii .  But I find that tadachi ni is frequently written and printed in two words, ni meaning `in,' so that tadachi ni just might be equivalent to something like `in the immediate. [EOS]",I find that tadachi ni is frequently written in two words.,Tadachi ni is often written in two words. I might have been
"It had been publicly declared years earlier, most notably in a declaration faxed early in 1998 to an Arabic-language newspaper in London. [EOS]",It was brought up before in a newspaper in London.,It had been declared years earlier. I faxed a declaration to an Arabic
"As the explorer Ernest Giles put it, the explorer's experience is a  baptism worse than that of fire'the baptism of no water.  [EOS]",Giles said an explorer's experience is like a baptism.,Ernest Giles said that the explorer's experience was worse than a baptism of no
"Yiddish never apologizes for what it is'the earthy, wise soul of an expressive people learning that life is but a mingled yarn, good and ill together. [EOS]",Yiddish is the soul of a people living out the good and bad of life.,Yiddish people learn that life is a mingled yarn. I'm
Then a unique marker must be created that combines different orders using the same fabric. [EOS],It might be helpful to create a marker that combines the different orders using the same fabrics.,A unique marker must be created that combines different orders using the same fabric. 
"Let me emphasize  by further extending,  in the quote above. [EOS]",The quote above will show the emphasis.,"Further extending, in the quote above. I emphasize by furthering that point"
This guild of scholars is one of the most successful enterprises in the history of our species. [EOS],This guild of scholars is a very successful enterprise.,The guild of scholars is one the most successful enterprises in history. I'm
"Yet a few years ago, it almost closed its doors due to a lack of applicants. [EOS]",A few years ago there were hardly any applicants.,It almost closed its doors due to a lack of applicants. I'm not
"In addition, the full donation of $1,000 can be itemized as a federal income tax deduction. [EOS]","The full donation of $1,000, in addition, can be itemized as a federal income tax deduction.","The donation of $1,000 can be itemized as a federal income tax deduction"
