"<t> At 9:03, United 175 crashed into the South Tower.</t> [EOS]",United 175 crashed into the South Tower at 9:03.,United 175 crashed into the South Tower at 9:03.  (a
<t> Please renew your commitment today.</t> [EOS],A renewal of commitment is required today,"Please renew your commitment today.  the following: ""please"" demonstrated by"
<t> Each prospective and current program is evaluated on the basis of its support of one or more aspects of women's needs.</t> [EOS],Every program is judged on how well it helps women.,Each prospective and current program is evaluated on the basis of its support. 
<t> So what has changed the prognosis for American apparel and textiles and provided new opportunities for these industries?</t> [EOS],There are now more opportunities in the apparel and textile industries in America.,What has changed the outlook for American apparel and textiles? OCR
"<t>  Got him just out of 9,500-9,000 now.</t> [EOS]",We got him out of that 9500-9000 range.,"He is out of 9,500 to 10.000 now  the following"
<t> Appreciate it.</t> [EOS],Thank you.,"Appreciate it.  the following: ""Thanks."" The above is"
"<t> He views either of them as the instrument, the bond, of his not being able to pass on the crown to a successor of his choosing (or of his subsequent begetting).</t> [EOS]",He cannot pass the klngship onto someone else.,"He views either of them as the instrument, and bond.  (OC)"
<t> Something to that effect.</t> [EOS],That's approximately what it means. ,"Something to that effect.  the following: ""That is something."" )"
"<t> The story disclosed that adults realize a long service is hard for a small boy to sit through, but exercising self-restraint and participating in communal rituals bring praise and acceptance from the community.</t> [EOS]","According to the story, adult's do realize that a small boy will find a long service difficult to sit through.",The story revealed that adults realize a long service is hard for the boy to sit through
"<t> Of those beginning prenatal care in the first trimester, Indiana mothers rank in the lower third of individuals receiving such care nationwide.</t> [EOS]",There are Indiana mothers who do not receive prenatal care in the first trimester.,Indiana mothers are the lowest in receiving prenatal care nationwide.  (Hint:
"<t> The people of Batavia on the Hopi Reservation in northern Arizona were motivated by their desire to rekindle traditional cultural values among younger generations when, with the help of Futures for Children, they decided to restore traditional terrace gardens at the edge of their village -gardens that had been abandoned for decades.</t> [EOS]",Traditional values have motivated people of Batavia to care about their land.,The people of Batavia wanted to rekindle traditional cultural values among younger generations.
"<t> Between 9:01 and 9:02, a manager from New York Center told the Command Center in </t> [EOS]",A manager from the New York Center told the Command Center something between 9:01 and 9:02.,A manager from New York Center told the Command center between 9:01 and 10.
<t> Did you have lots of storybooks at your house that were read to you?</t> [EOS],Were a lot of the books in your house read to you?,Did you have storybooks at your house? onia (Homeric)
<t> Blaring sirens and horrendous crime.</t> [EOS],Loud sirens and terrible crime.,There was a lot of crime.  ( z11am) ) explained
<t> How can parents beat the  time bind ?</t> [EOS],How can parents find more time?,"How can parents beat the time bind? onia.com, The Daily"
"<t> Fulfilling his bargain with Turabi, Bin Ladin used his construction company to build a new highway from Khartoum to Port Sudan on the Red Sea coast.</t> [EOS]",Bin Ladin used his construction company to construct a highway between the city to the port.,Bin Ladini built a new highway from Khartoum to Port Sudan.
<t> Is there a favorite story or storybook or anything that you had when you were little that somebody read to you?</t> [EOS],Were any books read to you in your childhood?,Do you have a favorite story that someone read to your when they were young?
<t> I really don't.</t> [EOS],I do not.,"I don't.  the following: ""No, I really do not"
<t> I am asking for the support of the families of Herron students to help maintain this vital program.</t> [EOS],I want families of Herron students to support the program.,I am asking for the families of Herron students to help maintain this vital program.
<t> (Origin unknown; not from Gaelic)  I think it hardly fanciful to discern a note of Calvinist disapproval in this curt disclaimer.</t> [EOS],It isn't too fanciful to note the disapproval by Calvinists here.,The disclaimer is not from Gaelic.  (partially) because of
"<t> Some time ago, Texans picked up a speech habit that is being acquired by the rest of the country.</t> [EOS]",Texans picked up a speech habit that is being picked up by the rest of the country.,Texas has a speech habit that is being adopted by the rest of America. 
"<t> When I found out that the infant mortality rate in Indiana was 86 percent greater than for mothers in Sweden, I was shocked.</t> [EOS]",The news was a huge surprise to me.,I was shocked to learn that the infant mortality rate in Indiana is 86 percent greater than
<t> The good news is that the teen-age birth rate has fallen almost 9 percent since 1991.</t> [EOS],"The teen birth rate has fallen since 1991, which is good news.",The teen-age birth rate has fallen almost 9 percent since 1991.  the
"<t> We would all slide the windows down on the bus open the door, stick your head out the door, you couldn't hear anything coming that way, you couldn't hear anything coming the other way, and he'd just drop it in low and gun it, we would make it another morning.</t> [EOS]",You couldn't hear anything coming outside the bus window.,We would open the bus door and he'd just drop it in low. 
<t> Lonq live Spring Creek Prairie!</t> [EOS],All hail the Spring Creek Prairie!,"Spring Creek Prairie is where Lonq lives. onia ""live""!"
<t>   Live at Five. </t> [EOS],Something is happening at five,"Live at Five . The following is a quote from the article: """
"<t> At 7:15, a pair of them, Khalid al Mihdhar and Majed Moqed, checked in at the American Airlines ticket counter for Flight 77, bound for Los Angeles.</t> [EOS]",Khalid al Mihdhar and Majed Moqed checked in at 7:15., Khalid al Mihdhar and Majed Moqe checked in at the American
<t> The forecasting challenges retailers confront have been amplified in recent years by product proliferation in almost every category.</t> [EOS],The estimating challenges retailers go up against have been intensified as of late by item multiplication in practically every classification.,The challenges retailers face have been increased in recent years.  the following:
"<t> After completing the process of developing a demand forecast for each SKU, a retailer must determine how much of each item to stock on the shelves of its stores.</t> [EOS]",Retailers have to decide how much of items they're going to stock on shelves.,A retailer must determine how much of each item to stock on the shelves. 
"<t> '  Perhaps it was so called because it opens in morning and closes at night, or because of its eyelike shape.</t> [EOS]","It may have been called so because of its opening and closing rituals, or because it resembles an eye.",It was called because it is open in the morning and closes at night. 
"<t> I thought that was surely the first time I had ever seen such an obvious typographical error in, of all things, a simple title on a simple 78-rpm record.</t> [EOS]",I thought it was the first time I'd seen such an error on a record label.,I thought that was the first time I had seen such an obvious typographical error in
"<t> But while the effort failed, it shows what Bin Ladin and his associates hoped to do.</t> [EOS]",Bin Ladin and his associates' goals were revealed by their failed effort.,Bin Ladine and his associates had a plan to do what the effort failed.
"<t> By 8:00 A.M. on the morning of Tuesday, September 11,2001, they had defeated all the security layers that America's civil aviation security system then had in place to prevent a hijacking.</t> [EOS]",There were inadequate measures in place to stop a hijacking from taking place.,America's civil aviation security system was supposed to prevent hijacking.  the
"<t> Unfortunately, the presentation of his linguistic argument, where the author is clearly treading on more speculative ground than in those parts dealing with outright archaeology, where he is on more familiar territory, is disorganized and repetitious.</t> [EOS]",The argument is messy and repeats itself.,The presentation of his linguistic argument is disorganized and repetitious.  the
"<t> If a new sewing table or a new sewing machine with programmable features is added at a particular workstation'that is, any device that reduces the time it takes to complete various tasks'then the allowable time and wage rate for that operation must be changed.</t> [EOS]","If a technology or machine changes the time it takes to finish a task, the time window for completing that task and compensation must be altered.",A new sewing table or a machine with programmable features is added at the workstation
<t> That must be a really big deal.</t> [EOS],That seems like a rather important thing.,"That must be a big deal.  the following: ""It's quite"
"<t> On reflection, the parts will hold together.</t> [EOS]",The part will hold together on second thought. ,"The parts will hold together after reflection.  the following: ""on reflecting"
<t> We thought it would be cool to see just how far a BB would shoot.</t> [EOS],We wanted to see how far a BB would shoot.,We thought it would be cool to see how far a BB could go. 
<t> The Concise Oxford allows both pronunciations.</t> [EOS],The Concise Oxford provides multiple ways to say a word.,"The Concise Oxford allows both pronunciations.  the following: """
<t> Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.</t> [EOS],"By donating to the Goodwill this year, we will be able to provide more support to our work.",Your gift to Goodwill will help us do even more this year. 
"<t> Lower-level officials improvised-for example, the FAA's Boston Center bypassed the chain of command and directly contacted NEADS after the first hijacking.</t> [EOS]",The chain of command was circumvented when the FAA's Boston Center contacted NEADS directly.,The FAA's Boston Center bypassed the chain of command and directly contacted NEADS after
"<t> It is a pivotal time in the life of a young girl-when small changes in her behavior, or the choices she makes, can affect her future.</t> [EOS]",It is important to help young girls with the choices that they make.,A young girl's behavior can affect her future.  the simplest of things
<t> Landing meaningful and productive employment was hard for Miyares.</t> [EOS],Miyares had difficulty getting a fulfilling and lucrative  job.,"Miyares had difficulty landing meaningful and productive employment.  the following: """
<t> The paper marker identifies each piece in the layout so that the cloth pieces for individual apparel items can be put together after the fabric is cut.</t> [EOS],The paper marker makes putting together the items more efficient.,The paper marker identifies each piece in the layout.  (a)
"<t> Noteworthy, too, are the strategies that have been devised to cope with the limits of our twenty-six letter alphabet.</t> [EOS]",The strategies the were devised to cope with limits of our alphabet are noteworthy.,The strategies have been devised to cope with the limits of our twenty-six letter alphabet
<t> The airplane headed down; the control wheel was turned hard to the right.</t> [EOS],The control wheel of the plane was turned to the right.,The airplane was going down.  the simplest of terms: The control wheel had
"<t> In October, we will begin our annual telefund.</t> [EOS]",We will have annual tele fund in October,"We will begin our annual telefund in October.  the following: """
"<t> Both dictionaries list abbreviations and biographical and geographical entries in separate sections at the back, a practice I have never liked.</t> [EOS]","I always disliked dictionaries that list geographical, biographical and abbreviation entries in different areas towards the back of the text.",I have never liked the fact that both dictionaries list abbreviations and biographical entries
"<t> Imaginative play, Vygotsky noted, also functions as a bridge from the concrete thought of the preschool and early school years to mature  adult thought, which can be totally free of real situations. </t> [EOS]",Imaginative play also works as a connector to mature adult thought from childlike concrete thought.,Vygotsky said that imaginative play can be a bridge from the concrete thought of
<t> Make-believe play is yet another.</t> [EOS],Pretend play is yet another.,"Play is another.  the following: ""make-believe play."""
<t> This fall alumni and students at the Indiana University School of Law Indianapolis will initiate several programs to encourage alumni support for the school.</t> [EOS],Several programs will start in Indianapolis to get more alumni support. ,The Indiana University School of Law Indianapolis will have several programs this fall. 
<t> The Grill will feature enough activities that you and your kids will have a tough time deciding what to do.</t> [EOS],It is hard to choose which activity to do,The Grill has a lot of activities for your kids.  the simplest way
"<t> (This, remember, was in my youth, and it was a time when typographical errors were called typographical errors, not typos'at least by kids in junior high.)</t> [EOS]",This was in my youth when we didn't call things typos.,This was in my youth.  (a time when typographical errors were
"<t> Our answer to that is, we stay focused on our mission of empowerment of women and their families.</t> [EOS]",We are steadfast with our mission of empowering women and their families.,We stay focused on our mission of empowering women and their families.  the
"<t> Given the predominant share of workers in assembly, organization of work in the sewing room has been the central focus of management attention.</t> [EOS]",Management attention has been focused on organization of work in the sewing room.,Management has focused on the sewing room.  ( z6) ) explained
"<t> By 1993, Penney was using EDI for processing 97 percent of purchase orders and 85 percent of invoices with 3,400 of its 4,000 suppliers.</t> [EOS]",Penney was using EDI in 1993 for processing much of its supply information.,Penney processed 97 percent of purchase orders by 1993.  ( z6
"<t> It is only from an article about CED that we learn it has  171,000 entries,  which suggests that Collins means by references what Merriam-Webster means by entries .  But CED and Cobuild certainly do not say so!</t> [EOS]",Different dictionaries may use the terms entries and references to refer to the same thing.,Collins references Merriam-Webster in his entries.  (a
<t> It is wonderful to be able to write this letter to you as a special friend of the Leukemia Society of America.</t> [EOS],"Being able to write a letter to you, as a special friend of the Leukemia Society of America, it is wonderful.",I am a friend of the Leukemia Society.  (amenonia
"<t> They need individual support to attend conferences, present papers, publish their works, and keep in touch with others in their fields across the country.</t> [EOS]",They need individual support to do academic work.,They need individual support to attend conferences.  the following: they also require
"<t> Um, she always kept all her bills and expenses at an absolute minimum ran everything very efficiently kept an extremely tidy house uh.</t> [EOS]",She made sure the house was always sparkling clean.,She kept her bills and expenses to a minimum.  ( zing)
"<t> Chair is a Greek compound of kata `down' + hedra `sit, seat.</t> [EOS]",The Greek compound of kata for down and hedra for sit composes the word Chair.,The Greek word for chair is kata.  (a compound of two
<t> Are you going to buy any gifts for people or make anything?</t> [EOS],Have you purchased any presents or make handmade stuff?,"Are you going to make any gifts for people?  the following: """
<t> Do not sit this one out.</t> [EOS],Don't miss this.,"You should not sit out this one.  the following: ""Don't"
"<t> So, then, I grabbed him, and when I grabbed him, I put him under the bed, and I went outside.</t> [EOS]",I grabbed and put him under the bed and then I went outdoors.,I grabbed him and put it under the bed.  (a) I
"<t> traces the word from an episode of the comic strip  Buck Rogers in the 25th Century  written by Philip Francis Nowlan in 1929-- Ahead of me was one of those golden dragon Mongols, with a deadly disintegrator ray.</t> [EOS]",Buck Rogers in the 25th Century existed in the 1920's.,The word was written by Philip Francis Nowlan in 1929.  (a
"<t> Yeah, I liked it a lot.</t> [EOS]",I enjoyed it quite a bit.,I liked it a lot.  (Hpletive) of the word
"<t> \\ How \\, how come?</t> [EOS]","How did you do it, and how come you even wanted to? ","How come? .com/OCA-Wondering, How"
"<t> Instead, its very essence is self-restraint'voluntarily following social rules.</t> [EOS]",It's very essence is built upon conforming to what is socially accepted.,"It is self-restraint.  the simplest of all, following social"
"<t> Thus the evidence at the RHD offices indicated the need for reinforcement of the notion of maleness associated with the word, not, as M and S suggest, a trend toward epicenism.</t> [EOS]",The evidence at the RHD offices indicated the need for reinforcement,The evidence at the RHD offices indicated that reinforcement of maleness was needed.
"<t> Journalist Charles Rappaport once quipped,  I speak ten languages'all of them Yiddish. </t> [EOS]",The journalist Charles Rappaport once joked that he only masters the Yiddish language.,Charles Rappaport is a journalist.  ( zipped) because he
<t> But he places most blame on how contemporary children are reared.</t> [EOS],"Most of the blame is on how contemporary children are reared, according to him.",He blames the way children are raised.  (OC) sicke
<t> And do you read a lot?</t> [EOS],Do you read a lot?,Do you read a lot?  and (ADAM) the answer is
"<t> So what is the explanation of the phrase cold enough to freeze the balls off a brass monkey ?  Well, the obvious one, I believe.</t> [EOS]",Some expressions have a very obvious meaning.,The phrase cold enough to freeze the balls off a brass monkey is obvious. 
"<t> go off half cocked Muzzleloaders, then as now, had a half cock, or safety position, for a gun's hammer that partially back-locked the trigger mechanism so that the weapon could not be fired.</t> [EOS]",A gun has a hammer component which is linked to the trigger.,"Muzzleloaders had a half cock, or safety position.  ("
"<t> 33 By 1994, the Saudi government would freeze his financial assets and revoke his citizenship.</t> [EOS]","In 1994, his finances were frozen and citizenship revoked.",The Saudi government would freeze his assets and revoke the citizenship by 1994. 
<t> Attaining a Subtle Grasp of Mental Life.</t> [EOS],Somewhat understanding human thinking.,"A Subtle Grasp of Mental Life.  the following: ""Attaining"
<t> It's not a family story.</t> [EOS],It's not a kid-friendly story.,"It's not a family story.  the following: ""Oh, no"
"<t> I might add that a gift of $400 qualifies you for recognition in the School of Liberal Arts Dean's Council, a critical group of supporters whose generosity does a lot to advance the calibre of the School.</t> [EOS]",You will be qualified for recognition after gifting $400. ,The Dean's Council is a critical group of supporters.  the following:
"<t> The onomatoplazia of inflammable is so common that flammable , or even flamable is now commonly substituted, especially on trucks.</t> [EOS]","Flammable or even flamable is substituted commonly, and frequently on trucks.",Flammable is often used on trucks.  the reason for this was
"<t> He worked, he's a teacher, and at that time he worked as the principal of that school, of that school, because it was a, like a high school, there was, from first (grade) to high school.</t> [EOS]","The man is a teacher, but also a principal of a place of a learning.",He was the principal of that school.  (a) he's a
<t> Parental oversight and involvement in children's TV viewing are essential for two reasons.</t> [EOS],Two reasons exist for why parents should keep track of what their children watch.,Parents are essential for two reasons.  (a) important to watch children
"<t> Both set off the alarm, and they were directed to a second metal detector.</t> [EOS]",Two people were directed to a metal detector after setting off the alarm.,They were directed to a second metal detector after both set off the alarm. 
"<t> He notified his supervisor, who passed the notice up the chain of command.</t> [EOS]",The notice was passed up the chain of command by the supervisor. ,"He notified his supervisor, who passed the notice up to everyone in command. "
"<t> In urban centers, there have always been small shops with goods for sale.</t> [EOS]",Urban centers have always had small shops.,"Small shops have always been available in urban centers.  the following: """
"<t> Once constructed, this persisting psychological self serves as an anchor for unique experiences, which are retained easily as long as they become personally meaningful.</t> [EOS]","Once unique experiences become personally meaningful, they can be retained easily.",The psychological self is a good anchor for unique experiences.  the following:
<t> There was one particular woman I don't recall her name.</t> [EOS],I don't remember that woman's name. ,I don't remember her name.  (Hfielder's Name)
"<t> Um, Peyton Place was, had, um, kind of a fascination because I was at summer camp in NH, near Gilmanton Iron Works, where that woman, the author, lived.</t> [EOS]",Peyton place had a fascination because I was at summer camp.,"I was at a camp in NH.  the following: ""Pey"
"<t> On behalf of all the men, women and children in Central Indiana who will benefit from your kindness, thank you.</t> [EOS]",We thank you on behalf of everybody who will be helped.,The people of Central Indiana will benefit from your kindness.  the following:
"<t> At 9:39, the FAA's Cleveland Air Route Traffic Control Center overheard a second announcement indicating that there was a bomb on board, that the plane was returning to the airport, and that they should remain seated.</t> [EOS]",The FAA's Cleveland Air Route Traffic Control Center heard an announcement about a bomb being on the plane.,The FAA's Cleveland Air Route Traffic Control Center overheard a second announcement. 
"<t> A moment later, the clear, high-pitched sound of the whistle could be heard over the Rabbi's final shofar blast.</t> [EOS]",The sound of the whistle could be heard over the blast.,"The Rabbi's final blast could be heard over the clear, high-pitched sound of"
"<t> Helen W. Power, in  Women on Language; Women in Language [XV</t> [EOS]",Helen W. Power in Women on Language. ,Helen W. Power wrote a book about women in language  the following
"<t> Though Bin Ladin's destination was Afghanistan, Pakistan was the nation that held the key to his ability to use Afghanistan as a base from which to revive his ambitious enterprise for war against the United States.</t> [EOS]",Bin Ladin used Afghanistan as his base to wage war against the U.S.,Bin Ladil's destination was Afghanistan but Pakistan held the key to his ability.
"<t> A spiritual guide for both, but especially the Islamic Group, was the so-called Blind Sheikh, Omar Abdel Rahman.</t> [EOS]",The Islamic Group got a spiritual guide.,Omar Abdel Rahman was the spiritual guide for both.  ( z6
"<t> At 9:24, Ballinger's warning to United 93 was received in the cockpit.</t> [EOS]",Ballinger's warning to United 93 at 9:24,Ballinger warned United 93 at 9:24.  (a)
"<t> And in enabling children to practice and perfect narrative skills, adult-child conversation provides crucial preparation for literacy.</t> [EOS]",Adult-child conversation provides preparation for literacy.,Children can practice narrative skills in adult-child conversation.  the context of
<t> Now I am writing to ask if you would continue your support with a further donation for 1990.</t> [EOS],"You donated in the past, and so we would like you to donate even more in the future. ",I am writing to ask if you would continue your support with a further donation for 1990
"<t> Pursuant to the Nunn-Lugar-Domenici Domestic Preparedness Program, the Defense Department began in 1997 to train first responders in 120 of the nation's largest cities.</t> [EOS]",The Nunn-Lugar-Domenici Domestic Preparedness Program helps ensure first responders are trained to respond to disasters in urban areas.,The Defense Department began training first responders in 120 cities.  the following
"<t> By the autumn of 1993, U.S. commanders concluded that the main source of trouble was a warlord, Mohammed Farrah Aidid.</t> [EOS]",US commanders decided Aidid was the biggest source of trouble.,"The U.S., in the autumn of 1993, concluded that Mohammed Farrah Aid"
"<t> Letters in support or condemnation of the QES program (though one may assume they will insist on programme ) should be addressed to Mrs Anne Shelley, Secretary, Queen's English Society, 3 Manor Crescent, Guildford GU2 6NF, England.</t> [EOS]",The letters about the QES program should be sent to Mrs. Anne Shelley.,Mrs Anne Shelley is the Secretary of Queen's English Society.  (a
"<t> As the children gained perceptual, cognitive, and motor experiences, stimulated intact areas of the cerebral cortex compensated for the early damage.</t> [EOS]",The cerebral cortex of children with brain damage was stimulated by gaining cognitive and motor experiences.,"The children gained perceptual, cognitive and motor experiences.  the fact that they"
<t> Here's how it  Simply detach the Care Card from the top of this letter and keep it handy.</t> [EOS],Simply remove the Care Card from the letter and keep it with you.,The Care Card is attached to the top of this letter.  ( z
<t> The new world of rapid replenishment implies additional capabilities for both the retailer and manufacturer.</t> [EOS],The introduction of rapid replenishment suggests more capacities for both the manufacturer and retailer.,The new world of rapid replenishment implies additional capabilities for both the retailer and manufacturer.
"<t> Nobody who knew him would have expected him to do anything else, whether he had been sent away in disgrace or not'but, as it was thought he had left the country, his return did have a dramatic quality.</t> [EOS]",Nobody he knew expected him to do anything else by he surprised them.,He was thought to have left the country.  (a dramatic quality)
"<t> Even though we receive operating funds from the state, there are a myriad of additional expenses to be met, such as welding equipment for sculpture, pottery wheels for ceramics, and computers for graphics.</t> [EOS]","The state won't fund welding equipment, pottery wheels or computers.",We receive operating funds from the state.  andi (sphere) of
<t> // The gas station part.</t> [EOS],The petrol station bit.,"The gas station part.  the following: ""oh, that's right."""
"<t> IUPUI's goals for the 1990s, in the context of Indiana University's statewide plans, call for improving undergraduate education, enhancing relationships with the community , and strengthening research that will stimulate Indiana's economic growth.</t> [EOS]",One of IUPUI's goals is to stimulate economic growth of Indiana.,IUPUI's goals for the 1990s are to improve undergraduate education. 
"<t> Girl Scouting's many friends who have been the recipients of good wishes, we have enhanced our facilities and programs to increase the joy that Girl Scouting brings to all girls.</t> [EOS]",Girl Scouting has a lot of donor.,Girl Scouting has many friends who have been the recipients of good wishes. 
<t> Won't you be a part of extending the promise with your gift today?</t> [EOS],Will you contribute to us today/,Will you be a part of the promise today?  ( z6am
"<t> Mr. Delaney is a victim of the confusion so often experienced by Latin students between the gerund, which is a neuter noun, active in meaning, and the gerundive, which is an adjective of similar form, but passive in meaning.</t> [EOS]",STudents studying language can get confused between active and passive words.,"Mr. Delaney is confused between the gerund and a neuter noun, but"
"<t> So, too, feminists lobby for gender-neutral terms when appropriate.</t> [EOS]",People lobby for certain things.,Feminists lobby for gender-neutral terms when appropriate.  the following
<t> And they are less likely to cry and more likely to use gestures and words to express their desires than are infants whose parents delayed or failed to respond to their calls for help.</t> [EOS],They are less likely to cry and more likely to use gestures.,They are less likely to cry and more vocal than infants whose parents delayed or failed.
"<t> The automated sewing systems that create the closely spaced regular stitch patterns used as decorative top stitching on men's dress shirts, collars, cuffs, and pockets are examples of expensive machines operated for a single shift.</t> [EOS]",Automated sewing systems are designed to be operated for a single shift and are expensive.,The machines are very expensive.  ( z6) ) explained by the
"<t> as invested with its dignity,  since the seventeenth century just as the Crown has been used for the monarch, or the Oval Office has come to stand for the President of the United States.</t> [EOS]",The oval office represents the President of the United States.,The Oval Office has come to stand for the President of America.  and (
"<t> Therefore, I stand uncorrected.</t> [EOS]","Thus, I have been shown my ideas are without correction and am in the right.",I am standing unperturbed.  ( z0even though I have
"<t> I collected, in northeastern Colorado, a very large (ca. 1 inch) species of robber fly (family Asilidae ).  </t> [EOS]",Robber flies can be up to an inch. ,I collected a large robber fly in northeastern Colorado.  (a)
"<t> How about um, your kids?</t> [EOS]","How about your children, hmm?","How about your kids?  the following: ""What do you think?"""
<t> What how often.</t> [EOS],How frequently did you do it.,"How often? . Three-to four times a year, or more.)"
<t> That fund would allow us to grant a $500 scholarship annually to meritorious applicants with financial need.</t> [EOS],Resources in that account will give us the opportunity to give grants every year to worthy applicants who need help with costs.,We could grant a $500 scholarship annually to those who were financially needy. 
<t> Shootdown authority was first communicated to NEADS at 10:31.</t> [EOS],"At 10:31, NEADS received a communication.",NEADS was first notified of the shootdown.  ( z6)
"<t> When Bond Stores had customers lining up around the block to buy suits,  casual wear,  as we know it today, did not exist.</t> [EOS]",Bond Stores had customers lining up around the block.,Casual wear did not exist when Bond Stores had customers lining up around the block to
"<t> We have relied on a mix of common sense, the sound of the name in Arabic, and common usage in source materials, the press, or government documents.</t> [EOS]",We have relied on a mix of multiple sources. ,"We have relied on common sense, the sound of Arabic and use in source materials."
<t> Go ahead Adam.</t> [EOS],Go for it Adam.,"Go ahead Adam.  the following: ""go on."" The above is"
"<t> We found no evidence that, at this critical time, NORAD's top commanders, in Florida or Cheyenne Mountain, coordinated with their counterparts at FAA headquarters to improve awareness and organize a common response.</t> [EOS]",We didn't find evidence that NORAD's commanders helped the situation.,There was no evidence that the top commanders of NORAD coordinated with their counterparts at FAA
"<t> Indeed, if you watch preschoolers at play, you will see that they rarely violate the rules of their social world.</t> [EOS]",Preschoolers usually follow social rules when they play.,Preschoolers do not violate the rules of their social world.  (
"<t> I had, had put in several weeks that were between 60 and 90 hours a week.</t> [EOS]","For several weeks, I worked between 60 and 90 hours a week. ",I had put in several weeks that were between 60 and 90 hours a week.
"<t> Many Americans have wondered, Why do 'they' hate us?</t> [EOS]",The Americans are trying to see why they are hated.,"Americans have wondered why they hate us. onia ""Why do you?"""
<t>  Is this real-world or exercise?</t> [EOS],"Is this exercise, or real-world?","Is this real or exercise? .com, The Register of Business News"
"<t> The total was approximately 2800, but that is probably only a vague  he undoubtedly missed some; some have sprung up since his time (modern Hebrew, for instance); and some have vanished.</t> [EOS]",He definitely misses some. ,"He probably missed some.  the simplest of all, but he was able to"
<t> joint facility in Riyadh for training the Saudi National Guard.</t> [EOS],The Saudi National Guard was trained in Riyadh.,The Saudi National Guard is trained in a joint facility.  the following:
<t> Community needs are increasing and your help is needed more than ever.</t> [EOS],Your help is needed more than ever because community needs are increasing.,Your help is needed more than ever.  the fact that community needs are
