,task,verb,premise,hypothesis,label
208,to,try,"He tried to help them, one man nodded. ","He helped them, one man nodded.",1
209,to,try,Unions tried to get people out to vote.,Unions got people out to vote.,1
210,to,try,She is purposefully trying to avoid us.,She is purposefully avoiding us.,1
211,to,begin,It began to devour her.,It devoured her.,0
212,to,begin,I began to feel very small.,I felt very small.,0
213,to,try,"Damn! said Tommy, and tried to sit up.","Damn! said tommy, and sat up.",1
214,to,continue,Real wages continue to grow slowly.,Real wages grow slowly.,1
215,to,refuse,I refuse to tell you a lie.,I tell you a lie.,2
216,to,refuse,He refused to do the same.,He did the same.,2
217,to,refuse,He refused to touch Susan.,He touched susan.,2
218,to,refuse,She refused to do it.,She did it.,2
219,to,refuse,I refuse to go.,I go ..,2
220,to,continue,The man continued to fight the animal.,The man fought the animal.,1
221,to,continue,Vrenna continued to chat with the man.,Vrenna chatted with the man.,1
222,to,continue,Jon continued to examine him instead.,Jon examined him instead.,1
223,to,continue,Brown continues to improve each day.,Brown improves each day.,1
224,to,continue,Russia continues to bomb Chechnya.,Russia bombs chechnya.,1
225,to,begin,The man began to hate the town.,The man hated the town.,0
226,to,continue,He continued to talk about fish. ,He talked about fish.,1
227,to,continue,They continued to sit in silence.,They sat in silence.,1
228,to,continue,Tommy continued to stare at him.,Tommy stared at him.,1
229,to,continue,It continues to do that.,It does that.,1
230,to,begin,Jon's defense began to weaken and slow.,Jon's defense weakened and slow.,0
231,to,begin,I began to shake my head and gibber.,I shook my head and gibber.,0
232,to,begin,"It began to consume her, head-first.","It consumed her, head-first.",0
233,to,begin,She began to walk the other way. ,She walked the other way.,0
234,to,begin,Drew began to think about that.,Drew thought about that.,0
235,to,try,A lady bandit tried to overtake a town.,A lady bandit overtook a town.,1
236,to,try,They try to see her views differently.,They see her views differently.,1
237,to,refuse,I refuse to give you a toast.,I give you a toast.,2
238,to,have,He had to try something.,He tried something.,0
239,to,need,I need to win this time ,I win this.,1
240,to,need,Susan needed to be safe.,Susan was safe.,1
241,to,need,You need to do it right,You do it.,1
242,to,need,We need to talk to FAA.,We talk to faa.,1
243,to,need,I needed to lie down.,I lied down.,1
244,to,need,I needed to help her.,I helped her.,1
245,to,have,He had to begin somewhere.,He began somewhere.,0
246,to,have,I had to figure it out.  ,I figured it out.,0
247,to,have,You had to make a choice.,You made a choice.,0
248,to,have,The city has to grow up.,The city grows up.,0
249,to,try,I tried to tolerate it.,I tolerated it.,1
250,to,have,We have to accept it.,We accept it.,0
251,to,have,I had to get space.,I got space.,0
252,to,want,We want to see it again.,We see it again.,1
253,to,want,I want to stay married.,I stay married.,1
254,to,want,We want to make a deal.,We make a deal.,1
255,to,want,I want to talk to him.,I talk to him ..,1
256,to,want,He wanted to kill me.,He killed me.,1
257,to,want,I wanted to know why.,I knew why.,1
258,to,want,I wanted to help her.,I helped her.,1
259,to,try,He tried to grab me.,He grabbed me.,1
260,to,try,He tried to stop the car.,He stopped the car.,1
261,to,try,Hanson tried to make him feel better.,Hanson made him feel better.,1
262,to,try,I'm still trying to be confident.,I'm still being confident.,1
263,to,try,Wolf tried to help the president out.,Wolf helped the president out.,1
264,to,try,Yates has tried to save it for years.,Yates has saved it for years.,1
265,to,try,Philosophers try to answer questions.,Philosophers answer questions.,1
266,to,try,Amazon tried to make it easy to use.,Amazon made it easy to use.,1
267,to,try,Adrin tried to put Jon off balance.,Adrin put jon off balance.,1
268,to,try,The writer tried to be a masseuse.,The writer was a masseuse.,1
269,to,try,I tried to keep my speeches short.,I kept my speeches short.,1
270,to,try,"He sat up, trying to free himself.","He sat up, freeing himself.",1
271,to,try,He tried to make his words casual.,He made his words casual.,1
272,to,try,That's why we tried to kill you.,That's why we killed you.,1
273,to,try,It tried to look upscale.,It looked upscale.,1
274,to,try,He tried to get her to relax. ,He got her to relax.,1
275,to,try,I tried to get into character.,I got into character.,1
276,to,try,Geffen tried to market Larson.,Geffen marketed larson.,1
277,to,try,You try to get close to 21.,You get close to 21.,1
278,to,try,He tries to humiliate her. ,He humiliates her.,1
279,to,try,I tried to move back a bit.,I moved back a bit.,1
280,to,try,Are you trying to be slow?,Are you being slow.,1
281,to,try,Five men tried to kill us.,Five men killed us.,1
282,to,try,Adrin tried to stab Jon. ,Adrin stabbed jon.,1
283,to,refuse,They refused to patch him up.,They patched him up.,2
284,to,refuse,I refuse to live in this place.,I live in this place.,2
285,to,manage,I just about managed to shake my head.,I just about shook my head.,0
286,to,like,Vets like to point out screw ups.,Vets point out screw ups.,1
287,to,appear,He appeared to be a heroic character.,He was a heroic character.,1
288,to,appear,Rodriguez appeared to be in his 50s.,Rodriguez was in his 50s.,1
289,to,appear,They appeared to be in an argument.,They was in an argument.,1
290,to,appear,She appeared to struggle to talk. ,She struggled to talk.,1
291,to,appear,The man appeared to be losing.,The man was losing.,1
292,to,appear,It appears to be uninterested.,It is uninterested.,1
293,to,appear,It appears to be a leg-wound.,It is a leg-wound.,1
294,to,appear,It appears to be a trap. ,It is a trap.,1
295,to,like,I like to stay away from smoking.,I stay away from smoking.,1
296,to,like,People like to rely on experts. ,People rely on experts.,1
297,to,plan,We plan to use our studies.,We use our studies.,1
298,to,like,You like to eat there as well. ,You eat there as well.,1
299,to,like,Everyone likes to look good.,Everyone looks good.,1
300,to,like,Jon likes to be with then.,Jon is with then.,1
301,to,like,I like to be transparent.,I am transparent.,1
302,to,like,I like to invent things.,I invent things.,1
303,to,like,I like to read Krugman.,I read krugman.,1
304,to,like,'I like to think I am.,' i think i am.,1
305,to,tend,"When you like somebody, you tend to trust him.","When you like somebody, you trust him.",0
306,to,tend,The Japanese tend to start lessons unprepared.,The japanese start lessons unprepared.,0
307,to,plan,You plan to stay with him?,You stay with him.,1
308,to,plan,The man planned to go home. ,The man went home.,1
309,to,tend,Natural dyes tend to give more muted colors.,Natural dyes give more muted colors.,0
310,to,come,Johnny Shannon came to tell everyone about it.,Johnny shannon told everyone about it.,0
311,to,manage,The man managed to stay on his horse.,The man stayed on his horse.,0
312,to,choose,"The helicopter chose to dip low, for some reason.","The helicopter dipped low, for some reason.",1
313,to,choose,Hilary Clinton chooses to stay at Trump Tower. ,Hilary clinton stays at trump tower.,1
314,to,choose,All France's kings chose to live in chateaus.,All france's kings lived in chateaus.,1
315,to,choose,They choose to do so for their own reasons.,They do so for their own reasons.,1
316,to,choose,Too bad it chose to use McIntyre instead.,Too bad it used mcintyre instead.,1
317,to,choose,She has chose to live a hollow life.,She has lived a hollow life.,1
318,to,choose,He chose to be buried there.,He was buried there.,1
319,to,choose,He chose to do so. ,He did so.,1
320,to,come,She had come to know Betty Currie very well.,She had known betty currie very well.,0
321,to,plan,He planned to dispose of them himself.,He disposed of them himself.,1
322,to,come,Crowds come to see the plum trees in bloom.,Crowds see the plum trees in bloom.,0
323,to,come,Your brother came to help us there.,Your brother helped us there.,0
324,to,come,Once they came to look at me.,Once they looked at me.,0
325,to,plan,Owners plan to keep the facility under budget.,Owners keep the facility under budget.,1
326,to,plan,Advocates plan to appeal the judge's ruling.,Advocates appeal the judge's ruling.,1
327,to,plan,He planned to visit Jane right after dinner.,He visited jane right after dinner.,1
328,to,plan,Forbes plans to do nothing to assist farms ,Forbes does nothing to assist.,1
329,to,plan,Tommy planned to hide behind Whittington.,Tommy hid behind whittington.,1
330,to,plan,Here is a man who plans to kill his wife.,Here is a man who kills his wife.,1
331,to,tend,Many tourists tend to visit Dataran Merdeka.,Many tourists visit dataran merdeka.,0
332,to,tend,Each area tends to consist of a big city. ,Each area consists of a big city.,0
333,to,refuse,Europe refused to get involved.,Europe got involved.,2
334,to,refuse,I refuse to speak to the townspeople.,I speak to the townspeople.,2
335,to,refuse,The smithy refused to speak to the man.,The smithy spoke to the man.,2
336,to,refuse,The sheik refused to help the invaders.,The sheik helped the invaders.,2
337,to,refuse,Alan Alda refused to act in the comedy.,Alan alda acted in the comedy.,2
338,to,refuse,They refuse to tell us anything at all/,They tell us anything at all.,2
339,to,refuse,The commission refused to interpret it.,The commission interpreted it.,2
340,to,refuse,I refuse to be your Kassandra Lubbock.,I am your kassandra lubbock.,2
341,to,refuse,They refused to talk about the market.,They talked about the market.,2
342,to,refuse,He refused to provide any information.,He provided any information.,2
343,to,refuse,My brain refusing to command properly.,My brain commanding properly.,2
344,to,refuse,She refuses to let him humiliate her.,She lets him humiliate her.,2
345,to,refuse,The lawyers refused to take any classes.,The lawyers took any classes.,2
346,to,refuse,Drew refused to answer the question.,Drew answered the question.,2
347,to,refuse,The lady refused to let him ask her.,The lady let him ask her.,2
348,to,refuse,FEMA refuses to help flood victims.,Fema helps flood victims.,2
349,to,refuse,Sather karf refused to reward him. ,Sather karf rewarded him.,2
350,to,refuse,He refused to give Pondicherry up.,He gave pondicherry up.,2
351,to,refuse,He refused to admit to something.,He admitted to something.,2
352,to,refuse,Bush refused to adopt the saying.,Bush adopted the saying.,2
353,to,refuse,Lincoln refused to let him do it.,Lincoln let him do it.,2
354,to,refuse,Ca'daan refused to speak to her.,Ca ` daan spoke to her.,2
355,to,refuse,The CNN man refused to speak to anyone.,The cnn man spoke to anyone.,2
356,to,refuse,Courts refuse to deal with infringement.,Courts deal with infringement.,2
357,to,tend,Jamaicans tend to get in people's face.,Jamaicans get in people's face.,0
358,to,fail,He failed to get most of his policies adopted.,He got most of his policies adopted.,2
359,to,decide,Her husband decides to burn her will.,Her husband burns her will.,1
360,to,decide,The company decided to keep the CEO.,The company kept the ceo.,1
361,to,decide,She decided to risk the ninepence.,She risked the ninepence.,1
362,to,decide,I decided to take that as a yes.,I took that as a yes.,1
363,to,decide,He decided to accept the offer.,He accepted the offer.,1
364,to,decide,They decided to stay together. ,They stayed together.,1
365,to,decide,I have decided to be romantic.,I have been romantic.,1
366,to,decide,Who decided to pick me?,Who picked me.,1
367,to,decide,I decided to try it.,I tried it.,1
368,to,fail,The appendix fails to describe the model.,The appendix describes the model.,2
369,to,refuse,Everyone refused to protect the village.,Everyone protected the village.,2
370,to,fail,The program failed to develop new units.,The program developed new units.,2
371,to,fail,David Plotz failed to change my mind.,David plotz changed my mind.,2
372,to,fail,The son failed to match his father.,The son matched his father.,2
373,to,fail,Nuance fails to frame anything.,Nuance frames anything.,2
374,to,fail,I rarely fail to turn it out.,I rarely turn it out.,2
