,task,verb,premise,hypothesis,label
51,to,manage,Ovitz was a small time agent who barely did not manage to stay in business.,Ovitz was a small time agent who barely stayed in business.,2
52,to,manage,Florida knew exactly how the contractor did not manage to keep a low price.,Florida knew exactly how the contractor kept a low price.,2
53,to,manage,Muslims army did not manage to draw out the Soviet army from Afghanistan.,Muslims army drew out the soviet army from afghanistan.,2
54,to,manage,Travel brochures have not managed to make Mt. Fuji mundane and tacky.,Travel brochures have made mt. fuji mundane and tacky.,2
55,to,manage,I did not manage to sneak one of the books I was studying back with me.,I snuck one of the books i was studying back with me.,2
56,to,manage,"Later, Japan did not manage to overcome stagnation in just a few years.","Later, japan overcame stagnation in just a few years.",2
57,to,manage,"He has not managed to do so, at times through sheer force of will.","He has done so, at times through sheer force of will.",2
58,to,manage, He did not manage to dig a small hollow in the sand before dropping off to sleep.,He dug a small hollow in the sand before dropping off to sleep.,2
59,to,manage,It's hard to see how he did not manage to prove his story is true.,It's hard to see how he proved his story is true.,2
60,to,manage,Pilsudski and his troops did not manage to hold back the Soviets.,Pilsudski and his troops held back the soviets.,2
61,to,manage,I did not manage to pick-pocket someone next to the snack-stand.,I pick-pocketted someone next to the snack-stand.,2
62,to,manage,They did not manage to reach a shrubbery close by without issue.,They reached a shrubbery close by without issue.,2
63,to,manage,Titus did not manage to convert the entire area in record time.,Titus converted the entire area in record time.,2
64,to,manage, She did not manage to avoid his lips and slid away from him.,She avoided his lips and slid away from him.,2
65,to,manage,"Still, Miyajima does not manage to be both solemn and lively.","Still, miyajima is both solemn and lively.",2
66,to,manage,"His face was sick, but he did not manage to grin at Hanson.","His face was sick, but he grinned at hanson.",2
67,to,manage,The Moors did not manage to penetrate far north of Aveiro. ,The moors penetrated far north of aveiro.,2
68,to,manage,Napoleon did not manage to defeat the Prussians thanks to his genius war ability.,Napoleon defeated the prussians thanks to his genius war ability.,2
69,to,manage,"We've not managed to get some testosterone from a blond homunculus, he reported.","We've gotten some testosterone from a blond homunculus, he reported.",2
70,to,attempt,"Robespierre did not attempt to quell the extremists, but was killed anyway.","Robespierre quelled the extremists, but was killed anyway.",2
71,to,attempt,He did not attempt to make his words casual.,He made his words casual.,2
72,to,attempt,Other countries did not attempt to get a mandate to administer Palestine.,Other countries got a mandate to administer palestine.,2
73,to,attempt,We did not attempt to perform activities from the Better Sex video.,We performed activities from the better sex video.,2
74,to,attempt,Each manager has not attempted to make employees feel isolated.,Each manager has made employees feel isolated.,2
75,to,attempt,"His love unrequited, he did not attempt to think of other things.","His love unrequited, he thought of other things.",2
76,to,attempt,Their LiveTopics technology does not attempt to help you do this.,Their livetopics technology helps you do this.,2
77,to,attempt,The lawyer did not attempt to prove the impossible possible.,The lawyer proved the impossible possible.,2
78,to,attempt,That is the reason why we did not attempt to kill you.,That is the reason why we killed you.,2
79,to,attempt,A man did not attempt to kill Hitler with a bomb.,A man killed hitler with a bomb.,2
80,to,attempt,He did not attempt to overcome the sensation.,He overcame the sensation.,2
81,to,attempt,I did not attempt to back off.  ,I backed off.,2
82,to,manage,The opponent did not manage to get back on his feet after rolling outside the blow.,The opponent got back on his feet after rolling outside the blow.,2
83,to,seek,They do not seek to overcome the other using pure physical strength.,They overcome the other using pure physical strength.,1
84,to,seek,It does not seek to undermine the possibility of corrective action.,It undermines the possibility of corrective action.,1
85,to,seek,The party did not seek to establish ties with the United States.,The party established ties with the united states.,1
86,to,seek,WRAP does not seek to reduce SO2 by 20% in the next twenty years.,Wrap reduces so2 by 20 % in the next twenty years.,1
87,to,seek,State officials do not seek to improve the economy of the state.,State officials improve the economy of the state.,1
88,to,seek,The new voices did not seek to replace the established order.,The new voices replaced the established order.,1
89,to,seek,The commission does not seek to fill gaps with minorities.,The commission fills gaps with minorities.,1
90,to,seek,Beijing did not seek to create a good relationship.,Beijing created a good relationship.,1
91,to,manage,Of course the governors and the president did not manage to turn deficits into surpluses.,Of course the governors and the president turned deficits into surpluses.,2
92,to,agree,Ca'daan did not agree to take it.,Ca ` daan took it.,1
93,to,agree,She said she did not agree to stop there.,She said she stopped there.,1
94,to,agree,They've only not agreed to keep talking.,They've only kept talking.,1
95,to,expect,They did not expect to wait a while to learn more of the crooks.,They waited a while to learn more of the crooks.,1
96,to,happen,She 'happened to be near the door'. ,She ` was near the door'.,1
97,to,claim,Weld also has not claimed to be a victim of Helms' ideological extortion.,Weld also has been a victim of helms' ideological extortion.,1
98,to,claim,The Museum des Beaux-Arts does not claim to be the oldest museum in France.,The museum des beaux-arts is the oldest museum in france.,1
99,to,claim,They said the hijackers wielded knives and did not claim to have a bomb.,They said the hijackers wielded knives and had a bomb.,1
100,to,claim,They do not claim to look instead at future cash flows to stockholders.,They look instead at future cash flows to stockholders.,1
101,to,claim,Both the Post and ABC do not claim to have copies of the original TP.,Both the post and abc have copies of the original tp.,1
102,to,claim,Clinton does not claim to have known nothing about the Chinese plans.,Clinton has known nothing about the chinese plans.,1
103,to,claim,She did not claim to have found her calling.,She had found her calling.,1
104,to,expect,Legal service agencies do not expect to have increased funds next year.,Legal service agencies have increased funds next year.,1
105,to,expect,Republicans do not expect to draw in black voter with the issue.,Republicans draw in black voter with the issue.,1
106,to,happen,I did not happen to notice that it was bolted.,I noticed that it was bolted.,1
107,to,expect,They do not expect to have more software development effort.,They have more software development effort.,1
108,to,expect,I do not expect to be a huge success in the business world.,I am a huge success in the business world.,1
109,to,expect,Holland did not expect to get a lot of money.,Holland got a lot of money.,1
110,to,expect,It's not expected to continue going on.,It's continued going on.,1
111,to,wish,They do not wish to keep watch and Severn agreed to arm the miners.,They keep watch and severn agreed to arm the miners.,1
112,to,wish,Police officers do not wish to present legally obtained evidence.,Police officers present legally obtained evidence.,1
113,to,wish,Shane Massello did not wish to represent himself legally.,Shane massello represented himself legally.,1
114,to,wish,Any dollar amount you do not wish to contribute is fine.,Any dollar amount you contribute is fine.,1
115,to,wish,This is the only issue I do not wish to keep private.,This is the only issue i keep private.,1
116,to,happen,"At that moment, I did not happen to look up.","At that moment, i looked up.",1
117,to,happen,Because I did not happen to meet him this morning.,Because i met him this morning.,1
118,to,wish,I do not wish to return to Marguerite.,I return to marguerite.,1
119,to,wait,There is always a large crowd of people not waiting to see the Angel's Pillar. ,There is always a large crowd of people seeing the angel's pillar.,1
120,to,love,The woman did not love to spend time in a cabin in the woods.,The woman spent time in a cabin in the woods.,1
121,to,love,Drew did not love to drink sherry more than any other drink.,Drew drank sherry more than any other drank.,1
122,to,love,Children do not love to dance to Michael Jackson Records. ,Children dance to michael jackson records.,1
123,to,love,The man does not love to read the fruits of their minds. ,The man reads the fruits of their minds.,1
124,to,love,She really did not love to eat at her Greek restaurant.,She really ate at her greek restaurant.,1
125,to,love,Everyone does not love to be interrupted as they dine. ,Everyone is interrupted as they dine.,1
126,to,love,The captain did not love to end wars.  ,The captain ended wars.,1
127,to,love,Julius does not love to ask questions. ,Julius asks questions.,1
128,to,love,I do not love to read pure history.,I read pure history.,1
129,to,wait,Some surmise that he's cleverly not waiting to unveil his platform.,Some surmise that he's cleverly unveiling his platform.,1
130,to,happen,He did not happen to have an old envelope and a pen in one of his pockets. ,He had an old envelope and a pen in one of his pockets.,1
131,to,wait,That the captain was only not waiting to make trouble for Rennie.,That the captain was only making trouble for rennie.,1
132,to,wait,There is no one not waiting to discuss things.,There is no one discussing things.,1
133,to,wait,He is still not waiting to do it.,He is still doing it.,1
134,to,work,GAO has a series of publications that do not work to define actions that can be taken to improve.,Gao has a series of publications that define actions that can be taken to improve.,1
135,to,work,Competing community groups did not work to reach a consensus about the health study. ,Competing community groups reached a consensus about the health study.,1
136,to,work,30 people do not work to help account for inventory and related property.,30 people help account for inventory and related property.,1
137,to,work,The GAO does not work to improve government amongst other things.,The gao improves government amongst other things.,1
138,to,work,CDC does not work to investigate cancer rates across the country.,Cdc investigates cancer rates across the country.,1
139,to,work,We love not working to improve legal services.,We love improving legal services.,1
140,to,wish,You do not wish to believe he committed the crime. ,You believe he committed the crime.,1
141,to,wish,He did not wish to be arrested. ,He was arrested.,1
142,to,agree,LSNY did not agree to keep the current members.,Lsny kept the current members.,1
143,to,say,"The croseis did not say to weigh 181,740 tons.","The croseis weighed 181,740 tons.",1
144,to,mean,He definitely did not mean to give the name to Nevis.,He definitely gave the name to nevis.,0
145,to,mean,Drew did not mean to take a long wash in the stream.,Drew took a long wash in the stream.,0
146,to,mean,It's not meant to be worn on your pinkie toe. ,It's been worn on your pinkie toe.,0
147,to,mean," First, of course, he did not mean to stay here.","First, of course, he stayed here.",0
148,to,mean,Dave did not mean to follow with a heavy hammer.,Dave followed with a heavy hammer.,0
149,to,mean,We had not meant to do this for a while.,We had done this for a while.,0
150,to,mean,I did not mean to say Wong.,I said wong.,0
151,to,say,Mistuh Nye does not say to tell you he'll be back.,Mistuh nye tells you he'll be back.,1
152,to,say,He did not say to look on the piece of paper. ,He looked on the piece of paper.,1
153,to,say,My Dad did not say to get rid of them.,My dad got rid of them.,1
154,to,prefer,They do not prefer to have their own area of operation.,They have their own area of operation.,1
155,to,say,She did not say to come to the caves.,She came to the caves.,1
156,to,say,Jon did not say to stock the caves.,Jon stocked the caves.,1
157,to,say,Tommy did not say to hold on hard.,Tommy held on hard.,1
158,to,say,Jon did not say to hurry up.,Jon hurried up.,1
159,to,agree,Both firms lawyers unanimously did not agree to dismiss the case.,Both firms lawyers unanimously dismissed the case.,1
160,to,agree,The landlord did not agree to wait for a portion of the rent.,The landlord waited for a portion of the rent.,1
161,to,agree,They had not agreed to take a day of rest in the barrens.,They had taken a day of rest in the barrens.,1
162,to,agree,All they have not agreed to do is continue talking.,All they have done is continue talking.,1
163,to,agree,IRS also did not agree to begin tracking information ,Irs also began tracking.,1
164,to,mean,She had not meant to warn Mr. Brown about Tuppence.,She had warned mr. brown about tuppence.,0
165,to,prefer, But most visitors do not prefer to linger in Formentera.,But most visitors linger in formentera.,1
166,to,hope,Britain did not hope to create a Federation of Caribbean Islands in the region.,Britain created a federation of caribbean islands in the region.,1
167,to,prove,The general election of May 1997 did not prove to be a turning point.,The general election of may 1997 was a turning point.,1
168,to,hope,"Ca'daan looked out over the desert, not hoping to see the young man return.","Ca ` daan looked out over the desert, seeing the young man return.",1
169,to,hope,"The Spanish peoples were very poor, and did not hope to find wealth in Europe.","The spanish peoples were very poor, and found wealth in europe.",1
170,to,hope,Los Angeles does not hope to fight pollution by building a light rail network.,Los angeles fights pollution by building a light rail network.,1
171,to,hope,Congress does not hope to spend less on pilot projects for the same results.,Congress spends less on pilot projects for the same results.,1
172,to,hope,HCFA did not hope to keep the Medicare reporting requirement as it was.,Hcfa kept the medicare reporting requirement as it was.,1
173,to,hope,The kings visited not hoping to gain health and eternal life.,The kings visited gaining health and eternal life.,1
174,to,hope,He poached whales not hoping to get revenge for his lost leg.,He poached whales getting revenge for his lost leg.,1
175,to,prove,The 130 years of control by the Portuguese did not prove to be stable.,The 130 years of control by the portuguese was stable.,1
176,to,prove,Clive's method did not prove to be effective everywhere it was used.,Clive's method was effective everywhere it was used.,1
177,to,prefer,The United States does not prefer to use the 1974 benchmark.,The united states uses the 1974 benchmark.,1
178,to,prove,His adventures in Asia and Africa did not prove to be his undoing.,His adventures in asia and africa was his undoing.,1
179,to,prove,The analysis has not proven to be quite important.,The analysis has been quite important.,1
180,to,prove,The turks did not prove to be a hassle for India. ,The turks was a hassle for india.,1
181,to,prove,Grove did not prove to be a great leader of Intel.,Grove was a great leader of intel.,1
182,to,prove,The beacons did not prove to be highly successful.,The beacons was highly successful.,1
183,to,prove,He has not proven to be skilled in football.,He has been skilled in football.,1
184,to,prefer,He did not prefer to visit the battlefield with the corpses.,He visited the battlefield with the corpses.,1
185,to,prefer,He does not prefer to have his drinks at a warm temperature. ,He has his drinks at a warm temperature.,1
186,to,prefer,Guests do not prefer to shop at the duty-free malls nearby.,Guests shop at the duty-free malls nearby.,1
187,to,manage,No enemy ships did not manage to get past the Golden Horn.,No enemy ships got past the golden horn.,2
188,to,manage,Harris's business does not manage to impress his customers.,Harris's business impresses his customers.,2
189,to,manage,He barely did not manage to board the train in time.,He barely boarded the train in time.,2
190,to,seem,The universe did not seem to cry out.,The universe cried out.,1
191,to,begin,I did not begin to get mad.,I got mad.,2
192,to,use,I did not used to read all of the time.,I read all of the time.,2
193,to,use,I did not used to work an actual job. ,I worked an actual job.,2
194,to,use,She did not used to live in Jamaica.,She lived in jamaica.,2
195,to,use,They did not used to say that. ,They said that.,2
196,to,use,It did not used to be paper 7.,It was paper 7.,2
197,to,seem,Ca'daan does not seem to think it's safe.,Ca ` daan thinks it's safe.,1
198,to,seem,People did not seem to be watching me.,People was watching me.,1
199,to,seem,Susan did not seem to watch them all.,Susan watched them all.,1
200,to,seem,"'I do not seem to be real unlucky,'  ","' i am real unlucky,.",1
201,to,begin,I did not begin to feel quite big.,I felt quite big.,2
202,to,seem,My sisters did not seem to like it.,My sisters liked it.,1
203,to,seem,You do not seem to know your stuff.,You know your stuff.,1
204,to,seem,She did not seem to be friendly.,She was friendly.,1
205,to,try,Rosenthal did not try to speak to the manager.,Rosenthal spoke to the manager.,1
206,to,try,She got away when Dew did not try to ride her.,She got away when dew rode her.,1
207,to,try,Congress did not try to make things effecient.,Congress made things effecient.,1
208,to,try,"He did not try to help them, one man nodded. ","He helped them, one man nodded.",1
209,to,try,Unions did not try to get people out to vote.,Unions got people out to vote.,1
210,to,try,She is purposefully not trying to avoid us.,She is purposefully avoiding us.,1
211,to,begin,It did not begin to devour her.,It devoured her.,2
212,to,begin,I did not begin to feel very small.,I felt very small.,2
213,to,try,"Damn! said Tommy, and did not try to sit up.","Damn! said tommy, and sat up.",1
214,to,continue,Real wages do not continue to grow slowly.,Real wages grow slowly.,1
215,to,refuse,I do not refuse to tell you a lie.,I tell you a lie.,1
216,to,refuse,He did not refuse to do the same.,He did the same.,1
217,to,refuse,He did not refuse to touch Susan.,He touched susan.,1
218,to,refuse,She did not refuse to do it.,She did it.,1
219,to,refuse,I do not refuse to go.,I go ..,1
220,to,continue,The man did not continue to fight the animal.,The man fought the animal.,1
221,to,continue,Vrenna did not continue to chat with the man.,Vrenna chatted with the man.,1
222,to,continue,Jon did not continue to examine him instead.,Jon examined him instead.,1
223,to,continue,Brown does not continue to improve each day.,Brown improves each day.,1
224,to,continue,Russia does not continue to bomb Chechnya.,Russia bombs chechnya.,1
225,to,begin,The man did not begin to hate the town.,The man hated the town.,2
226,to,continue,He did not continue to talk about fish. ,He talked about fish.,1
227,to,continue,They did not continue to sit in silence.,They sat in silence.,1
228,to,continue,Tommy did not continue to stare at him.,Tommy stared at him.,1
229,to,continue,It does not continue to do that.,It does that.,1
230,to,begin,Jon's defense did not begin to weaken and slow.,Jon's defense weakened and slow.,2
231,to,begin,I did not begin to shake my head and gibber.,I shook my head and gibber.,2
232,to,begin,"It did not begin to consume her, head-first.","It consumed her, head-first.",2
233,to,begin,She did not begin to walk the other way. ,She walked the other way.,2
234,to,begin,Drew did not begin to think about that.,Drew thought about that.,2
235,to,try,A lady bandit did not try to overtake a town.,A lady bandit overtook a town.,1
236,to,try,They do not try to see her views differently.,They see her views differently.,1
237,to,refuse,I do not refuse to give you a toast.,I give you a toast.,1
238,to,have,He did not have to try something.,He tried something.,1
239,to,need,I do not need to win this time ,I win this.,1
240,to,need,Susan did not need to be safe.,Susan was safe.,1
241,to,need,You do not need to do it right,You do it.,1
242,to,need,We do not need to talk to FAA.,We talk to faa.,1
243,to,need,I did not need to lie down.,I lied down.,1
244,to,need,I did not need to help her.,I helped her.,1
245,to,have,He did not have to begin somewhere.,He began somewhere.,1
246,to,have,I did not have to figure it out.  ,I figured it out.,1
247,to,have,You did not have to make a choice.,You made a choice.,1
248,to,have,The city does not have to grow up.,The city grows up.,1
249,to,try,I did not try to tolerate it.,I tolerated it.,1
250,to,have,We do not have to accept it.,We accept it.,1
251,to,have,I did not have to get space.,I got space.,1
252,to,want,We do not want to see it again.,We see it again.,1
253,to,want,I do not want to stay married.,I stay married.,1
254,to,want,We do not want to make a deal.,We make a deal.,1
255,to,want,I do not want to talk to him.,I talk to him ..,1
256,to,want,He did not want to kill me.,He killed me.,1
257,to,want,I did not want to know why.,I knew why.,1
258,to,want,I did not want to help her.,I helped her.,1
259,to,try,He did not try to grab me.,He grabbed me.,1
260,to,try,He did not try to stop the car.,He stopped the car.,1
261,to,try,Hanson did not try to make him feel better.,Hanson made him feel better.,1
262,to,try,I'm still not trying to be confident.,I'm still being confident.,1
263,to,try,Wolf did not try to help the president out.,Wolf helped the president out.,1
264,to,try,Yates has not tried to save it for years.,Yates has saved it for years.,1
265,to,try,Philosophers do not try to answer questions.,Philosophers answer questions.,1
266,to,try,Amazon did not try to make it easy to use.,Amazon made it easy to use.,1
267,to,try,Adrin did not try to put Jon off balance.,Adrin put jon off balance.,1
268,to,try,The writer did not try to be a masseuse.,The writer was a masseuse.,1
269,to,try,I did not try to keep my speeches short.,I kept my speeches short.,1
270,to,try,"He sat up, not trying to free himself.","He sat up, freeing himself.",1
271,to,try,He did not try to make his words casual.,He made his words casual.,1
272,to,try,That's why we did not try to kill you.,That's why we killed you.,1
273,to,try,It did not try to look upscale.,It looked upscale.,1
274,to,try,He did not try to get her to relax. ,He got her to relax.,1
275,to,try,I did not try to get into character.,I got into character.,1
276,to,try,Geffen did not try to market Larson.,Geffen marketed larson.,1
277,to,try,You do not try to get close to 21.,You get close to 21.,1
278,to,try,He does not try to humiliate her. ,He humiliates her.,1
279,to,try,I did not try to move back a bit.,I moved back a bit.,1
280,to,try,Are you not trying to be slow?,Are you being slow.,1
281,to,try,Five men did not try to kill us.,Five men killed us.,1
282,to,try,Adrin did not try to stab Jon. ,Adrin stabbed jon.,1
283,to,refuse,They did not refuse to patch him up.,They patched him up.,1
284,to,refuse,I do not refuse to live in this place.,I live in this place.,1
285,to,manage,I just about did not manage to shake my head.,I just about shook my head.,2
286,to,like,Vets do not like to point out screw ups.,Vets point out screw ups.,1
287,to,appear,He did not appear to be a heroic character.,He was a heroic character.,1
288,to,appear,Rodriguez did not appear to be in his 50s.,Rodriguez was in his 50s.,1
289,to,appear,They did not appear to be in an argument.,They was in an argument.,1
290,to,appear,She did not appear to struggle to talk. ,She struggled to talk.,1
291,to,appear,The man did not appear to be losing.,The man was losing.,1
292,to,appear,It does not appear to be uninterested.,It is uninterested.,1
293,to,appear,It does not appear to be a leg-wound.,It is a leg-wound.,1
294,to,appear,It does not appear to be a trap. ,It is a trap.,1
295,to,like,I do not like to stay away from smoking.,I stay away from smoking.,1
296,to,like,People do not like to rely on experts. ,People rely on experts.,1
297,to,plan,We do not plan to use our studies.,We use our studies.,1
298,to,like,You do not like to eat there as well. ,You eat there as well.,1
299,to,like,Everyone does not like to look good.,Everyone looks good.,1
300,to,like,Jon does not like to be with then.,Jon is with then.,1
301,to,like,I do not like to be transparent.,I am transparent.,1
302,to,like,I do not like to invent things.,I invent things.,1
303,to,like,I do not like to read Krugman.,I read krugman.,1
304,to,like,'I do not like to think I am.,' i think i am.,1
305,to,tend,"When you like somebody, you do not tend to trust him.","When you like somebody, you trust him.",1
306,to,tend,The Japanese do not tend to start lessons unprepared.,The japanese start lessons unprepared.,1
307,to,plan,You do not plan to stay with him?,You stay with him.,1
308,to,plan,The man did not plan to go home. ,The man went home.,1
309,to,tend,Natural dyes do not tend to give more muted colors.,Natural dyes give more muted colors.,1
310,to,come,Johnny Shannon did not come to tell everyone about it.,Johnny shannon told everyone about it.,2
311,to,manage,The man did not manage to stay on his horse.,The man stayed on his horse.,2
312,to,choose,"The helicopter did not choose to dip low, for some reason.","The helicopter dipped low, for some reason.",1
313,to,choose,Hilary Clinton does not choose to stay at Trump Tower. ,Hilary clinton stays at trump tower.,1
314,to,choose,All France's kings did not choose to live in chateaus.,All france's kings lived in chateaus.,1
315,to,choose,They do not choose to do so for their own reasons.,They do so for their own reasons.,1
316,to,choose,Too bad it did not choose to use McIntyre instead.,Too bad it used mcintyre instead.,1
317,to,choose,She has did not choose to live a hollow life.,She has lived a hollow life.,1
318,to,choose,He did not choose to be buried there.,He was buried there.,1
319,to,choose,He did not choose to do so. ,He did so.,1
320,to,come,She had not come to know Betty Currie very well.,She had known betty currie very well.,2
321,to,plan,He did not plan to dispose of them himself.,He disposed of them himself.,1
322,to,come,Crowds do not come to see the plum trees in bloom.,Crowds see the plum trees in bloom.,2
323,to,come,Your brother did not come to help us there.,Your brother helped us there.,2
324,to,come,Once they did not come to look at me.,Once they looked at me.,2
325,to,plan,Owners do not plan to keep the facility under budget.,Owners keep the facility under budget.,1
326,to,plan,Advocates do not plan to appeal the judge's ruling.,Advocates appeal the judge's ruling.,1
327,to,plan,He did not plan to visit Jane right after dinner.,He visited jane right after dinner.,1
328,to,plan,Forbes does not plan to do nothing to assist farms ,Forbes does nothing to assist.,1
329,to,plan,Tommy did not plan to hide behind Whittington.,Tommy hid behind whittington.,1
330,to,plan,Here is a man who does not plan to kill his wife.,Here is a man who kills his wife.,1
331,to,tend,Many tourists do not tend to visit Dataran Merdeka.,Many tourists visit dataran merdeka.,1
332,to,tend,Each area does not tend to consist of a big city. ,Each area consists of a big city.,1
333,to,refuse,Europe did not refuse to get involved.,Europe got involved.,1
334,to,refuse,I do not refuse to speak to the townspeople.,I speak to the townspeople.,1
335,to,refuse,The smithy did not refuse to speak to the man.,The smithy spoke to the man.,1
336,to,refuse,The sheik did not refuse to help the invaders.,The sheik helped the invaders.,1
337,to,refuse,Alan Alda did not refuse to act in the comedy.,Alan alda acted in the comedy.,1
338,to,refuse,They do not refuse to tell us anything at all/,They tell us anything at all.,1
339,to,refuse,The commission did not refuse to interpret it.,The commission interpreted it.,1
340,to,refuse,I do not refuse to be your Kassandra Lubbock.,I am your kassandra lubbock.,1
341,to,refuse,They did not refuse to talk about the market.,They talked about the market.,1
342,to,refuse,He did not refuse to provide any information.,He provided any information.,1
343,to,refuse,My brain not refusing to command properly.,My brain commanding properly.,1
344,to,refuse,She does not refuse to let him humiliate her.,She lets him humiliate her.,1
345,to,refuse,The lawyers did not refuse to take any classes.,The lawyers took any classes.,1
346,to,refuse,Drew did not refuse to answer the question.,Drew answered the question.,1
347,to,refuse,The lady did not refuse to let him ask her.,The lady let him ask her.,1
348,to,refuse,FEMA does not refuse to help flood victims.,Fema helps flood victims.,1
349,to,refuse,Sather karf did not refuse to reward him. ,Sather karf rewarded him.,1
350,to,refuse,He did not refuse to give Pondicherry up.,He gave pondicherry up.,1
351,to,refuse,He did not refuse to admit to something.,He admitted to something.,1
352,to,refuse,Bush did not refuse to adopt the saying.,Bush adopted the saying.,1
353,to,refuse,Lincoln did not refuse to let him do it.,Lincoln let him do it.,1
354,to,refuse,Ca'daan did not refuse to speak to her.,Ca ` daan spoke to her.,1
