,premise,hypothesis,label
10,"<t>  For example, the Secretary of Labor has used his or her  bully pulpit to call attention to the problem </t> <g> ( <pointer:0> exemplify-01 :ARG0 ( <pointer:1> use-01 :ARG0 ( <pointer:2> person :ARG0-of ( <pointer:3> have-org-role-91 :ARG1 ( <pointer:4> government-organization :wiki <lit> United States Department of Labor </lit> :name ( <pointer:5> name :op1 <lit> Labor </lit> ) ) :ARG2 ( <pointer:6> secretary ) ) ) :ARG1 ( <pointer:7> pulpit :mod ( <pointer:8> bully-01 ) :poss <pointer:2> ) :ARG2 ( <pointer:9> call-03 :ARG0 <pointer:2> :ARG1 ( <pointer:10> attend-02 :ARG1 ( <pointer:11> problem ) ) ) ) )  ", ( <pointer:0> use-01 :ARG0 ( <pointer:1> person :ARG0-of ( <pointer:2> have-org-role-91 :ARG1 ( <pointer:3> government-organization :wiki <lit> United States Department of Labor </lit> :name ( <pointer:4> name :op1 <lit> Labor </lit> ) ) :ARG2 ( <pointer:5> secretary ) ) ) :ARG1 ( <pointer:6> pulpit :mod ( <pointer:7> bully-01 ) :poss <pointer:1> ) :ARG2 ( <pointer:8> call-03 :ARG0 <pointer:1> :ARG1 ( <pointer:9> attend-02 ) ) ) </g> </g> <t> The Secretary of Labor has used his or her bully pulpit to call attention.</t>,0
11,<t>  This information infrastructure proved most beneficial when it gave Penney's major vendors access to sales data via direct broadcast satellite. </t> <g> ( <pointer:0> prove-01 :ARG1 ( <pointer:1> benefit-01 :ARG0 ( <pointer:2> infrastructure :mod ( <pointer:3> information ) :mod ( <pointer:4> this ) ) :time ( <pointer:5> give-01 :ARG0 <pointer:2> :ARG1 ( <pointer:6> access-01 :ARG0 <pointer:9> :ARG1 ( <pointer:7> data :topic ( <pointer:8> sell-01 ) ) :instrument ( <pointer:9> satellite :ARG1-of ( <pointer:10> broadcast-01 :ARG1-of ( <pointer:11> direct-02 ) ) ) ) :ARG2 ( <pointer:12> company :ARG1-of ( <pointer:13> major-02 ) :ARG0-of ( <pointer:14> vend-01 :ARG2 ( <pointer:15> company :wiki <lit> Penney's </lit> :name ( <pointer:16> name :op1 <lit> Penney's </lit> ) ) ) ) ) :ARG2-of ( <pointer:17> have-degree-91 :ARG1 <pointer:2> :ARG3 ( <pointer:18> most ) ) ) )  , ( <pointer:0> give-01 :ARG1 ( <pointer:1> access-01 :ARG0 <pointer:8> :ARG1 ( <pointer:2> data :topic ( <pointer:3> sell-01 ) ) :instrument ( <pointer:4> satellite :ARG1-of ( <pointer:5> broadcast-01 :ARG1-of ( <pointer:6> direct-02 ) ) ) ) :ARG2 ( <pointer:7> company :ARG0-of ( <pointer:8> vend-01 :ARG2 ( <pointer:9> company :wiki <lit> JC Penney </lit> :name ( <pointer:10> name :op1 <lit> Penney </lit> ) ) ) :ARG1-of ( <pointer:11> major-02 ) ) ) </g> </g> <t> Penney's major vendors were given access to sales data via direct broadcast satellite.</t>,0
12,"<t>  More likely, they read wants as meaning `desires' rather than `lacks,' but that might well be a deliberate, facetious ambiguity. </t> <g> ( <pointer:0> contrast-01 :ARG1 ( <pointer:1> likely-01 :ARG1 ( <pointer:2> read-01 :ARG0 ( <pointer:3> they ) :ARG1 ( <pointer:4> want-01 ) :ARG3 ( <pointer:5> mean-01 :ARG1 <pointer:4> :ARG2 ( <pointer:6> desire-01 :ARG1-of ( <pointer:7> instead-of-91 :ARG2 ( <pointer:8> lack-01 ) ) ) ) ) :ARG2-of ( <pointer:9> have-degree-91 :ARG1 <pointer:2> :ARG3 ( <pointer:10> more ) ) ) :ARG2 ( <pointer:11> possible-01 :ARG1 ( <pointer:12> ambiguity :domain <pointer:2> :mod ( <pointer:13> facetious ) :ARG1-of ( <pointer:14> deliberate-01 ) :mod ( <pointer:15> well ) ) ) )  ", ( <pointer:0> possible-01 :ARG1 ( <pointer:1> read-01 :ARG0 ( <pointer:2> they ) :ARG1 ( <pointer:3> want-01 ) :ARG3 ( <pointer:4> mean-01 :ARG1 <pointer:3> :ARG2 ( <pointer:5> desire-01 ) :ARG1-of ( <pointer:6> instead-of-91 :ARG2 ( <pointer:7> lack-01 :mod ( <pointer:8> just ) ) ) ) ) ) </g> </g> <t> They might be reading wants as meaning 'desires' rather than just lacks.</t>,0
13,"<t>  On 9/11, the terrorists turned off the transponders on three of the four hijacked aircraft. </t> <g> ( <pointer:0> turn-off-07 :ARG0 ( <pointer:1> terrorist ) :ARG1 ( <pointer:2> transponder :part-of ( <pointer:3> aircraft :quant 3 :ARG1-of ( <pointer:4> include-91 :ARG2 ( <pointer:5> aircraft :quant 4 :ARG1-of ( <pointer:6> hijack-01 ) ) ) ) ) :time ( <pointer:7> incident :wiki <lit> September 11 attacks </lit> :name ( <pointer:8> name :op1 <lit> 9/11 </lit> ) ) )  ", ( <pointer:0> turn-off-07 :ARG0 ( <pointer:1> terrorist ) :ARG1 ( <pointer:2> transponder :part-of ( <pointer:3> aircraft :quant 3 :ARG1-of ( <pointer:4> include-91 :ARG2 ( <pointer:5> aircraft :quant 4 :ARG1-of ( <pointer:6> hijack-01 ) ) ) ) ) ) </g> </g> <t> The terrorists turned off the transponders on three of four hijacked aircraft.</t>,0
14,<t>  The looking-glass image of utopia--dystopia--has provided more numerous additions to the English lexicon. </t> <g> ( <pointer:0> provide-01 :ARG0 ( <pointer:1> image :mod ( <pointer:2> utopia ) :mod ( <pointer:3> glasses :ARG0-of ( <pointer:4> look-01 ) ) :mod ( <pointer:5>dystopia ) ) :ARG1 ( <pointer:6> thing :ARG1-of ( <pointer:7> add-02 :ARG2 ( <pointer:8> lexicon :mod ( <pointer:9> country :wiki <lit> England </lit> :name ( <pointer:10> name :op1 <lit> England </lit> ) ) ) ) :ARG1-of ( <pointer:11> have-degree-91 :ARG2 ( <pointer:12> numerous ) :ARG3 ( <pointer:13> more ) ) ) )  , ( <pointer:0> expand-01 :ARG0 ( <pointer:1> image :mod ( <pointer:2> glass :ARG0-of ( <pointer:3> look-01 ) ) :topic ( <pointer:4> utopia ) ) :ARG1 ( <pointer:5> lexicon :mod ( <pointer:6> country :wiki <lit> England </lit> :name ( <pointer:7> name :op1 <lit> England </lit> ) ) ) ) </g> </g> <t> The English lexicon has been expanded by the looking-glass image of utopia.</t>,0
15,<t>  Bin Ladin was prepared to pick up where he had left off in Sudan. </t> <g> ( <pointer:0> prepare-02 :ARG1 ( <pointer:1> person :wiki <lit> Osama bin Laden </lit> :name ( <pointer:2> name :op1 <lit> Bin </lit> :op2 <lit> Ladin </lit> ) ) :ARG2 ( <pointer:3> pick-up-04 :ARG0 <pointer:1> :ARG1 ( <pointer:4> thing :ARG2-of ( <pointer:5> leave-12 :ARG0 <pointer:1> :location ( <pointer:6> country :wiki <lit> Sudan </lit> :name ( <pointer:7> name :op1 <lit> Sudan </lit> ) ) ) ) ) )  , ( <pointer:0> prepare-02 :ARG1 ( <pointer:1> person :wiki <lit> Osama bin Laden </lit> :name ( <pointer:2> name :op1 <lit> Bin </lit> :op2 <lit> Ladins </lit> ) ) :ARG2 ( <pointer:3> take-up-31 :ARG0 <pointer:1> :ARG1 ( <pointer:4> thing :ARG2-of ( <pointer:5> leave-12 :ARG0 <pointer:1> :location ( <pointer:6> country :wiki <lit> Sudan </lit> :name ( <pointer:7> name :op1 <lit> Sudan </lit> ) ) ) ) ) ) </g> </g> <t> Bin Ladins was prepared to take up where he left off in Sudan.</t>,0
16,"<t>  In British English it is no longer considered a solecism to use the plurals they, their, them, theirs as a generalized pronoun for words like eyeryone, everybody, anyone, anybody , etc. </t> <g> ( <pointer:0> consider-01 :ARG1 ( <pointer:1> multiculturalism :domain ( <pointer:2> use-01 :ARG1 ( <pointer:3> singularity :domain ( <pointer:4> or :op1 ( <pointer:5> they ) :op2 ( <pointer:6> their ) :op3 ( <pointer:7> they ) :op4 ( <pointer:8> et-cetera ) ) ) :ARG2 ( <pointer:9> pronoun :ARG1-of ( <pointer:10> generalize-01 ) :example ( <pointer:11> word :example ( <pointer:12> or :op1 ( <pointer:13> eye ) :op2 ( <pointer:14> everybody ) :op3 ( <pointer:15> anyone ) :op4 ( <pointer:16> anybody ) :op5 ( <pointer:17> et-cetera ) ) ) ) ) ) :time ( <pointer:18> no-longer ) :medium ( <pointer:19> language :wiki <lit> English language </lit> :name ( <pointer:20> name :op1 <lit> English </lit> ) :mod ( <pointer:21> country :wiki <lit> United Kingdom </lit> :name ( <pointer:22> name :op1 <lit> Britain </lit> ) ) ) )  ", ( <pointer:0> consider-01 :ARG1 ( <pointer:1> solecism :domain ( <pointer:2> use-01 :ARG1 ( <pointer:3> singular ) ) :domain ( <pointer:4> language :wiki <lit> English language </lit> :name ( <pointer:5> name :op1 <lit> English </lit> ) :mod ( <pointer:6> country :wiki <lit> United Kingdom </lit> :name ( <pointer:7> name :op1 <lit> Britain </lit> ) ) ) ) :time ( <pointer:8> no-longer ) ) </g> </g> <t> British English is no longer considered a solecism to use the plurals.</t>,1
17,<t>  Rusine should be added to the supplement of English words ending in - ine (p. </t> <g> ( <pointer:0> recommend-01 :ARG1 ( <pointer:1> add-02 :ARG1 ( <pointer:2> species :wiki <lit> Rusine </lit> :name ( <pointer:3> name :op1 <lit> Rusine </lit> ) ) :ARG2 ( <pointer:4> supplement-01 :ARG2 ( <pointer:5> word :mod ( <pointer:6> country :wiki <lit> England </lit> :name ( <pointer:7> name :op1 <lit> England </lit> ) ) :ARG1-of ( <pointer:8> end-01 :ARG2 ( <pointer:9> string-entity :value <lit>  </lit> ) ) ) ) ) )  , ( <pointer:0> recommend-01 :ARG1 ( <pointer:1> add-02 :ARG1 ( <pointer:2> species :wiki <lit> Rusine </lit> :name ( <pointer:3> name :op1 <lit> Rusine </lit> ) ) :ARG2 ( <pointer:4> supplement-01 :ARG2 ( <pointer:5> word :mod ( <pointer:6> country :wiki <lit> England </lit> :name ( <pointer:7> name :op1 <lit> England </lit> ) ) :ARG1-of ( <pointer:8> end-01 :ARG2 ( <pointer:9> string-entity :value <lit> -ine </lit> ) ) ) ) ) ) </g> </g> <t> Rusine should be added to the supplement of English words ending in -ine.</t>,0
18,"<t>  Bin Ladin apparently kept his options open, maintaining contacts with Gulbuddin Hekmatyar, who, though an Islamic extremist, was also one of the Taliban's most militant opponents. </t> <g> ( <pointer:0> keep-02 :ARG0 ( <pointer:1> person :wiki <lit> Osama bin Laden </lit> :name ( <pointer:2> name :op1 <lit> Bin </lit> :op2 <lit> Ladin </lit> ) ) :ARG1 ( <pointer:3> open-09 :ARG1 ( <pointer:4> option :poss <pointer:1> ) ) :ARG1-of ( <pointer:5> appear-02 ) :ARG1-of ( <pointer:6> cause-01 :ARG0 ( <pointer:7> maintain-01 :ARG0 <pointer:1> :ARG1 ( <pointer:8> contact-01 :ARG0 <pointer:1> :ARG1 ( <pointer:9> person :wiki <lit> Gulbuddin Hekmatyar </lit> :name ( <pointer:10> name :op1 <lit> Gulbuddin </lit> :op2 <lit> Hekmatyar </lit> ) :mod ( <pointer:11> extremist :mod ( <pointer:12> religious-group :wiki <lit> Islam </lit> :name ( <pointer:13> name :op1 <lit> Islam </lit> ) ) :concession-of ( <pointer:14> include-91 :ARG1 <pointer:9> :ARG2 ( <pointer:15> person :ARG0-of ( <pointer:16> oppose-01 :ARG1 ( <pointer:17> criminal-organization :wiki <lit> Taliban </lit> :name ( <pointer:18> name :op1 <lit> Taliban </lit> ) ) ) :ARG1-of ( <pointer:19> have-degree-91 :ARG2 ( <pointer:20> militant ) :ARG3 ( <pointer:21> most ) ) ) :mod ( <pointer:22> also ) ) ) ) ) ) ) ) "",", ( <pointer:0> contact-01 :ARG0 ( <pointer:1> person :wiki <lit> Osama bin Laden </lit> :name ( <pointer:2> name :op1 <lit> Bin </lit> :op2 <lit> Ladins </lit> ) ) :ARG1 ( <pointer:3> person :wiki <lit> Gulbuddin Hekmatyar </lit> :name ( <pointer:4> name :op1 <lit> Gulbuddin </lit> :op2 <lit> Hekmatyar </lit> ) ) ) </g> </g> <t> Bin Ladins had contacts with Gulbuddin Hekmatyar.</t>,0
19,"<t>  metapsychosis One of the finest of traps for the knowledgeable  it has nothing to do with some over-arching, society-wide psychological illness like alcoholism or jogging. </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> person :wiki - :name ( <pointer:2> name :op1 <lit> metapsychosis </lit> ) ) :snt2 ( <pointer:3> include-91 :ARG1 ( <pointer:4> it ) :ARG2 ( <pointer:5> trap-01 :ARG1-of ( <pointer:6> have-degree-91 :ARG2 ( <pointer:7> fine-03 :ARG1 <pointer:5> ) :ARG3 ( <pointer:8> most ) :ARG5 ( <pointer:9> trap-01 :ARG1-of ( <pointer:10> know-01 ) ) ) ) ) :snt3 ( <pointer:11> have-to-do-with-04 :ARG0 ( <pointer:12> it ) :ARG1 ( <pointer:13> ill-01 :mod ( <pointer:14> psychological ) :mod ( <pointer:15> some ) :ARG0-of ( <pointer:16>arching ) :ARG1-of ( <pointer:17> wide-02 :ARG2 ( <pointer:18> society ) ) :example ( <pointer:19> or :op1 ( <pointer:20> alcoholism ) :op2 ( <pointer:21> jog-01 ) ) ) :ARG2 ( <pointer:22> nothing ) ) )  ", ( <pointer:0> ill-01 :polarity - :ARG1-of ( <pointer:1> resemble-01 :ARG2 ( <pointer:2> or :op1 ( <pointer:3> alcoholism ) :op2 ( <pointer:4> jog-01 ) ) ) :mod ( <pointer:5> psychological ) :domain ( <pointer:6> disease :wiki <lit> Metapsychosis </lit> :name ( <pointer:7> name :op1 <lit> Metapsychosis </lit> ) ) ) </g> </g> <t> Metapsychosis is not a psychological illness like alcoholism or jogging.</t>,1
