index,premise,hypothesis,label
491,<t> The Student American Dental Hygienist's Association Hearty Smiles project at Riley Hospital has been successful and rewarding to the children as well as the hygiene students.</t> [EOS],The project at Riley Hospital has been successful and rewarding to the children as well.,0
519,"<t> (Note that there is a 95 percent chance that demand will be less than seventeen units next week'thus, if our buyer decides to stock seventeen units at the beginning of the week, the store should be able to offer a 95 percent order fulfillment rate on this SKU.)</t> [EOS]",There is a 95 percent chance that demand will be less than seventeen units next week.,0
534,"<t> I also encourage you to seek additional support through your company, church, or service organization.</t> [EOS]","I encourage you to seek additional support through your company, church or service organization.",0
1662,"<t> Yet a few years ago, it almost closed its doors due to a lack of applicants.</t> [EOS]","A few years ago, it almost closed its doors due to a lack of applicants.",0
1671,"<t> Presumably FAA would have provided such information, but we do not know how long that would have taken, nor how long it would have taken NEADS to locate the target.</t> [EOS]",We don't know how long NEADS would have taken to locate the target.,0
1681,"<t> In part, that is attributable to the designation of his correspondents, who keep him informed on language that is not within earshot, as the  Lexicographic Irregulars,  an amusing reference the first time or two it was used but now beginning to cloy.</t> [EOS]",His correspondents keep him informed on language that is not within earshot.,0
1702,"<t> However, we recognize that gifts at the Maennerchor Society level are not possible for all.</t> [EOS]",Gifts at the Maennerchor Society level are not possible for all.,0







