Unnamed: 0,complete_signature,premise,hypothesis,label,signature
146,Entailment.Entailment.Entailment,<t> A man learns that he is playing the drums,The drums are being played by a man </t>,0,Plus/Plus
147,Entailment.Entailment.Entailment,<t> A man acknowledges that he is playing the drums,The drums are being played by a man </t>,0,Plus/Plus
148,Entailment.Entailment.Entailment,<t> A man understands that he is playing the drums,The drums are being played by a man </t>,0,Plus/Plus
149,Entailment.Entailment.Entailment,<t> A man notes that he is playing the drums,The drums are being played by a man </t>,0,Plus/Plus
150,Entailment.Entailment.Entailment,<t> A man recognizes that he is playing the drums,The drums are being played by a man </t>,0,Plus/Plus
151,Entailment.Entailment.Entailment,<t> A man discovers that he is playing the drums,The drums are being played by a man </t>,0,Plus/Plus
152,Entailment.Entailment.Entailment,<t> A man manages to play the drums,The drums are being played by a man </t>,0,Plus/Minus
153,Entailment.Entailment.Entailment,<t> A man begins to play the drums,The drums are being played by a man </t>,0,Plus/Minus
154,Entailment.Entailment.Entailment,<t> A man starts to play the drums,The drums are being played by a man </t>,0,Plus/Minus
155,Entailment.Entailment.Entailment,<t> A man serves to play the drums,The drums are being played by a man </t>,0,Plus/Minus
156,Entailment.Entailment.Entailment,<t> A man learns to play the drums,The drums are being played by a man </t>,0,Plus/Minus
158,Entailment.Entailment.Entailment,<t> A man uses to play the drums,The drums are being played by a man </t>,0,Plus/Minus
159,Entailment.Entailment.Entailment,<t> A man gets to play the drums,The drums are being played by a man </t>,0,Plus/Minus
160,Entailment.Entailment.Entailment,<t> A man comes to play the drums,The drums are being played by a man </t>,0,Plus/Minus
161,Contradiction.Entailment.Contradiction,<t> A man forgets to play the drums,The drums are being played by a man </t>,2,Minus/Plus
162,Contradiction.Entailment.Contradiction,<t> A man fails to play the drums,The drums are being played by a man </t>,2,Minus/Plus
170,Contradiction.Entailment.Neutral,<t> A man refuses to play the drums,The drums are being played by a man </t>,1,Minus/Neutral
171,Contradiction.Entailment.Neutral,<t> A man declines to play the drums,The drums are being played by a man </t>,1,Minus/Neutral
173,Entailment.Entailment.Entailment,<t> A man shows that he is playing the drums,The drums are being played by a man </t>,0,Plus/Neutral
174,Entailment.Entailment.Entailment,<t> A man determines that he is playing the drums,The drums are being played by a man </t>,0,Plus/Neutral
175,Entailment.Entailment.Entailment,<t> A man confirms that he is playing the drums,The drums are being played by a man </t>,0,Plus/Neutral
176,Entailment.Entailment.Entailment,<t> A man demonstrates that he is playing the drums,The drums are being played by a man </t>,0,Plus/Neutral
177,Entailment.Entailment.Entailment,<t> A man helps to play the drums,The drums are being played by a man </t>,0,Plus/Neutral
178,Entailment.Entailment.Entailment,<t> A man haves to play the drums,The drums are being played by a man </t>,0,Plus/Neutral
179,Entailment.Entailment.Entailment,<t> A man ensures that he is playing the drums,The drums are being played by a man </t>,0,Plus/Neutral
180,Entailment.Entailment.Entailment,<t> A man tends to play the drums,The drums are being played by a man </t>,0,Plus/Neutral
274,Entailment.Entailment.Entailment,<t> A woman realizes that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Plus
275,Entailment.Entailment.Entailment,<t> A woman knows that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Plus
276,Entailment.Entailment.Entailment,<t> A woman remembers that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Plus
277,Entailment.Entailment.Entailment,<t> A woman notices that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Plus
278,Entailment.Entailment.Entailment,<t> A woman reveals that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Plus
279,Entailment.Entailment.Entailment,<t> A woman finds that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Plus
280,Entailment.Entailment.Entailment,<t> A woman admits that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Plus
281,Entailment.Entailment.Entailment,<t> A woman observes that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Plus
282,Entailment.Entailment.Entailment,<t> A woman sees that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Plus
283,Entailment.Entailment.Entailment,<t> A woman learns that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Plus
284,Entailment.Entailment.Entailment,<t> A woman acknowledges that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Plus
285,Entailment.Entailment.Entailment,<t> A woman understands that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Plus
286,Entailment.Entailment.Entailment,<t> A woman notes that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Plus
287,Entailment.Entailment.Entailment,<t> A woman recognizes that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Plus
288,Entailment.Entailment.Entailment,<t> A woman discovers that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Plus
289,Entailment.Entailment.Entailment,<t> A woman manages to paint a man 's face,A man's face is being painted by a woman </t>,0,Plus/Minus
290,Entailment.Entailment.Entailment,<t> A woman begins to paint a man 's face,A man's face is being painted by a woman </t>,0,Plus/Minus
291,Entailment.Entailment.Entailment,<t> A woman starts to paint a man 's face,A man's face is being painted by a woman </t>,0,Plus/Minus
292,Entailment.Entailment.Entailment,<t> A woman serves to paint a man 's face,A man's face is being painted by a woman </t>,0,Plus/Minus
293,Entailment.Entailment.Entailment,<t> A woman learns to paint a man 's face,A man's face is being painted by a woman </t>,0,Plus/Minus
294,Entailment.Entailment.Entailment,<t> A woman dares to paint a man 's face,A man's face is being painted by a woman </t>,0,Plus/Minus
295,Entailment.Entailment.Entailment,<t> A woman uses to paint a man 's face,A man's face is being painted by a woman </t>,0,Plus/Minus
296,Entailment.Entailment.Entailment,<t> A woman gets to paint a man 's face,A man's face is being painted by a woman </t>,0,Plus/Minus
297,Entailment.Entailment.Entailment,<t> A woman comes to paint a man 's face,A man's face is being painted by a woman </t>,0,Plus/Minus
298,Contradiction.Entailment.Contradiction,<t> A woman forgets to paint a man 's face,A man's face is being painted by a woman </t>,2,Minus/Plus
299,Contradiction.Entailment.Contradiction,<t> A woman fails to paint a man 's face,A man's face is being painted by a woman </t>,2,Minus/Plus
307,Contradiction.Entailment.Neutral,<t> A woman refuses to paint a man 's face,A man's face is being painted by a woman </t>,1,Minus/Neutral
308,Contradiction.Entailment.Neutral,<t> A woman declines to paint a man 's face,A man's face is being painted by a woman </t>,1,Minus/Neutral
310,Entailment.Entailment.Entailment,<t> A woman shows that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Neutral
311,Entailment.Entailment.Entailment,<t> A woman determines that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Neutral
312,Entailment.Entailment.Entailment,<t> A woman confirms that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Neutral
313,Entailment.Entailment.Entailment,<t> A woman demonstrates that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Neutral
314,Entailment.Entailment.Entailment,<t> A woman helps to paint a man 's face,A man's face is being painted by a woman </t>,0,Plus/Neutral
315,Entailment.Entailment.Entailment,<t> A woman haves to paint a man 's face,A man's face is being painted by a woman </t>,0,Plus/Neutral
316,Entailment.Entailment.Entailment,<t> A woman ensures that she is painting a man 's face,A man's face is being painted by a woman </t>,0,Plus/Neutral
317,Entailment.Entailment.Entailment,<t> A woman tends to paint a man 's face,A man's face is being painted by a woman </t>,0,Plus/Neutral
411,Entailment.Entailment.Entailment,<t> A boy realizes that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Plus
412,Entailment.Entailment.Entailment,<t> A boy knows that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Plus
413,Entailment.Entailment.Entailment,<t> A boy remembers that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Plus
414,Entailment.Entailment.Entailment,<t> A boy notices that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Plus
415,Entailment.Entailment.Entailment,<t> A boy reveals that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Plus
416,Entailment.Entailment.Entailment,<t> A boy finds that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Plus
417,Entailment.Entailment.Entailment,<t> A boy admits that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Plus
418,Entailment.Entailment.Entailment,<t> A boy observes that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Plus
419,Entailment.Entailment.Entailment,<t> A boy sees that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Plus
420,Entailment.Entailment.Entailment,<t> A boy learns that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Plus
421,Entailment.Entailment.Entailment,<t> A boy acknowledges that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Plus
422,Entailment.Entailment.Entailment,<t> A boy understands that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Plus
423,Entailment.Entailment.Entailment,<t> A boy notes that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Plus
424,Entailment.Entailment.Entailment,<t> A boy recognizes that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Plus
425,Entailment.Entailment.Entailment,<t> A boy discovers that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Plus
426,Entailment.Entailment.Entailment,<t> A boy manages to study a calendar,A boy is staring at a calendar </t>,0,Plus/Minus
427,Entailment.Entailment.Entailment,<t> A boy begins to study a calendar,A boy is staring at a calendar </t>,0,Plus/Minus
428,Entailment.Entailment.Entailment,<t> A boy starts to study a calendar,A boy is staring at a calendar </t>,0,Plus/Minus
429,Entailment.Entailment.Entailment,<t> A boy serves to study a calendar,A boy is staring at a calendar </t>,0,Plus/Minus
430,Entailment.Entailment.Entailment,<t> A boy learns to study a calendar,A boy is staring at a calendar </t>,0,Plus/Minus
431,Entailment.Entailment.Entailment,<t> A boy dares to study a calendar,A boy is staring at a calendar </t>,0,Plus/Minus
432,Entailment.Entailment.Entailment,<t> A boy uses to study a calendar,A boy is staring at a calendar </t>,0,Plus/Minus
433,Entailment.Entailment.Entailment,<t> A boy gets to study a calendar,A boy is staring at a calendar </t>,0,Plus/Minus
434,Entailment.Entailment.Entailment,<t> A boy comes to study a calendar,A boy is staring at a calendar </t>,0,Plus/Minus
435,Contradiction.Entailment.Contradiction,<t> A boy forgets to study a calendar,A boy is staring at a calendar </t>,2,Minus/Plus
436,Contradiction.Entailment.Contradiction,<t> A boy fails to study a calendar,A boy is staring at a calendar </t>,2,Minus/Plus
444,Contradiction.Entailment.Neutral,<t> A boy refuses to study a calendar,A boy is staring at a calendar </t>,1,Minus/Neutral
445,Contradiction.Entailment.Neutral,<t> A boy declines to study a calendar,A boy is staring at a calendar </t>,1,Minus/Neutral
447,Entailment.Entailment.Entailment,<t> A boy shows that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Neutral
448,Entailment.Entailment.Entailment,<t> A boy determines that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Neutral
449,Entailment.Entailment.Entailment,<t> A boy confirms that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Neutral
450,Entailment.Entailment.Entailment,<t> A boy demonstrates that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Neutral
451,Entailment.Entailment.Entailment,<t> A boy helps to study a calendar,A boy is staring at a calendar </t>,0,Plus/Neutral
452,Entailment.Entailment.Entailment,<t> A boy haves to study a calendar,A boy is staring at a calendar </t>,0,Plus/Neutral
453,Entailment.Entailment.Entailment,<t> A boy ensures that he is studying a calendar,A boy is staring at a calendar </t>,0,Plus/Neutral
454,Entailment.Entailment.Entailment,<t> A boy tends to study a calendar,A boy is staring at a calendar </t>,0,Plus/Neutral
548,Entailment.Entailment.Entailment,<t> A man realizes that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Plus
549,Entailment.Entailment.Entailment,<t> A man knows that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Plus
550,Entailment.Entailment.Entailment,<t> A man remembers that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Plus
551,Entailment.Entailment.Entailment,<t> A man notices that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Plus
552,Entailment.Entailment.Entailment,<t> A man reveals that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Plus
553,Entailment.Entailment.Entailment,<t> A man finds that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Plus
554,Entailment.Entailment.Entailment,<t> A man admits that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Plus
555,Entailment.Entailment.Entailment,<t> A man observes that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Plus
556,Entailment.Entailment.Entailment,<t> A man sees that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Plus
557,Entailment.Entailment.Entailment,<t> A man learns that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Plus
558,Entailment.Entailment.Entailment,<t> A man acknowledges that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Plus
559,Entailment.Entailment.Entailment,<t> A man understands that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Plus
560,Entailment.Entailment.Entailment,<t> A man notes that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Plus
561,Entailment.Entailment.Entailment,<t> A man recognizes that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Plus
562,Entailment.Entailment.Entailment,<t> A man discovers that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Plus
563,Entailment.Entailment.Entailment,<t> A man manages to wear a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Minus
564,Entailment.Entailment.Entailment,<t> A man begins to wear a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Minus
565,Entailment.Entailment.Entailment,<t> A man starts to wear a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Minus
566,Entailment.Entailment.Entailment,<t> A man serves to wear a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Minus
567,Entailment.Entailment.Entailment,<t> A man learns to wear a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Minus
568,Entailment.Entailment.Entailment,<t> A man dares to wear a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Minus
569,Entailment.Entailment.Entailment,<t> A man uses to wear a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Minus
570,Entailment.Entailment.Entailment,<t> A man gets to wear a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Minus
571,Entailment.Entailment.Entailment,<t> A man comes to wear a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Minus
572,Contradiction.Entailment.Contradiction,<t> A man forgets to wear a hard hat and dancing,A man with a hard hat is dancing </t>,2,Minus/Plus
573,Contradiction.Entailment.Contradiction,<t> A man fails to wear a hard hat and dancing,A man with a hard hat is dancing </t>,2,Minus/Plus
581,Contradiction.Entailment.Neutral,<t> A man refuses to wear a hard hat and dancing,A man with a hard hat is dancing </t>,1,Minus/Neutral
582,Contradiction.Entailment.Neutral,<t> A man declines to wear a hard hat and dancing,A man with a hard hat is dancing </t>,1,Minus/Neutral
584,Entailment.Entailment.Entailment,<t> A man shows that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Neutral
585,Entailment.Entailment.Entailment,<t> A man determines that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Neutral
586,Entailment.Entailment.Entailment,<t> A man confirms that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Neutral
587,Entailment.Entailment.Entailment,<t> A man demonstrates that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Neutral
588,Entailment.Entailment.Entailment,<t> A man helps to wear a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Neutral
589,Entailment.Entailment.Entailment,<t> A man haves to wear a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Neutral
590,Entailment.Entailment.Entailment,<t> A man ensures that he is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Neutral
591,Entailment.Entailment.Entailment,<t> A man tends to wear a hard hat and dancing,A man with a hard hat is dancing </t>,0,Plus/Neutral
685,Entailment.Entailment.Entailment,<t> A monkey realizes that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Plus
686,Entailment.Entailment.Entailment,<t> A monkey knows that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Plus
687,Entailment.Entailment.Entailment,<t> A monkey remembers that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Plus
688,Entailment.Entailment.Entailment,<t> A monkey notices that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Plus
689,Entailment.Entailment.Entailment,<t> A monkey reveals that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Plus
690,Entailment.Entailment.Entailment,<t> A monkey finds that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Plus
691,Entailment.Entailment.Entailment,<t> A monkey admits that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Plus
692,Entailment.Entailment.Entailment,<t> A monkey observes that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Plus
693,Entailment.Entailment.Entailment,<t> A monkey sees that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Plus
694,Entailment.Entailment.Entailment,<t> A monkey learns that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Plus
695,Entailment.Entailment.Entailment,<t> A monkey acknowledges that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Plus
696,Entailment.Entailment.Entailment,<t> A monkey understands that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Plus
697,Entailment.Entailment.Entailment,<t> A monkey notes that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Plus
698,Entailment.Entailment.Entailment,<t> A monkey recognizes that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Plus
699,Entailment.Entailment.Entailment,<t> A monkey discovers that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Plus
700,Entailment.Entailment.Entailment,<t> A monkey manages to kick a person,A person is being kicked by a monkey </t>,0,Plus/Minus
701,Entailment.Entailment.Entailment,<t> A monkey begins to kick a person,A person is being kicked by a monkey </t>,0,Plus/Minus
702,Entailment.Entailment.Entailment,<t> A monkey starts to kick a person,A person is being kicked by a monkey </t>,0,Plus/Minus
703,Entailment.Entailment.Entailment,<t> A monkey serves to kick a person,A person is being kicked by a monkey </t>,0,Plus/Minus
704,Entailment.Entailment.Entailment,<t> A monkey learns to kick a person,A person is being kicked by a monkey </t>,0,Plus/Minus
706,Entailment.Entailment.Entailment,<t> A monkey uses to kick a person,A person is being kicked by a monkey </t>,0,Plus/Minus
707,Entailment.Entailment.Entailment,<t> A monkey gets to kick a person,A person is being kicked by a monkey </t>,0,Plus/Minus
708,Entailment.Entailment.Entailment,<t> A monkey comes to kick a person,A person is being kicked by a monkey </t>,0,Plus/Minus
709,Contradiction.Entailment.Contradiction,<t> A monkey forgets to kick a person,A person is being kicked by a monkey </t>,2,Minus/Plus
710,Contradiction.Entailment.Contradiction,<t> A monkey fails to kick a person,A person is being kicked by a monkey </t>,2,Minus/Plus
718,Contradiction.Entailment.Neutral,<t> A monkey refuses to kick a person,A person is being kicked by a monkey </t>,1,Minus/Neutral
719,Contradiction.Entailment.Neutral,<t> A monkey declines to kick a person,A person is being kicked by a monkey </t>,1,Minus/Neutral
721,Entailment.Entailment.Entailment,<t> A monkey shows that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Neutral
722,Entailment.Entailment.Entailment,<t> A monkey determines that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Neutral
723,Entailment.Entailment.Entailment,<t> A monkey confirms that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Neutral
724,Entailment.Entailment.Entailment,<t> A monkey demonstrates that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Neutral
725,Entailment.Entailment.Entailment,<t> A monkey helps to kick a person,A person is being kicked by a monkey </t>,0,Plus/Neutral
726,Entailment.Entailment.Entailment,<t> A monkey haves to kick a person,A person is being kicked by a monkey </t>,0,Plus/Neutral
727,Entailment.Entailment.Entailment,<t> A monkey ensures that it is kicking a person,A person is being kicked by a monkey </t>,0,Plus/Neutral
728,Entailment.Entailment.Entailment,<t> A monkey tends to kick a person,A person is being kicked by a monkey </t>,0,Plus/Neutral
822,Entailment.Neutral.Entailment,<t> A boy realizes that he is jumping off the side of a stone water fountain in front of a building,A boy in a striped shirt is jumping behind a water fountain </t>,0,Plus/Plus
823,Entailment.Neutral.Entailment,<t> A boy knows that he is jumping off the side of a stone water fountain in front of a building,A boy in a striped shirt is jumping behind a water fountain </t>,0,Plus/Plus
824,Entailment.Neutral.Entailment,<t> A boy remembers that he is jumping off the side of a stone water fountain in front of a building,A boy in a striped shirt is jumping behind a water fountain </t>,0,Plus/Plus
825,Entailment.Neutral.Entailment,<t> A boy notices that he is jumping off the side of a stone water fountain in front of a building,A boy in a striped shirt is jumping behind a water fountain </t>,0,Plus/Plus
826,Entailment.Neutral.Entailment,<t> A boy reveals that he is jumping off the side of a stone water fountain in front of a building,A boy in a striped shirt is jumping behind a water fountain </t>,0,Plus/Plus
827,Entailment.Neutral.Entailment,<t> A boy finds that he is jumping off the side of a stone water fountain in front of a building,A boy in a striped shirt is jumping behind a water fountain </t>,0,Plus/Plus
828,Entailment.Neutral.Entailment,<t> A boy admits that he is jumping off the side of a stone water fountain in front of a building,A boy in a striped shirt is jumping behind a water fountain </t>,0,Plus/Plus
829,Entailment.Neutral.Entailment,<t> A boy observes that he is jumping off the side of a stone water fountain in front of a building,A boy in a striped shirt is jumping behind a water fountain </t>,0,Plus/Plus
