,premise,hypothesis,label
157,Tommy said to hold on hard.,Tommy held on hard.,1
158,Jon said to hurry up.,Jon hurried up.,1
159,Both firms lawyers unanimously agreed to dismiss the case.,Both firms lawyers unanimously dismissed the case.,1
160,The landlord agreed to wait for a portion of the rent.,The landlord waited for a portion of the rent.,1
161,They had agreed to take a day of rest in the barrens.,They had taken a day of rest in the barrens.,1
162,All they have agreed to do is continue talking.,All they have done is continue talking.,1
163,IRS also agreed to begin tracking information ,Irs also began tracking.,1
164,She had meant to warn Mr. Brown about Tuppence.,She had warned mr. brown about tuppence.,1
165, But most visitors prefer to linger in Formentera.,But most visitors linger in formentera.,1
166,Britain hoped to create a Federation of Caribbean Islands in the region.,Britain created a federation of caribbean islands in the region.,1
167,The general election of May 1997 proved to be a turning point.,The general election of may 1997 was a turning point.,1
168,"Ca'daan looked out over the desert, hoping to see the young man return.","Ca ` daan looked out over the desert, seeing the young man return.",1
169,"The Spanish peoples were very poor, and hoped to find wealth in Europe.","The spanish peoples were very poor, and found wealth in europe.",1
170,Los Angeles hopes to fight pollution by building a light rail network.,Los angeles fights pollution by building a light rail network.,1
171,Congress hopes to spend less on pilot projects for the same results.,Congress spends less on pilot projects for the same results.,1
172,HCFA hoped to keep the Medicare reporting requirement as it was.,Hcfa kept the medicare reporting requirement as it was.,1
173,The kings visited hoping to gain health and eternal life.,The kings visited gaining health and eternal life.,1
174,He poached whales hoping to get revenge for his lost leg.,He poached whales getting revenge for his lost leg.,1
175,The 130 years of control by the Portuguese proved to be stable.,The 130 years of control by the portuguese was stable.,1
176,Clive's method proved to be effective everywhere it was used.,Clive's method was effective everywhere it was used.,1
177,The United States prefers to use the 1974 benchmark.,The united states uses the 1974 benchmark.,1
178,His adventures in Asia and Africa proved to be his undoing.,His adventures in asia and africa was his undoing.,1
179,The analysis has proven to be quite important.,The analysis has been quite important.,1
180,The turks proved to be a hassle for India. ,The turks was a hassle for india.,1
181,Grove proved to be a great leader of Intel.,Grove was a great leader of intel.,1
182,The beacons proved to be highly successful.,The beacons was highly successful.,1
183,He has proven to be skilled in football.,He has been skilled in football.,1
184,He preferred to visit the battlefield with the corpses.,He visited the battlefield with the corpses.,1
185,He prefers to have his drinks at a warm temperature. ,He has his drinks at a warm temperature.,1
186,Guests prefer to shop at the duty-free malls nearby.,Guests shop at the duty-free malls nearby.,1
187,No enemy ships managed to get past the Golden Horn.,No enemy ships got past the golden horn.,0
188,Harris's business manages to impress his customers.,Harris's business impresses his customers.,0
189,He barely managed to board the train in time.,He barely boarded the train in time.,0
190,The universe seemed to cry out.,The universe cried out.,1
191,I began to get mad.,I got mad.,0
192,I used to read all of the time.,I read all of the time.,0
193,I used to work an actual job. ,I worked an actual job.,0
194,She used to live in Jamaica.,She lived in jamaica.,0
195,They used to say that. ,They said that.,0
196,It used to be paper 7.,It was paper 7.,0
197,Ca'daan seems to think it's safe.,Ca ` daan thinks it's safe.,1
198,People seemed to be watching me.,People was watching me.,1
199,Susan seemed to watch them all.,Susan watched them all.,1
200,"'I seem to be real unlucky,'  ","' i am real unlucky,.",1
201,I began to feel quite big.,I felt quite big.,0
202,My sisters seemed to like it.,My sisters liked it.,1
203,You seem to know your stuff.,You know your stuff.,1
204,She seemed to be friendly.,She was friendly.,1
205,Rosenthal tried to speak to the manager.,Rosenthal spoke to the manager.,1
206,She got away when Dew tried to ride her.,She got away when dew rode her.,1
207,Congress tried to make things effecient.,Congress made things effecient.,1
208,"He tried to help them, one man nodded. ","He helped them, one man nodded.",1
209,Unions tried to get people out to vote.,Unions got people out to vote.,1
210,She is purposefully trying to avoid us.,She is purposefully avoiding us.,1
211,It began to devour her.,It devoured her.,0
212,I began to feel very small.,I felt very small.,0
213,"Damn! said Tommy, and tried to sit up.","Damn! said tommy, and sat up.",1
214,Real wages continue to grow slowly.,Real wages grow slowly.,1
215,I refuse to tell you a lie.,I tell you a lie.,2
216,He refused to do the same.,He did the same.,2
217,He refused to touch Susan.,He touched susan.,2
218,She refused to do it.,She did it.,2
219,I refuse to go.,I go ..,2
220,The man continued to fight the animal.,The man fought the animal.,1
221,Vrenna continued to chat with the man.,Vrenna chatted with the man.,1
222,Jon continued to examine him instead.,Jon examined him instead.,1
223,Brown continues to improve each day.,Brown improves each day.,1
224,Russia continues to bomb Chechnya.,Russia bombs chechnya.,1
225,The man began to hate the town.,The man hated the town.,0
226,He continued to talk about fish. ,He talked about fish.,1
227,They continued to sit in silence.,They sat in silence.,1
228,Tommy continued to stare at him.,Tommy stared at him.,1
229,It continues to do that.,It does that.,1
230,Jon's defense began to weaken and slow.,Jon's defense weakened and slow.,0
231,I began to shake my head and gibber.,I shook my head and gibber.,0
232,"It began to consume her, head-first.","It consumed her, head-first.",0
233,She began to walk the other way. ,She walked the other way.,0
234,Drew began to think about that.,Drew thought about that.,0
235,A lady bandit tried to overtake a town.,A lady bandit overtook a town.,1
236,They try to see her views differently.,They see her views differently.,1
237,I refuse to give you a toast.,I give you a toast.,2
238,He had to try something.,He tried something.,0
239,I need to win this time ,I win this.,1
240,Susan needed to be safe.,Susan was safe.,1
241,You need to do it right,You do it.,1
242,We need to talk to FAA.,We talk to faa.,1
243,I needed to lie down.,I lied down.,1
244,I needed to help her.,I helped her.,1
245,He had to begin somewhere.,He began somewhere.,0
246,I had to figure it out.  ,I figured it out.,0
247,You had to make a choice.,You made a choice.,0
248,The city has to grow up.,The city grows up.,0
249,I tried to tolerate it.,I tolerated it.,1
250,We have to accept it.,We accept it.,0
251,I had to get space.,I got space.,0
252,We want to see it again.,We see it again.,1
253,I want to stay married.,I stay married.,1
254,We want to make a deal.,We make a deal.,1
255,I want to talk to him.,I talk to him ..,1
256,He wanted to kill me.,He killed me.,1
257,I wanted to know why.,I knew why.,1
258,I wanted to help her.,I helped her.,1
259,He tried to grab me.,He grabbed me.,1
260,He tried to stop the car.,He stopped the car.,1
261,Hanson tried to make him feel better.,Hanson made him feel better.,1
262,I'm still trying to be confident.,I'm still being confident.,1
263,Wolf tried to help the president out.,Wolf helped the president out.,1
264,Yates has tried to save it for years.,Yates has saved it for years.,1
265,Philosophers try to answer questions.,Philosophers answer questions.,1
266,Amazon tried to make it easy to use.,Amazon made it easy to use.,1
267,Adrin tried to put Jon off balance.,Adrin put jon off balance.,1
268,The writer tried to be a masseuse.,The writer was a masseuse.,1
269,I tried to keep my speeches short.,I kept my speeches short.,1
270,"He sat up, trying to free himself.","He sat up, freeing himself.",1
271,He tried to make his words casual.,He made his words casual.,1
272,That's why we tried to kill you.,That's why we killed you.,1
273,It tried to look upscale.,It looked upscale.,1
274,He tried to get her to relax. ,He got her to relax.,1
275,I tried to get into character.,I got into character.,1
276,Geffen tried to market Larson.,Geffen marketed larson.,1
277,You try to get close to 21.,You get close to 21.,1
278,He tries to humiliate her. ,He humiliates her.,1
279,I tried to move back a bit.,I moved back a bit.,1
280,Are you trying to be slow?,Are you being slow.,1
281,Five men tried to kill us.,Five men killed us.,1
282,Adrin tried to stab Jon. ,Adrin stabbed jon.,1
283,They refused to patch him up.,They patched him up.,2
284,I refuse to live in this place.,I live in this place.,2
285,I just about managed to shake my head.,I just about shook my head.,0
286,Vets like to point out screw ups.,Vets point out screw ups.,1
287,He appeared to be a heroic character.,He was a heroic character.,1
288,Rodriguez appeared to be in his 50s.,Rodriguez was in his 50s.,1
289,They appeared to be in an argument.,They was in an argument.,1
290,She appeared to struggle to talk. ,She struggled to talk.,1
291,The man appeared to be losing.,The man was losing.,1
292,It appears to be uninterested.,It is uninterested.,1
293,It appears to be a leg-wound.,It is a leg-wound.,1
294,It appears to be a trap. ,It is a trap.,1
295,I like to stay away from smoking.,I stay away from smoking.,1
296,People like to rely on experts. ,People rely on experts.,1
297,We plan to use our studies.,We use our studies.,1
298,You like to eat there as well. ,You eat there as well.,1
299,Everyone likes to look good.,Everyone looks good.,1
300,Jon likes to be with then.,Jon is with then.,1
301,I like to be transparent.,I am transparent.,1
302,I like to invent things.,I invent things.,1
303,I like to read Krugman.,I read krugman.,1
304,'I like to think I am.,' i think i am.,1
305,"When you like somebody, you tend to trust him.","When you like somebody, you trust him.",0
306,The Japanese tend to start lessons unprepared.,The japanese start lessons unprepared.,0
307,You plan to stay with him?,You stay with him.,1
308,The man planned to go home. ,The man went home.,1
309,Natural dyes tend to give more muted colors.,Natural dyes give more muted colors.,0
310,Johnny Shannon came to tell everyone about it.,Johnny shannon told everyone about it.,0
311,The man managed to stay on his horse.,The man stayed on his horse.,0
312,"The helicopter chose to dip low, for some reason.","The helicopter dipped low, for some reason.",1
313,Hilary Clinton chooses to stay at Trump Tower. ,Hilary clinton stays at trump tower.,1
314,All France's kings chose to live in chateaus.,All france's kings lived in chateaus.,1
315,They choose to do so for their own reasons.,They do so for their own reasons.,1
316,Too bad it chose to use McIntyre instead.,Too bad it used mcintyre instead.,1
317,She has chose to live a hollow life.,She has lived a hollow life.,1
318,He chose to be buried there.,He was buried there.,1
319,He chose to do so. ,He did so.,1
320,She had come to know Betty Currie very well.,She had known betty currie very well.,0
321,He planned to dispose of them himself.,He disposed of them himself.,1
322,Crowds come to see the plum trees in bloom.,Crowds see the plum trees in bloom.,0
323,Your brother came to help us there.,Your brother helped us there.,0
324,Once they came to look at me.,Once they looked at me.,0
325,Owners plan to keep the facility under budget.,Owners keep the facility under budget.,1
326,Advocates plan to appeal the judge's ruling.,Advocates appeal the judge's ruling.,1
327,He planned to visit Jane right after dinner.,He visited jane right after dinner.,1
328,Forbes plans to do nothing to assist farms ,Forbes does nothing to assist.,1
329,Tommy planned to hide behind Whittington.,Tommy hid behind whittington.,1
330,Here is a man who plans to kill his wife.,Here is a man who kills his wife.,1
331,Many tourists tend to visit Dataran Merdeka.,Many tourists visit dataran merdeka.,0
332,Each area tends to consist of a big city. ,Each area consists of a big city.,0
333,Europe refused to get involved.,Europe got involved.,2
334,I refuse to speak to the townspeople.,I speak to the townspeople.,2
335,The smithy refused to speak to the man.,The smithy spoke to the man.,2
336,The sheik refused to help the invaders.,The sheik helped the invaders.,2
337,Alan Alda refused to act in the comedy.,Alan alda acted in the comedy.,2
338,They refuse to tell us anything at all/,They tell us anything at all.,2
339,The commission refused to interpret it.,The commission interpreted it.,2
340,I refuse to be your Kassandra Lubbock.,I am your kassandra lubbock.,2
341,They refused to talk about the market.,They talked about the market.,2
342,He refused to provide any information.,He provided any information.,2
343,My brain refusing to command properly.,My brain commanding properly.,2
344,She refuses to let him humiliate her.,She lets him humiliate her.,2
345,The lawyers refused to take any classes.,The lawyers took any classes.,2
346,Drew refused to answer the question.,Drew answered the question.,2
347,The lady refused to let him ask her.,The lady let him ask her.,2
348,FEMA refuses to help flood victims.,Fema helps flood victims.,2
349,Sather karf refused to reward him. ,Sather karf rewarded him.,2
350,He refused to give Pondicherry up.,He gave pondicherry up.,2
351,He refused to admit to something.,He admitted to something.,2
352,Bush refused to adopt the saying.,Bush adopted the saying.,2
353,Lincoln refused to let him do it.,Lincoln let him do it.,2
354,Ca'daan refused to speak to her.,Ca ` daan spoke to her.,2
355,The CNN man refused to speak to anyone.,The cnn man spoke to anyone.,2
356,Courts refuse to deal with infringement.,Courts deal with infringement.,2
357,Jamaicans tend to get in people's face.,Jamaicans get in people's face.,0
358,He failed to get most of his policies adopted.,He got most of his policies adopted.,2
359,Her husband decides to burn her will.,Her husband burns her will.,1
360,The company decided to keep the CEO.,The company kept the ceo.,1
361,She decided to risk the ninepence.,She risked the ninepence.,1
362,I decided to take that as a yes.,I took that as a yes.,1
363,He decided to accept the offer.,He accepted the offer.,1
364,They decided to stay together. ,They stayed together.,1
365,I have decided to be romantic.,I have been romantic.,1
366,Who decided to pick me?,Who picked me.,1
367,I decided to try it.,I tried it.,1
368,The appendix fails to describe the model.,The appendix describes the model.,2
369,Everyone refused to protect the village.,Everyone protected the village.,2
370,The program failed to develop new units.,The program developed new units.,2
371,David Plotz failed to change my mind.,David plotz changed my mind.,2
372,The son failed to match his father.,The son matched his father.,2
373,Nuance fails to frame anything.,Nuance frames anything.,2
374,I rarely fail to turn it out.,I rarely turn it out.,2
375,It failed to attract Deave.,It attracted deave.,2
376,A'dreen refused to be with the strangers.,A'dreen was with the strangers.,2
377,Miss Cowley refused to tell him anything.,Miss cowley told him anything.,2
378,They refuse to admit that they are wrong.,They admit that they are wrong.,2
379,"I have a teen-age daughter, 14, who loves to chew gum.","I have a teen-age daughter, 14, who chews gum.",1
380,That happened to be stealing.,That was stealing.,1
381,We decline to sanction such a result.,We sanction such a result.,2
382,"However, significant integration and planning work remains to be done in this area of the state.","However, significant integration and planning work is done in this area of the state.",2
383,Access to these choices will prove a necessity as the younger generation of business and community leaders prepare to lead the country into the 21st century.,Access to these choices will prove a necessity as the younger generation of business and community leaders lead the country into the 21st century.,1
384,"Through the provision of legal information, programs also assist individuals in preparing to represent themselves in court.","Through the provision of legal information, programs also assist individuals in representing themselves in court.",1
385,Seasons of plenty alternate with leaner periods when the people prepare to  mend and make do.  ,Seasons of plenty alternate with leaner periods when the people mend and make do.,1
386,"What a dirty trick! As his indignation cooled, he prepared to face the situation.","What a dirty trick! as his indignation cooled, he faced the situation.",1
387,"Tommy muttered under his breath, preparing to speak again.","Tommy muttered under his breath, speaking again.",1
388,He expected the worst as he prepared to get out of bed. ,He expected the worst as he got out of bed.,1
389,But much remains to be done to create what Jefferson wrongly perceived as  an America with blacks and whites--and others as well--living in a state of equal freedom under the same government.,But much is done to create what jefferson wrongly perceived as an america with blacks and whites -- and others as well -- living in a state of equal freedom under the same government.,2
390,Whether this is an ineffective avenue to higher costs and improve performance remains to be seen.,Whether this is an ineffective avenue to higher costs and improve performance is seen.,2
391,Whether this is an effective avenue to lower costs and improve performance remains to be seen.,Whether this is an effective avenue to lower costs and improve performance is seen.,2
392,LSC and LSNJ have both moved to dismiss the case.,Lsc and lsnj have both dismissed the case.,1
393,"The addition of Chrysler may help change that approach, but how remains to be seen.","The addition of chrysler may help change that approach, but how is seen.",2
394,That story remains to be told.,That story is told.,2
395,"Steve Roberts medals in singles competition for shoehorning his opinion that presidential diplomacy is indispensable in the New World Order into both Washington Week in Review and Late Edition . Never one for complacency, he teams up with his wife, Cokie Roberts of This Week , for the doubles  The pair repeat the prediction that even privatization-friendly Dems will cynically whack GOP candidates who dare to support privatizing Social Security.","Steve roberts medals in singles competition for shoehorning his opinion that presidential diplomacy is indispensable in the new world order into both washington week in review and late edition . never one for complacency, he teams up with his wife, cokie roberts of this week, for the doubles the pair repeat the prediction that even privatization-friendly dems will cynically whack gop candidates who support privatizing social security.",0
396,"Sand and sun Cuba certainly has, but most visitors who dare to step away from the beach will find it simply too beguiling to spend a whole holiday lying idly in front of their hotels.","Sand and sun cuba certainly has, but most visitors who step away from the beach will find it simply too beguiling to spend a whole holiday lying idly in front of their hotels.",0
397,"San'doro moved like wind, cutting saddles off of horses, cutting the arms that dared to attack him, and the throats of the fallen.","San ` doro moved like wind, cutting saddles off of horses, cutting the arms that attacked him, and the throats of the fallen.",0
398,The secret of these fish is so well kept that no emperor has dared to take control lest this secret become lost.,The secret of these fish is so well kept that no emperor has taken control lest this secret become lost.,0
399,"Piedmont became a haven for political exiles, as none of their enemies dared to look for them here.","Piedmont became a haven for political exiles, as none of their enemies looked for them here.",0
400,No participants dared to suggest that serving as a director should be a salaried position.,No participants suggested that serving as a director should be a salaried position.,0
401,He moved to look at me and took out his tobacco.,He looked at me and took out his tobacco.,1
402,"Now they've got us flanked, they're probably moving to find you.'","Now they've got us flanked, they're probably finding you ..",1
403,Whittington was doing a bad job pretending to be a gardener.,Whittington was doing a bad job being a gardener.,1
