,premise,hypothesis,label
78,<t> A small girl is riding in a toy car,The small girl is riding in the toy car </t>,0
79,<t> A woman is dancing and singing with other women,A woman is performing in the rain </t>,1
80,<t> The puppy is playing with a plastic container,The dog is playing with a plastic container </t>,0
81,<t> A pair of kids are sticking out blue and green colored tongues,Two kids are sticking out blue and green colored tongues </t>,0
82,<t> Two males are standing on a cliff edge and one is jumping into the sea,Two males are standing on a cliff edge and one is jumping into the water </t>,0
83,<t> The man is playing a piano,A guy is cheerfully playing with a footbag </t>,1
84,<t> An Arabic man isn't wearing a white hat,A man with a white hat and brown shirt is behind a woman in red and is looking to the left </t>,1
85,<t> A large man is sitting in a military accessories shop,A large man is sitting in a military accessories store </t>,0
86,<t> A young child is barefoot and is walking past a puddle full of mud,A young child is wearing green boots and playing in a puddle full of mud </t>,1
87,<t> A man is severing the toe of an empty leather boot with a sword,A man is cutting a boot with a sword </t>,0
88,<t> The show for the small child is being set on an exciting swing at the park,A small child is showing excitement on a swing set at the park </t>,1
89,<t> A man is walking in a yard,A man is walking outside </t>,0
90,<t> A lot of people are in an ice skating park,An ice skater is outdoors performing on a rink full of people </t>,1
91,<t> A carrot is being sliced into pieces by a person,A person is cutting an onion into pieces </t>,1
92,<t> A man in gold and purple is holding a rainbow afghan,A young woman is carrying a lot of colorful scarves on the beach </t>,1
93,<t> A furry brown dog is running through the grassy area,The furry brown dog is running through the grassy area </t>,0
94,<t> Some ingredients are being mixed in a bowl by a person,A woman is bowling two eggs to a break dancer  </t>,1
95,<t> Kids are being dressed in costumes and playing a game,A young boy with painted face is standing next to some other children </t>,1
96,<t> A woman is dancing beautifully in a cage,A woman is dancing in a cage </t>,0
97,<t> A woman is wakeboarding on a lake,The woman is waterskiing fearlessly </t>,1
98,<t> A woman is singing into a microphone,A man is singing into a microphone </t>,1
99,<t> A man is bringing up the rear of the race,A few men in a competition are running outside </t>,1
100,<t> Someone is typing,Someone is putting away a keyboard </t>,1
101,<t> The soccer player is kicking the ball between somebody's legs,A person is kicking a ball for a soccer game between somebody's feet </t>,0
102,<t> Two children are playing in the surf,Two children are playing </t>,0
103,<t> A skateboarder is making a jump off a ramp,A woman dressed in black is wearing inline skates and performing a trick on a rail </t>,1
104,<t> The goal is being guarded by a hockey player in a yellow jersey,The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal </t>,0
105,<t> A dog is teasing a monkey at the zoo,A monkey is pulling a dog's tail </t>,1
106,"<t> The boy, who is young, is running through the ocean waves",A child is running in and out of the ocean waves </t>,0
107,<t> A monkey is brushing the dog,The monkey is brushing the dog </t>,0
108,<t> There is no dog turning on the grass and pursuing a flying ball,A yellow dog is chasing a ball </t>,1
109,<t> A man in a blue jumpsuit is failing to perform a wheelie on a motorcycle,The man is doing a wheelie with a motorcycle on ground which is mostly barren </t>,1
110,<t> A dog is opening a can of food,A dog is biting a can </t>,0
111,"<t> A young boy is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swim goggles on her head",A young girl is sitting in swimming gear </t>,1
112,<t> Several people are sitting at small tables in a darkened room,People are sitting at tables in a red room </t>,1
113,<t> A woman is shooting at target practice,A man is shooting at target practice </t>,1
114,<t> The kid is happily sliding in the snow,The kid is sliding in the snow </t>,0
115,<t> A child is missing a baseball,A family is watching a little boy who is hitting a baseball </t>,1
116,<t> A man and a woman are walking nicely,A man and a woman are walking </t>,0
117,<t> A brown and white dog with a brown and black bandanna is running very fast,A small white dog is running across a lawn </t>,1
118,<t> The girl is recklessly jumping onto a car,One young lady is jumping on the car </t>,0
119,<t> A couple is not looking at a map,A couple is looking at a map </t>,1
120,<t> A boy is running away from the fishing line,A boy is hanging a fishing rod and running in front of a fish  </t>,1
121,<t> Children are playing in a fountain that is spraying water from the ground,Children are playing in ground fountains </t>,0
122,<t> A dog is far from the red ball in the air,"A dog, which is small, is playing on the green grass </t>",1
123,<t> The man is doing floor exercises,A man is doing exercises </t>,0
124,"<t> The girl, who is little, is swinging and the woman is standing behind",A red dog is jumping and catching a tennis ball in its mouth </t>,1
125,<t> A man is standing on the top of the rocks with clouds behind them,One man is standing on the top of the rocks with clouds behind them </t>,0
126,"<t> A person, who is riding a bike, is wearing gear which is black",A biker is wearing gear which is black </t>,0
127,<t> A man is falling off a horse on a track and is laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color </t>,1
128,<t> Two daschunds are playing with a red ball,Two dogs are playing with a small red ball </t>,1
129,<t> The tall person is setting fire to the cameras,The person is setting fire to the cameras </t>,0
130,<t> A boy is checking a calendar,A boy is throwing away a calendar </t>,1
131,<t> A person is wiping butter on a tray,A person is spreading butter on a tray </t>,0
132,<t> A big cat is opening a plastic drawer with its paws and is jumping inside,A cat is opening a drawer and climbing inside </t>,0
133,"<t> A girl, who is little, with blond hair is smiling and sitting on a swing",A little girl with blond hair is smiling and sitting on a swing </t>,0
134,<t> A woman is walking the dog down the street,The dog is being walked by the woman </t>,0
135,<t> The man is slicing bread,The man is putting away the bread </t>,1
136,<t> The snowboarder is leaping fearlessly over white snow,A person who is practicing snowboarding jumps into the air </t>,0
137,<t> One little boy with brown hair is jumping off of the brown chair onto the floor,A young boy is jumping off a chair </t>,0
138,<t> Two women are happily dancing,Two women are dancing </t>,0
139,<t> A cat is jumping into a container,A cat is jumping into a box </t>,0
140,<t> Three men are sitting on a mountainside and looking at the view with a pair of binoculars,Three hikers are sitting on a mountainside and looking at the view with a pair of binoculars </t>,0
141,<t> Two people are kissing near a crowd,A woman is being kissed by a man </t>,1
142,<t> A woman is boiling noodles in water,The person is boiling noodles </t>,0
143,<t> The boy is wading through the blue ocean,A boy is standing in the cold water </t>,1
144,<t> A daughter is being pushed by her father on a go-kart and another girl is watching,A father is pushing his daughter on a go-kart and another girl is watching </t>,0
145,<t> Two men are leaving the stage,The men are performing on stage </t>,1
146,<t> The men are performing on stage,Mimes are performing on a small stage </t>,1
147,<t> A person is rinsing a steak with water,A man is buttering a slice of bread </t>,1
148,<t> A man is cleaning a dish,The woman is slicing an onion with a knife </t>,1
149,<t> Some ferrets are climbing down from a shelf,Ferrets are climbing down from a shelf </t>,0
150,<t> The man is aiming a gun,The man is handling a gun </t>,0
151,<t> The man is erasing the other man's work from the board,The man is erasing the other man's work from the panel </t>,0
152,<t> A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass </t>,1
153,<t> Two cats are playfully fighting each other,Two cats are fighting each other </t>,0
154,<t> Eyeshadow is being put on by a woman,A woman is putting make-up on </t>,0
155,<t> A cartoon airplane is landing,A plane is landing </t>,0
156,"<t> A man, a woman and two girls are walking on the beach",A group of people is on a mountain </t>,1
157,<t> A man is chopping down a tree with an axe,A person is chopping down a tree with an axe </t>,0
158,<t> A man is working on the computer,The man is feeding the snake with a mouse </t>,1
159,<t> A man is participating in a bmx race,A man is participating in a race for bmxs </t>,0
160,<t> A man is riding a motorcycle through the town,A man is getting off the motorcycle </t>,1
161,<t> A dog in the backyard is carrying black fur in a basket in its mouth.,"A dog next to a tree, which is probably a pine, is biting a bucket </t>",1
162,<t> A man is removing some food from a box,A man is putting some food in a box </t>,1
163,<t> A boy is running through the grass,A boy wearing a striped shirt is running barefoot on the sandy hill </t>,1
164,<t> Two people are arguing near a crowd,Two people are kissing near a crowd </t>,1
165,<t> A man in a red uniform is racing and making a jump over a bike in the dirt,A man is participating in a bmx race </t>,1
166,<t> A man dressed in black is wearing inline skates and performing acrobatics on a rail,A man dressed in black is wearing inline skates and performing a trick on a rail </t>,0
167,<t> Rollerbladers are not rolling in formation down a hill,A group of rollerbladers is lining up on the street </t>,1
168,<t> Some bells are ringing near a cook slicing peppers,A cook is slicing some bell peppers </t>,1
169,<t> A man dressed in black and white is holding up the tennis racket and is waiting for the ball,A player dressed in black and white is holding up the tennis racket and is waiting for the ball </t>,0
170,<t> The man is aiming a gun,The man is drawing a gun </t>,0
171,<t> A woman is chopping up garlic,Garlic is being diced by the woman </t>,0
172,<t> Two women dressed in white and black are sitting on a bench,Two people are sitting on a park bench on a rainy day </t>,1
173,<t> The singer is playing the guitar at an acoustic concert for a woman,"The woman is playing a guitar, which is acoustic, and singing </t>",1
174,<t> The man is intensely playing the guitar,The intense man is a guitar player </t>,1
175,<t> A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climbing boy rescues the fearful cat from over the wall </t>,1
176,<t> A woman is not frying meat,A woman is placing food in a pot of hot water </t>,1
177,<t> A young boy in a helmet is riding a bike on the lawn,A young boy in a helmet is riding a bike on the road </t>,1
178,<t> A woman is drying noodles,A person is boiling noodles </t>,1
179,<t> The man is absently eating a banana by a tree,A man is eating a banana </t>,0
180,<t> A man with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background </t>,1
181,<t> A woman is marching with a pair of dogs,A woman is showing a dog with very short hair at a dog show </t>,1
182,<t> A dog is turning on the grass and pursuing a flying tennis ball,A dog is turning on the grass and pursuing a flying ball </t>,0
183,<t> Somebody is playing the piano,The piano is being played by someone </t>,0
184,<t> The man is skillfully playing the guitar,A man is playing a flute </t>,1
185,<t> A man in a red jacket and khaki pants is walking through an American state,A person with a red hooded jacket and a black backpack is not walking near a rocky wall </t>,1
186,<t> An animated airplane is landing,The plane is landing </t>,0
187,<t> Some animals are playing wildly in the water,A few animals are playing in the water </t>,0
188,<t> Two dogs are fighting,Two dogs are wrestling and hugging </t>,1
189,<t> A person is buttering a tray,A person is spreading butter on a tray </t>,0
190,<t> A dog is biting a can,A dog is opening a jar of food </t>,1
191,<t> A woman is slicing potatoes,A person is riding a horse </t>,1
192,<t> The land near a white bird is being watered swiftly,A white bird is landing swiftly in the water </t>,1
193,"<t> A person is climbing a rock with a rope, which is pink",One man is descending a cliff with a rope </t>,1
194,<t> Tofu is being sliced by a woman,A woman is slicing tofu </t>,0
195,<t> A little boy is proudly wearing a green soccer strip and is running on the grass,A little boy is wearing a green soccer strip and is running on the grass </t>,0
196,<t> A man is pouring liquid into a pot,The chef is carefully pouring some oil into a pan </t>,1
197,<t> The man with brown hair is wearing sunglasses and is sitting listlessly at a table with cans of soda and other drinks,The man with brown hair is wearing sunglasses and is sitting at a table with cans of soda and other drinks </t>,0
198,<t> A boy is spanking a man with a plastic sword,A boy is spanking a man with a toy weapon </t>,0
199,<t> A man is walking along a path through a wilderness,There is no man peeling an onion </t>,1
200,<t> A surfer is leaning on a surfboard,The surfer is leaning on a surfboard </t>,0
201,<t> A man is slicing some bread,A person is slicing a piece of bread </t>,0
202,<t> A woman is painting a man's face,A woman is cleaning a man's face </t>,1
203,<t> A man in blue jeans is standing in front of a group of children beside a stone built house,A woman in blue jeans is standing in front of a group of children beside a stone built house </t>,1
204,<t> A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain,A woman is playing the trumpet </t>,1
205,<t> A man is singing to a girl,A man is singing to a woman </t>,1
206,<t> A woman is wearing a colorful shirt and a lot of jewelry,A man with Indian clothing and henna on his hand is going through paperwork </t>,1
207,<t> A person is riding a dirt bike up a dirt hill,A person is riding a dirt bike down a dirt hill </t>,1
208,<t> Three dogs are resting on a sidewalk,The woman with a knife is slicing a pepper </t>,1
209,<t> A young girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction </t>,1
210,<t> The soccer player is kicking the ball between somebody's legs,A person is kicking a soccer ball between their feet </t>,1
211,<t> A man is playing the guitar,The man is playing the guitar </t>,0
212,<t> A girl is playing a flute,A boy is playing a wind instrument </t>,1
213,<t> Four kids are doing backbends in the park,Four children are doing backbends in the park </t>,0
214,"<t> The man and the boy are standing at the bottom of the stairs, which are outdoors","A man and a boy are standing at the bottom of some stairs, which are outdoors </t>",0
215,<t> Two adults are standing on a scooter in a field of yellow flowers,Two adults are standing on a scooter in a field of flowers </t>,0
216,<t> A puppy is repeatedly rolling from side to side on its back,An animal is rolling from side to side in a garden </t>,1
217,<t> A person is frying some food,A person is cooking some food </t>,0
218,<t> Two balls are bouncing against some colorful kids,Two kids are bouncing on colorful balls </t>,1
219,<t> A black and white dog is jumping for a ball,The black and white dog is jumping for the ball </t>,0
220,<t> A hose is being held by a boy next to a man and another boy is watching,A boy is holding a hose next to a man and another boy is watching </t>,0
221,<t> A man is playing a guitar,A man is playing an instrument </t>,0
222,<t> A woman is breaking two eggs in a bowl,Some ingredients are being mixed in a bowl by a person </t>,1
223,<t> A few people are dancing,A group of people are dancing </t>,0
224,<t> Three men are sitting on a hill and looking at the mountains and sky,Some meat is being stitched together by a woman </t>,1
225,<t> A girl is playing a flute,A girl is playing a wind instrument </t>,0
226,<t> The lady is peeling the potato,A woman is peeling a potato </t>,0
227,<t> A man dressed in black and white is holding up the tennis racket and is waiting for the ball,A tennis player in mid game is holding a racquet </t>,1
228,<t> Two white dogs are playing with a brown dog and a ball,Two white dogs and one brown dog are chasing a toy </t>,0
229,<t> Someone is drilling a hole in a strip of wood with a power drill,A man is drilling a hole in a piece of wood </t>,0
230,<t> A group of boys are quiet in front of a large door made of wood,A group of boys are playing with a ball in front of a large door made of wood </t>,1
231,<t> A boy is whacking a man with a sword,A man is being hit by a kid with a weapon </t>,0
232,<t> A woman is planting some flowers,A woman is cutting some flowers </t>,1
233,<t> The helmeted girl is riding a bike,A woman is performing a trick on a ramp with a bicycle </t>,1
234,<t> Two men with bikes are on the side of a snowy road,Two men with cars are on the side of a snowy road </t>,1
235,<t> A little boy is sitting in a green tunnel with a smile on his face,A small shirtless boy is sliding into a green tube </t>,1
236,<t> A tan dog is running through the brush,"A dog, which is tan, is running through the brush </t>",0
237,<t> A female cheerleader is sitting on the knee of a male cheerleader,Some cheerleaders are taking a break </t>,1
238,<t> A man is playing flute,There is no man playing soccer </t>,1
239,<t> A rabbit is playing with a toy rabbit,A rabbit is playing with a stuffed bunny </t>,0
240,<t> The woman is waterskiing,A woman is watching the lake </t>,1
241,<t> A surfer is leaning the surfboard against a wall,The man is wearing a wetsuit and is riding a surfboard </t>,1
242,<t> The young boy is running through the ocean waves,A child is running in and out of the ocean waves </t>,0
243,<t> The person isn't dicing up an orange pepper,A cook is slicing some bell peppers </t>,1
244,<t> Some students in uniforms are listening attentively at the front of the class,A classroom full of students is looking in the same direction inside a bamboo structure </t>,1
245,<t> A dog is pushing a toddler into a rain puddle,A dog is pulling a toddler out of a rain puddle </t>,1
246,<t> A man is eating a banana,There is no one peeling a banana </t>,1
247,<t> A woman is peppering green slices,The woman with a knife is slicing a pepper </t>,1
248,<t> A surfer in a black wetsuit is riding a foamy wave,A surfer is surfing a big wave </t>,1
249,<t> Someone is scratching the belly of an animal,A lemur is being stroked by a woman </t>,1
250,<t> A grey dog is bouncing a soccer ball on its head in a grass field,A grey dog is bouncing a soccer ball on its head on a lawn </t>,0
251,<t> A man is strolling in the rain,A man is walking in the rain </t>,0
252,<t> A man is escaping a rising swamp,A man is rising from a swamp </t>,1
253,<t> A man is rinsing a large steak,A person is rinsing a steak with water </t>,1
254,<t> An onion is being sliced by a woman,A woman is slicing an onion </t>,0
255,<t> Different teams are playing football on a field,Different football players are teaming on a field </t>,0
256,<t> A man is dancing,A man is speaking </t>,1
257,<t> A man is outside close to a target for blade throwing,A man is outside and is throwing blades at a close target </t>,1
258,<t> Someone is stroking the belly of an animal,A woman is stroking a lemur </t>,0
259,<t> Two pandas are lying together,Two baby pandas are playing </t>,1
260,<t> A man by a brick wall is wearing a mask around his mouth and a hair net,A man is wearing a clear plastic cap and a face mask </t>,1
261,<t> A man is dancing,A male is dancing </t>,0
262,<t> A woman is placing skewers onto a rack,Skewers are being placed onto a rack by a woman </t>,0
263,<t> A girl is jumping off a rock and another is standing on it,One girl is jumping off a rock and another is standing on it </t>,0
264,<t> A little boy is sitting in a green tunnel with a smile on his face,A little boy is crawling in a green tunnel with a smile on his face </t>,1
265,<t> A man is in a parking lot and is playing tennis against a large wall,A man is in a parking lot and is playing tennis against a friend </t>,1
266,<t> A man in blue is riding a horse on a dirt road,A man in blue is riding a animal on a dirt road </t>,0
267,"<t> A dog, which is small, is playing on the green grass",A small kid is playing with a green toy dog on the grass </t>,1
268,<t> A person is stupidly throwing a cat at the ceiling,A person is throwing a cat at the ceiling </t>,0
269,<t> The man is abruptly knocked off of a horse,The man is being knocked off of a horse </t>,0
270,<t> A man is dangerously throwing knives at a tree,A magic trick is being performed by the magician </t>,1
271,<t> A tiger is walking around aimlessly,A tiger is walking around a cage </t>,1
272,<t> Two old ladies are wearing worn dresses at home,A woman in a white dress and a woman in a blue dress are standing on a stage </t>,1
273,<t> A girl in a band is playing the flute,A boy in a band is playing the flute </t>,1
274,<t> A woman is wearing a blue helmet and is riding a bicycle in a parking lot,The bicyclist is speeding on a city street </t>,1
275,<t> Two people are carrying colorful baskets and blankets and walking near a building,Two people are walking with laden baskets and colorful blankets </t>,1
276,<t> A man is riding a motorcycle through the town,A man is riding a motorbike </t>,0
277,<t> The man is playing a game on a lawn,The rhino is grazing on the grass </t>,1
278,<t> One girl in orange shorts is standing on a rock cliff over the water and the other girl in black shorts is jumping off into the water,Two males are standing on a cliff edge and one is jumping into the water </t>,1
279,<t> One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water,Two males are standing on a cliff edge and one is jumping into the sea </t>,0
280,<t> A few children are jumping on a trampoline,Some children are jumping on a trampoline </t>,0
281,<t> A group of men is playing soccer on the beach,A group of men is playing with a ball on the beach </t>,0
282,<t> A large white dog is jumping in the air over an area covered by snow,A large white dog is jumping up in the snow </t>,0
283,<t> A brown dog and a red dog are sitting sadly on the beach,A brown dog and a red dog are frolicking on the beach </t>,1
284,<t> A man is playing a flute,A man is playing a guitar </t>,1
285,<t> A girl is playing a guitar,A man is not playing a guitar </t>,1
286,<t> A man and a woman are jumping on the curb,A man and a woman are standing on the curb </t>,1
287,<t> A woman is boiling noodles in water,Someone is stirring food in the water </t>,0
288,<t> A man is recklessly riding a horse,A person is recklessly riding a horse </t>,0
289,<t> A woman is peeling a potato,A potato is being peeled by a woman </t>,0
290,<t> A man is pouring cleaner into the sink,The drums are being played by the man </t>,1
291,<t> A man is playing the guitar,An octopus is being sliced by a woman </t>,1
292,<t> The black woman is wearing glasses over the headdress,A woman is wearing an Egyptian headdress </t>,1
293,<t> A topless woman is being smeared with brown substance and a nobody is in the background,A topless woman is being covered in mud </t>,1
294,"<t> A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",A large dog is running on the grass with a tennis ball in its mouth </t>,0
295,<t> A person is scrubbing a zucchini,A woman is eating zucchini and vegetables and scrubbing with a brush </t>,1
296,<t> A child is making a snow ball,A kid in orange is playing outside with a snowball </t>,1
297,<t> A person is riding a bike along a muddy trail,A person is riding a dirt bike down a dirt hill </t>,1
298,<t> Some dogs are playing in a stream,Two dogs are looking at something that is moving in the water </t>,1
299,<t> The woman is adding sugar to the meat slowly,The woman is adding sugar to the meat </t>,0
300,<t> A lion is slowly walking,A lion is slowly moving around </t>,0
301,<t> A man is cleaning a dish,A man is preparing some dish </t>,1
302,<t> A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,A boy is standing in front of the blue building in the space reserved for handicapped people </t>,1
303,<t> A brown and white dog is playing on the grass,A brown and white dog is playing on the lawn </t>,0
304,<t> A thin lady is piecing together oriental carrot cuts,The oriental lady is cutting a carrot into thin pieces </t>,1
305,<t> A woman is peeling a potato,A woman is peeling food </t>,0
306,<t> A man is wearing a blue checkered shirt and cheerfully riding a unicycle in the street,A man is wearing a blue checkered shirt and riding a unicycle in the street </t>,0
307,<t> A piano is being played by a man,The play is about a happy boy playing the piano </t>,1
308,<t> A dog with a muzzle and a blue jacket is resting in the yard,A dog with a muzzle and a blue jacket is running around the yard </t>,1
309,<t> A man with no hat is standing outside of a green jeep,A man is standing on a dirt hill next to a black jeep </t>,1
310,<t> Five people are running with three dogs in the green field beside the road,Five people are standing with three dogs in the green field beside the road </t>,1
311,<t> The dog is chasing the ball,A dog is chasing a ball </t>,0
312,"<t> Two people are in the snow, wearing clothes that provide camouflage","Some people are in the snow, wearing clothes that provide camouflage </t>",0
313,<t> A little dog is sprinting and the person who owns it is trying to catch it,A little dog is sprinting and its owner is trying to catch it </t>,0
314,<t> Two men are doing a funny skit with a boxer in front of a crowd of people,"Two men are doing a skit, which is very funny, with a boxer in front of a crowd of people </t>",0
315,<t> The black and white dog is sitting on a green yard,The black and white dog is running in a green yard </t>,1
316,<t> A woman is using a machine made for sewing,A woman is using a sewing machine </t>,0
317,<t> A woman in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,A woman in a black dress is pulling a cart and is standing near two men who are seated on a park bench </t>,0
318,<t> A Seadoo is being ridden by a woman,A woman is riding a Seadoo </t>,0
319,<t> A man is putting away a guitar,A man is playing a guitar </t>,1
320,<t> The man in the straw hat is smoking a cigarette,A person is wearing a straw hat and smoking a cigarette </t>,0
321,<t> A man is climbing a rope,A man is coming down a rope </t>,1
322,<t> A man is cutting an onion,There is no man opening a door </t>,1
323,<t> A large dog and a small dog are standing next to the kitchen counter and are investigating,Two dogs are looking up at a kitchen countertop </t>,1
324,<t> The woman in a red costume is not leaning against a brick wall and is not playing an instrument,A woman in a red dress is playing an instrument </t>,1
325,<t> The woman is frying a breaded pork chop,A woman is cooking a breaded pork chop </t>,0
326,<t> A woman in jeans is sitting on the saddle of a horse,A person wearing jeans is sitting on top of a horse saddle </t>,0
327,<t> Two men are fighting,A couple of boys are playing a video game </t>,1
328,<t> The man surrounded by men with a camera is wearing a gray suit and glasses,A man in a suit is being surrounded by photographers </t>,0
329,<t> A child in a green and white sports uniform is running over the grass,A little boy is wearing a green soccer strip and is running on the grass </t>,1
